"UF","cod_municipio","municipio","zona","secao","eleitores_aptos","candidato","quantidade_votos"
ac,1511,"PLÁCIDO DE CASTRO",00008,0155,198,13,45
ac,1511,"PLÁCIDO DE CASTRO",00008,0155,198,22,119
ac,1511,"PLÁCIDO DE CASTRO",00008,0155,198,NULO,2
ac,1511,"PLÁCIDO DE CASTRO",00008,0173,177,13,31
ac,1511,"PLÁCIDO DE CASTRO",00008,0173,177,22,81
ac,1511,"PLÁCIDO DE CASTRO",00008,0173,177,NULO,2
ac,1511,"PLÁCIDO DE CASTRO",00008,0114,283,13,50
ac,1511,"PLÁCIDO DE CASTRO",00008,0114,283,22,149
ac,1511,"PLÁCIDO DE CASTRO",00008,0114,283,BRANCO,2
ac,1511,"PLÁCIDO DE CASTRO",00008,0114,283,NULO,2
ac,1511,"PLÁCIDO DE CASTRO",00008,0001,245,13,58
ac,1511,"PLÁCIDO DE CASTRO",00008,0001,245,22,125
ac,1511,"PLÁCIDO DE CASTRO",00008,0001,245,BRANCO,1
ac,1511,"PLÁCIDO DE CASTRO",00008,0001,245,NULO,1
ac,1511,"PLÁCIDO DE CASTRO",00008,0007,136,13,26
ac,1511,"PLÁCIDO DE CASTRO",00008,0007,136,22,77
ac,1511,"PLÁCIDO DE CASTRO",00008,0007,136,BRANCO,2
ac,1511,"PLÁCIDO DE CASTRO",00008,0151,201,13,16
ac,1511,"PLÁCIDO DE CASTRO",00008,0151,201,22,135
ac,1511,"PLÁCIDO DE CASTRO",00008,0151,201,NULO,6
ac,1511,"PLÁCIDO DE CASTRO",00008,0121,162,13,30
ac,1511,"PLÁCIDO DE CASTRO",00008,0121,162,22,89
ac,1511,"PLÁCIDO DE CASTRO",00008,0121,162,NULO,1
ac,1511,"PLÁCIDO DE CASTRO",00008,0076,223,13,51
ac,1511,"PLÁCIDO DE CASTRO",00008,0076,223,22,106
ac,1511,"PLÁCIDO DE CASTRO",00008,0076,223,BRANCO,2
ac,1511,"PLÁCIDO DE CASTRO",00008,0076,223,NULO,2
ac,1511,"PLÁCIDO DE CASTRO",00008,0086,287,13,64
ac,1511,"PLÁCIDO DE CASTRO",00008,0086,287,22,143
ac,1511,"PLÁCIDO DE CASTRO",00008,0086,287,BRANCO,1
ac,1511,"PLÁCIDO DE CASTRO",00008,0086,287,NULO,5
ac,1511,"PLÁCIDO DE CASTRO",00008,0096,320,13,52
ac,1511,"PLÁCIDO DE CASTRO",00008,0096,320,22,174
ac,1511,"PLÁCIDO DE CASTRO",00008,0096,320,BRANCO,5
ac,1511,"PLÁCIDO DE CASTRO",00008,0096,320,NULO,3
ac,1511,"PLÁCIDO DE CASTRO",00008,0203,189,13,39
ac,1511,"PLÁCIDO DE CASTRO",00008,0203,189,22,78
ac,1511,"PLÁCIDO DE CASTRO",00008,0203,189,BRANCO,1
ac,1511,"PLÁCIDO DE CASTRO",00008,0203,189,NULO,1
ac,1511,"PLÁCIDO DE CASTRO",00008,0014,244,13,37
ac,1511,"PLÁCIDO DE CASTRO",00008,0014,244,22,135
ac,1511,"PLÁCIDO DE CASTRO",00008,0014,244,BRANCO,4
ac,1511,"PLÁCIDO DE CASTRO",00008,0014,244,NULO,2
ac,1511,"PLÁCIDO DE CASTRO",00008,0211,132,13,25
ac,1511,"PLÁCIDO DE CASTRO",00008,0211,132,22,51
ac,1511,"PLÁCIDO DE CASTRO",00008,0211,132,NULO,1
ac,1511,"PLÁCIDO DE CASTRO",00008,0023,336,13,89
