"UF","cod_municipio","municipio","zona","secao","eleitores_aptos","candidato","quantidade_votos"
ac,1066,"PORTO WALTER",00004,0077,312,12,11
ac,1066,"PORTO WALTER",00004,0077,312,13,110
ac,1066,"PORTO WALTER",00004,0077,312,15,20
ac,1066,"PORTO WALTER",00004,0077,312,22,98
ac,1066,"PORTO WALTER",00004,0077,312,BRANCO,4
ac,1066,"PORTO WALTER",00004,0077,312,NULO,2
ac,1066,"PORTO WALTER",00004,0078,314,12,9
ac,1066,"PORTO WALTER",00004,0078,314,13,117
ac,1066,"PORTO WALTER",00004,0078,314,15,15
ac,1066,"PORTO WALTER",00004,0078,314,22,100
ac,1066,"PORTO WALTER",00004,0078,314,NULO,2
ac,1066,"PORTO WALTER",00004,0079,305,12,8
ac,1066,"PORTO WALTER",00004,0079,305,13,94
ac,1066,"PORTO WALTER",00004,0079,305,15,20
ac,1066,"PORTO WALTER",00004,0079,305,22,96
ac,1066,"PORTO WALTER",00004,0079,305,BRANCO,2
ac,1066,"PORTO WALTER",00004,0079,305,NULO,11
ac,1066,"PORTO WALTER",00004,0080,320,12,13
ac,1066,"PORTO WALTER",00004,0080,320,13,102
ac,1066,"PORTO WALTER",00004,0080,320,15,20
ac,1066,"PORTO WALTER",00004,0080,320,22,101
ac,1066,"PORTO WALTER",00004,0080,320,BRANCO,1
ac,1066,"PORTO WALTER",00004,0080,320,NULO,6
ac,1066,"PORTO WALTER",00004,0115,306,12,9
ac,1066,"PORTO WALTER",00004,0115,306,13,109
ac,1066,"PORTO WALTER",00004,0115,306,15,18
ac,1066,"PORTO WALTER",00004,0115,306,22,104
ac,1066,"PORTO WALTER",00004,0115,306,BRANCO,2
ac,1066,"PORTO WALTER",00004,0115,306,NULO,5
ac,1066,"PORTO WALTER",00004,0132,317,12,8
ac,1066,"PORTO WALTER",00004,0132,317,13,104
ac,1066,"PORTO WALTER",00004,0132,317,15,19
ac,1066,"PORTO WALTER",00004,0132,317,22,99
ac,1066,"PORTO WALTER",00004,0132,317,BRANCO,3
ac,1066,"PORTO WALTER",00004,0132,317,NULO,9
ac,1066,"PORTO WALTER",00004,0144,298,12,11
ac,1066,"PORTO WALTER",00004,0144,298,13,101
ac,1066,"PORTO WALTER",00004,0144,298,15,19
ac,1066,"PORTO WALTER",00004,0144,298,22,109
