"UF","cod_municipio","municipio","zona","secao","eleitores_aptos","candidato","quantidade_votos"
al,27650,"INHAPI",00039,0089,256,15,150
al,27650,"INHAPI",00039,0089,256,44,25
al,27650,"INHAPI",00039,0089,256,BRANCO,5
al,27650,"INHAPI",00039,0089,256,NULO,13
al,27650,"INHAPI",00039,0114,382,15,202
al,27650,"INHAPI",00039,0114,382,44,41
al,27650,"INHAPI",00039,0114,382,BRANCO,4
al,27650,"INHAPI",00039,0114,382,NULO,22
al,27650,"INHAPI",00039,0091,259,15,141
al,27650,"INHAPI",00039,0091,259,44,30
al,27650,"INHAPI",00039,0091,259,BRANCO,8
al,27650,"INHAPI",00039,0091,259,NULO,17
al,27650,"INHAPI",00039,0101,235,15,119
al,27650,"INHAPI",00039,0101,235,44,14
al,27650,"INHAPI",00039,0101,235,BRANCO,4
al,27650,"INHAPI",00039,0101,235,NULO,15
al,27650,"INHAPI",00039,0088,255,15,126
al,27650,"INHAPI",00039,0088,255,44,40
al,27650,"INHAPI",00039,0088,255,BRANCO,4
al,27650,"INHAPI",00039,0088,255,NULO,18
al,27650,"INHAPI",00039,0099,236,15,143
al,27650,"INHAPI",00039,0099,236,44,26
al,27650,"INHAPI",00039,0099,236,BRANCO,3
al,27650,"INHAPI",00039,0099,236,NULO,15
al,27650,"INHAPI",00039,0076,398,15,211
al,27650,"INHAPI",00039,0076,398,44,43
al,27650,"INHAPI",00039,0076,398,BRANCO,11
al,27650,"INHAPI",00039,0076,398,NULO,21
al,27650,"INHAPI",00039,0086,254,15,147
al,27650,"INHAPI",00039,0086,254,44,28
al,27650,"INHAPI",00039,0086,254,BRANCO,10
al,27650,"INHAPI",00039,0086,254,NULO,13
al,27650,"INHAPI",00039,0117,383,15,204
al,27650,"INHAPI",00039,0117,383,44,45
al,27650,"INHAPI",00039,0117,383,BRANCO,2
al,27650,"INHAPI",00039,0117,383,NULO,19
al,27650,"INHAPI",00039,0096,292,15,155
al,27650,"INHAPI",00039,0096,292,44,31
al,27650,"INHAPI",00039,0096,292,BRANCO,4
al,27650,"INHAPI",00039,0096,292,NULO,22
al,27650,"INHAPI",00039,0109,367,15,183
al,27650,"INHAPI",00039,0109,367,44,48
al,27650,"INHAPI",00039,0109,367,BRANCO,6
al,27650,"INHAPI",00039,0109,367,NULO,23
al,27650,"INHAPI",00039,0084,396,15,194
al,27650,"INHAPI",00039,0084,396,44,55
al,27650,"INHAPI",00039,0084,396,BRANCO,7
al,27650,"INHAPI",00039,0084,396,NULO,22
al,27650,"INHAPI",00039,0077,393,15,209
al,27650,"INHAPI",00039,0077,393,44,39
al,27650,"INHAPI",00039,0077,393,BRANCO,3
al,27650,"INHAPI",00039,0077,393,NULO,20
al,27650,"INHAPI",00039,0110,366,15,184
al,27650,"INHAPI",00039,0110,366,44,42
al,27650,"INHAPI",00039,0110,366,BRANCO,10
al,27650,"INHAPI",00039,0110,366,NULO,24
al,27650,"INHAPI",00039,0116,376,15,170
al,27650,"INHAPI",00039,0116,376,44,41
al,27650,"INHAPI",00039,0116,376,BRANCO,6
al,27650,"INHAPI",00039,0116,376,NULO,18
al,27650,"INHAPI",00039,0075,396,15,179
al,27650,"INHAPI",00039,0075,396,44,64
al,27650,"INHAPI",00039,0075,396,BRANCO,5
al,27650,"INHAPI",00039,0075,396,NULO,21
al,27650,"INHAPI",00039,0113,378,15,195
al,27650,"INHAPI",00039,0113,378,44,39
al,27650,"INHAPI",00039,0113,378,BRANCO,4
al,27650,"INHAPI",00039,0113,378,NULO,19
al,27650,"INHAPI",00039,0098,236,15,136
al,27650,"INHAPI",00039,0098,236,44,20
al,27650,"INHAPI",00039,0098,236,BRANCO,5
al,27650,"INHAPI",00039,0098,236,NULO,15
al,27650,"INHAPI",00039,0102,234,15,131
al,27650,"INHAPI",00039,0102,234,44,14
al,27650,"INHAPI",00039,0102,234,BRANCO,8
al,27650,"INHAPI",00039,0102,234,NULO,13
al,27650,"INHAPI",00039,0112,376,15,186
al,27650,"INHAPI",00039,0112,376,44,44
al,27650,"INHAPI",00039,0112,376,BRANCO,6
al,27650,"INHAPI",00039,0112,376,NULO,22
al,27650,"INHAPI",00039,0094,258,15,118
al,27650,"INHAPI",00039,0094,258,44,43
al,27650,"INHAPI",00039,0094,258,BRANCO,3
al,27650,"INHAPI",00039,0094,258,NULO,17
al,27650,"INHAPI",00039,0090,258,15,146
al,27650,"INHAPI",00039,0090,258,44,24
al,27650,"INHAPI",00039,0090,258,BRANCO,7
al,27650,"INHAPI",00039,0090,258,NULO,14
al,27650,"INHAPI",00039,0087,259,15,146
al,27650,"INHAPI",00039,0087,259,44,30
al,27650,"INHAPI",00039,0087,259,BRANCO,2
al,27650,"INHAPI",00039,0087,259,NULO,13
al,27650,"INHAPI",00039,0108,370,15,187
al,27650,"INHAPI",00039,0108,370,44,31
al,27650,"INHAPI",00039,0108,370,BRANCO,3
al,27650,"INHAPI",00039,0108,370,NULO,20
al,27650,"INHAPI",00039,0079,395,15,190
al,27650,"INHAPI",00039,0079,395,44,35
al,27650,"INHAPI",00039,0079,395,BRANCO,5
al,27650,"INHAPI",00039,0079,395,NULO,16
al,27650,"INHAPI",00039,0092,258,15,156
al,27650,"INHAPI",00039,0092,258,44,23
al,27650,"INHAPI",00039,0092,258,BRANCO,5
al,27650,"INHAPI",00039,0092,258,NULO,21
al,27650,"INHAPI",00039,0078,394,15,171
al,27650,"INHAPI",00039,0078,394,44,56
al,27650,"INHAPI",00039,0078,394,BRANCO,14
al,27650,"INHAPI",00039,0078,394,NULO,27
al,27650,"INHAPI",00039,0082,396,15,201
al,27650,"INHAPI",00039,0082,396,44,40
al,27650,"INHAPI",00039,0082,396,BRANCO,9
al,27650,"INHAPI",00039,0082,396,NULO,16
al,27650,"INHAPI",00039,0083,395,15,214
al,27650,"INHAPI",00039,0083,395,44,43
al,27650,"INHAPI",00039,0083,395,BRANCO,4
al,27650,"INHAPI",00039,0083,395,NULO,18
al,27650,"INHAPI",00039,0105,364,15,193
al,27650,"INHAPI",00039,0105,364,44,32
al,27650,"INHAPI",00039,0105,364,BRANCO,5
al,27650,"INHAPI",00039,0105,364,NULO,19
al,27650,"INHAPI",00039,0106,370,15,198
al,27650,"INHAPI",00039,0106,370,44,36
al,27650,"INHAPI",00039,0106,370,BRANCO,4
al,27650,"INHAPI",00039,0106,370,NULO,21
al,27650,"INHAPI",00039,0093,256,15,144
al,27650,"INHAPI",00039,0093,256,44,37
al,27650,"INHAPI",00039,0093,256,BRANCO,6
al,27650,"INHAPI",00039,0093,256,NULO,12
al,27650,"INHAPI",00039,0115,380,15,178
al,27650,"INHAPI",00039,0115,380,44,31
al,27650,"INHAPI",00039,0115,380,BRANCO,9
al,27650,"INHAPI",00039,0115,380,NULO,27
al,27650,"INHAPI",00039,0111,379,15,186
al,27650,"INHAPI",00039,0111,379,44,47
al,27650,"INHAPI",00039,0111,379,BRANCO,7
al,27650,"INHAPI",00039,0111,379,NULO,30
al,27650,"INHAPI",00039,0095,294,15,153
al,27650,"INHAPI",00039,0095,294,44,30
al,27650,"INHAPI",00039,0095,294,BRANCO,7
al,27650,"INHAPI",00039,0095,294,NULO,22
al,27650,"INHAPI",00039,0081,395,15,209
al,27650,"INHAPI",00039,0081,395,44,33
al,27650,"INHAPI",00039,0081,395,BRANCO,9
al,27650,"INHAPI",00039,0081,395,NULO,21
al,27650,"INHAPI",00039,0103,235,15,140
al,27650,"INHAPI",00039,0103,235,44,11
al,27650,"INHAPI",00039,0103,235,BRANCO,5
al,27650,"INHAPI",00039,0103,235,NULO,10
al,27650,"INHAPI",00039,0100,234,15,132
al,27650,"INHAPI",00039,0100,234,44,19
