"UF","cod_municipio","municipio","zona","secao","eleitores_aptos","candidato","quantidade_votos"
al,27022,"PARICONHA",00039,0013,338,12,7
al,27022,"PARICONHA",00039,0013,338,13,212
al,27022,"PARICONHA",00039,0013,338,15,10
al,27022,"PARICONHA",00039,0013,338,22,14
al,27022,"PARICONHA",00039,0013,338,44,1
al,27022,"PARICONHA",00039,0013,338,BRANCO,1
al,27022,"PARICONHA",00039,0013,338,NULO,12
al,27022,"PARICONHA",00039,0018,335,12,1
al,27022,"PARICONHA",00039,0018,335,13,230
al,27022,"PARICONHA",00039,0018,335,22,16
al,27022,"PARICONHA",00039,0018,335,NULO,3
al,27022,"PARICONHA",00039,0019,340,12,4
al,27022,"PARICONHA",00039,0019,340,13,214
al,27022,"PARICONHA",00039,0019,340,15,3
al,27022,"PARICONHA",00039,0019,340,22,23
al,27022,"PARICONHA",00039,0019,340,BRANCO,1
al,27022,"PARICONHA",00039,0019,340,NULO,5
al,27022,"PARICONHA",00039,0020,338,12,5
al,27022,"PARICONHA",00039,0020,338,13,214
al,27022,"PARICONHA",00039,0020,338,15,7
al,27022,"PARICONHA",00039,0020,338,16,1
al,27022,"PARICONHA",00039,0020,338,22,23
al,27022,"PARICONHA",00039,0020,338,BRANCO,2
al,27022,"PARICONHA",00039,0020,338,NULO,7
al,27022,"PARICONHA",00039,0022,396,12,4
al,27022,"PARICONHA",00039,0022,396,13,233
al,27022,"PARICONHA",00039,0022,396,14,1
al,27022,"PARICONHA",00039,0022,396,15,10
al,27022,"PARICONHA",00039,0022,396,22,22
al,27022,"PARICONHA",00039,0022,396,BRANCO,1
al,27022,"PARICONHA",00039,0022,396,NULO,10
al,27022,"PARICONHA",00039,0023,395,12,7
al,27022,"PARICONHA",00039,0023,395,13,232
al,27022,"PARICONHA",00039,0023,395,15,14
al,27022,"PARICONHA",00039,0023,395,22,26
al,27022,"PARICONHA",00039,0023,395,BRANCO,3
al,27022,"PARICONHA",00039,0023,395,NULO,3
al,27022,"PARICONHA",00039,0024,371,12,6
al,27022,"PARICONHA",00039,0024,371,13,241
al,27022,"PARICONHA",00039,0024,371,15,10
al,27022,"PARICONHA",00039,0024,371,16,1
al,27022,"PARICONHA",00039,0024,371,22,20
al,27022,"PARICONHA",00039,0024,371,BRANCO,2
al,27022,"PARICONHA",00039,0024,371,NULO,9
al,27022,"PARICONHA",00039,0025,399,12,4
al,27022,"PARICONHA",00039,0025,399,13,236
al,27022,"PARICONHA",00039,0025,399,15,11
al,27022,"PARICONHA",00039,0025,399,22,18
al,27022,"PARICONHA",00039,0025,399,BRANCO,1
al,27022,"PARICONHA",00039,0025,399,NULO,3
al,27022,"PARICONHA",00039,0026,334,12,5
al,27022,"PARICONHA",00039,0026,334,13,198
al,27022,"PARICONHA",00039,0026,334,15,4
al,27022,"PARICONHA",00039,0026,334,22,20
al,27022,"PARICONHA",00039,0026,334,BRANCO,2
al,27022,"PARICONHA",00039,0026,334,NULO,5
al,27022,"PARICONHA",00039,0029,338,12,5
al,27022,"PARICONHA",00039,0029,338,13,217
al,27022,"PARICONHA",00039,0029,338,15,9
al,27022,"PARICONHA",00039,0029,338,22,16
al,27022,"PARICONHA",00039,0029,338,BRANCO,4
al,27022,"PARICONHA",00039,0029,338,NULO,4
al,27022,"PARICONHA",00039,0033,338,12,6
al,27022,"PARICONHA",00039,0033,338,13,204
al,27022,"PARICONHA",00039,0033,338,15,9
al,27022,"PARICONHA",00039,0033,338,22,10
al,27022,"PARICONHA",00039,0033,338,BRANCO,2
al,27022,"PARICONHA",00039,0033,338,NULO,12
al,27022,"PARICONHA",00039,0034,339,12,6
al,27022,"PARICONHA",00039,0034,339,13,205
al,27022,"PARICONHA",00039,0034,339,15,10
al,27022,"PARICONHA",00039,0034,339,22,15
al,27022,"PARICONHA",00039,0034,339,BRANCO,6
al,27022,"PARICONHA",00039,0034,339,NULO,8
al,27022,"PARICONHA",00039,0045,370,12,2
al,27022,"PARICONHA",00039,0045,370,13,254
al,27022,"PARICONHA",00039,0045,370,15,3
al,27022,"PARICONHA",00039,0045,370,22,15
al,27022,"PARICONHA",00039,0045,370,BRANCO,2
al,27022,"PARICONHA",00039,0045,370,NULO,6
al,27022,"PARICONHA",00039,0050,349,12,4
al,27022,"PARICONHA",00039,0050,349,13,228
al,27022,"PARICONHA",00039,0050,349,14,2
al,27022,"PARICONHA",00039,0050,349,15,15
al,27022,"PARICONHA",00039,0050,349,22,22
al,27022,"PARICONHA",00039,0050,349,44,1
al,27022,"PARICONHA",00039,0050,349,BRANCO,4
al,27022,"PARICONHA",00039,0050,349,NULO,3
al,27022,"PARICONHA",00039,0052,335,12,5
al,27022,"PARICONHA",00039,0052,335,13,215
al,27022,"PARICONHA",00039,0052,335,15,11
al,27022,"PARICONHA",00039,0052,335,22,17
al,27022,"PARICONHA",00039,0052,335,30,1
al,27022,"PARICONHA",00039,0052,335,NULO,6
al,27022,"PARICONHA",00039,0053,339,12,9
al,27022,"PARICONHA",00039,0053,339,13,225
al,27022,"PARICONHA",00039,0053,339,14,1
al,27022,"PARICONHA",00039,0053,339,15,8
al,27022,"PARICONHA",00039,0053,339,22,21
al,27022,"PARICONHA",00039,0053,339,BRANCO,1
al,27022,"PARICONHA",00039,0053,339,NULO,5
al,27022,"PARICONHA",00039,0056,368,12,3
al,27022,"PARICONHA",00039,0056,368,13,246
al,27022,"PARICONHA",00039,0056,368,15,16
al,27022,"PARICONHA",00039,0056,368,22,21
al,27022,"PARICONHA",00039,0056,368,30,1
al,27022,"PARICONHA",00039,0056,368,BRANCO,2
al,27022,"PARICONHA",00039,0056,368,NULO,9
al,27022,"PARICONHA",00039,0059,370,12,5
al,27022,"PARICONHA",00039,0059,370,13,238
al,27022,"PARICONHA",00039,0059,370,15,12
al,27022,"PARICONHA",00039,0059,370,22,20
al,27022,"PARICONHA",00039,0059,370,BRANCO,2
al,27022,"PARICONHA",00039,0059,370,NULO,10
al,27022,"PARICONHA",00039,0060,395,12,4
al,27022,"PARICONHA",00039,0060,395,13,247
al,27022,"PARICONHA",00039,0060,395,15,8
al,27022,"PARICONHA",00039,0060,395,22,23
al,27022,"PARICONHA",00039,0060,395,44,1
al,27022,"PARICONHA",00039,0060,395,BRANCO,4
al,27022,"PARICONHA",00039,0060,395,NULO,7
al,27022,"PARICONHA",00039,0062,339,12,4
al,27022,"PARICONHA",00039,0062,339,13,226
al,27022,"PARICONHA",00039,0062,339,15,13
al,27022,"PARICONHA",00039,0062,339,22,10
al,27022,"PARICONHA",00039,0062,339,44,1
al,27022,"PARICONHA",00039,0062,339,BRANCO,3
al,27022,"PARICONHA",00039,0062,339,NULO,8
al,27022,"PARICONHA",00039,0068,424,12,10
al,27022,"PARICONHA",00039,0068,424,13,271
al,27022,"PARICONHA",00039,0068,424,14,1
al,27022,"PARICONHA",00039,0068,424,15,5
al,27022,"PARICONHA",00039,0068,424,22,28
al,27022,"PARICONHA",00039,0068,424,44,1
al,27022,"PARICONHA",00039,0068,424,NULO,1
al,27022,"PARICONHA",00039,0070,350,13,216
al,27022,"PARICONHA",00039,0070,350,15,7
al,27022,"PARICONHA",00039,0070,350,22,12
al,27022,"PARICONHA",00039,0070,350,BRANCO,1
al,27022,"PARICONHA",00039,0070,350,NULO,3
al,27022,"PARICONHA",00039,0071,397,12,7
al,27022,"PARICONHA",00039,0071,397,13,237
al,27022,"PARICONHA",00039,0071,397,15,5
al,27022,"PARICONHA",00039,0071,397,22,18
al,27022,"PARICONHA",00039,0071,397,44,1
al,27022,"PARICONHA",00039,0071,397,NULO,9
al,27022,"PARICONHA",00039,0072,398,12,3
al,27022,"PARICONHA",00039,0072,398,13,217
al,27022,"PARICONHA",00039,0072,398,15,4
al,27022,"PARICONHA",00039,0072,398,22,36
al,27022,"PARICONHA",00039,0072,398,30,1
al,27022,"PARICONHA",00039,0072,398,BRANCO,4
al,27022,"PARICONHA",00039,0072,398,NULO,3
al,27022,"PARICONHA",00039,0074,369,12,13
al,27022,"PARICONHA",00039,0074,369,13,207
al,27022,"PARICONHA",00039,0074,369,15,3
al,27022,"PARICONHA",00039,0074,369,22,29
al,27022,"PARICONHA",00039,0074,369,NULO,1
al,27030,"ANADIA",00048,0090,360,12,2
al,27030,"ANADIA",00048,0090,360,13,184
al,27030,"ANADIA",00048,0090,360,14,2
al,27030,"ANADIA",00048,0090,360,15,6
al,27030,"ANADIA",00048,0090,360,22,39
al,27030,"ANADIA",00048,0090,360,NULO,8
al,27030,"ANADIA",00048,0091,362,12,5
al,27030,"ANADIA",00048,0091,362,13,175
al,27030,"ANADIA",00048,0091,362,14,1
al,27030,"ANADIA",00048,0091,362,15,5
al,27030,"ANADIA",00048,0091,362,22,38
al,27030,"ANADIA",00048,0091,362,44,1
al,27030,"ANADIA",00048,0091,362,BRANCO,2
al,27030,"ANADIA",00048,0091,362,NULO,14
al,27030,"ANADIA",00048,0092,328,12,8
al,27030,"ANADIA",00048,0092,328,13,169
al,27030,"ANADIA",00048,0092,328,15,9
al,27030,"ANADIA",00048,0092,328,16,1
al,27030,"ANADIA",00048,0092,328,22,46
al,27030,"ANADIA",00048,0092,328,BRANCO,1
al,27030,"ANADIA",00048,0092,328,NULO,7
al,27030,"ANADIA",00048,0093,259,12,4
al,27030,"ANADIA",00048,0093,259,13,127
al,27030,"ANADIA",00048,0093,259,14,2
al,27030,"ANADIA",00048,0093,259,15,7
al,27030,"ANADIA",00048,0093,259,22,25
al,27030,"ANADIA",00048,0093,259,BRANCO,4
al,27030,"ANADIA",00048,0093,259,NULO,8
al,27030,"ANADIA",00048,0094,255,12,5
al,27030,"ANADIA",00048,0094,255,13,123
al,27030,"ANADIA",00048,0094,255,14,1
al,27030,"ANADIA",00048,0094,255,15,7
al,27030,"ANADIA",00048,0094,255,21,1
al,27030,"ANADIA",00048,0094,255,22,23
al,27030,"ANADIA",00048,0094,255,44,2
al,27030,"ANADIA",00048,0094,255,BRANCO,2
al,27030,"ANADIA",00048,0094,255,NULO,6
al,27030,"ANADIA",00048,0096,259,12,3
al,27030,"ANADIA",00048,0096,259,13,137
al,27030,"ANADIA",00048,0096,259,15,5
al,27030,"ANADIA",00048,0096,259,21,1
al,27030,"ANADIA",00048,0096,259,22,40
al,27030,"ANADIA",00048,0096,259,30,1
al,27030,"ANADIA",00048,0096,259,44,1
al,27030,"ANADIA",00048,0096,259,BRANCO,5
al,27030,"ANADIA",00048,0096,259,NULO,5
al,27030,"ANADIA",00048,0098,259,12,3
al,27030,"ANADIA",00048,0098,259,13,143
al,27030,"ANADIA",00048,0098,259,14,1
al,27030,"ANADIA",00048,0098,259,15,6
al,27030,"ANADIA",00048,0098,259,22,35
al,27030,"ANADIA",00048,0098,259,44,1
al,27030,"ANADIA",00048,0098,259,BRANCO,4
al,27030,"ANADIA",00048,0098,259,NULO,12
al,27030,"ANADIA",00048,0099,288,12,6
al,27030,"ANADIA",00048,0099,288,13,133
al,27030,"ANADIA",00048,0099,288,15,8
al,27030,"ANADIA",00048,0099,288,22,57
al,27030,"ANADIA",00048,0099,288,BRANCO,4
al,27030,"ANADIA",00048,0099,288,NULO,6
al,27030,"ANADIA",00048,0102,333,12,7
al,27030,"ANADIA",00048,0102,333,13,180
al,27030,"ANADIA",00048,0102,333,14,2
al,27030,"ANADIA",00048,0102,333,15,10
al,27030,"ANADIA",00048,0102,333,22,48
al,27030,"ANADIA",00048,0102,333,BRANCO,3
al,27030,"ANADIA",00048,0102,333,NULO,7
al,27030,"ANADIA",00048,0103,331,12,8
al,27030,"ANADIA",00048,0103,331,13,170
al,27030,"ANADIA",00048,0103,331,15,5
al,27030,"ANADIA",00048,0103,331,22,65
al,27030,"ANADIA",00048,0103,331,44,2
al,27030,"ANADIA",00048,0103,331,BRANCO,4
al,27030,"ANADIA",00048,0103,331,NULO,5
al,27030,"ANADIA",00048,0104,332,12,3
al,27030,"ANADIA",00048,0104,332,13,155
al,27030,"ANADIA",00048,0104,332,15,9
al,27030,"ANADIA",00048,0104,332,22,73
al,27030,"ANADIA",00048,0104,332,BRANCO,7
al,27030,"ANADIA",00048,0104,332,NULO,3
al,27030,"ANADIA",00048,0105,333,12,5
al,27030,"ANADIA",00048,0105,333,13,177
al,27030,"ANADIA",00048,0105,333,15,8
al,27030,"ANADIA",00048,0105,333,22,62
al,27030,"ANADIA",00048,0105,333,44,2
al,27030,"ANADIA",00048,0105,333,BRANCO,2
al,27030,"ANADIA",00048,0105,333,NULO,3
al,27030,"ANADIA",00048,0106,332,12,6
al,27030,"ANADIA",00048,0106,332,13,182
al,27030,"ANADIA",00048,0106,332,15,4
al,27030,"ANADIA",00048,0106,332,22,62
al,27030,"ANADIA",00048,0106,332,30,1
