"UF","cod_municipio","municipio","zona","secao","eleitores_aptos","candidato","quantidade_votos"
am,2097,"BARCELOS",00018,0019,401,15,106
am,2097,"BARCELOS",00018,0019,401,44,113
am,2097,"BARCELOS",00018,0019,401,BRANCO,1
am,2097,"BARCELOS",00018,0019,401,NULO,17
am,2097,"BARCELOS",00018,0025,113,15,59
am,2097,"BARCELOS",00018,0025,113,44,18
am,2097,"BARCELOS",00018,0025,113,NULO,6
am,2097,"BARCELOS",00018,0001,412,15,108
am,2097,"BARCELOS",00018,0001,412,44,92
am,2097,"BARCELOS",00018,0001,412,NULO,15
am,2097,"BARCELOS",00018,0028,437,15,130
am,2097,"BARCELOS",00018,0028,437,44,116
am,2097,"BARCELOS",00018,0028,437,BRANCO,2
am,2097,"BARCELOS",00018,0028,437,NULO,14
am,2097,"BARCELOS",00018,0007,443,15,141
am,2097,"BARCELOS",00018,0007,443,44,133
am,2097,"BARCELOS",00018,0007,443,BRANCO,1
am,2097,"BARCELOS",00018,0007,443,NULO,16
am,2097,"BARCELOS",00018,0020,420,15,144
am,2097,"BARCELOS",00018,0020,420,44,144
am,2097,"BARCELOS",00018,0020,420,BRANCO,2
am,2097,"BARCELOS",00018,0020,420,NULO,13
am,2097,"BARCELOS",00018,0021,431,15,142
am,2097,"BARCELOS",00018,0021,431,44,137
am,2097,"BARCELOS",00018,0021,431,BRANCO,2
am,2097,"BARCELOS",00018,0021,431,NULO,6
am,2097,"BARCELOS",00018,0012,489,15,146
am,2097,"BARCELOS",00018,0012,489,44,187
am,2097,"BARCELOS",00018,0012,489,NULO,13
am,2097,"BARCELOS",00018,0014,400,15,119
am,2097,"BARCELOS",00018,0014,400,44,106
am,2097,"BARCELOS",00018,0014,400,BRANCO,2
am,2097,"BARCELOS",00018,0014,400,NULO,19
am,2097,"BARCELOS",00018,0027,432,15,135
am,2097,"BARCELOS",00018,0027,432,44,128
am,2097,"BARCELOS",00018,0027,432,BRANCO,1
am,2097,"BARCELOS",00018,0027,432,NULO,11
am,2097,"BARCELOS",00018,0023,161,15,74
am,2097,"BARCELOS",00018,0023,161,44,26
am,2097,"BARCELOS",00018,0023,161,NULO,3
am,2097,"BARCELOS",00018,0015,432,15,134
am,2097,"BARCELOS",00018,0015,432,44,156
am,2097,"BARCELOS",00018,0015,432,BRANCO,1
am,2097,"BARCELOS",00018,0015,432,NULO,9
am,2097,"BARCELOS",00018,0005,434,15,136
am,2097,"BARCELOS",00018,0005,434,44,149
am,2097,"BARCELOS",00018,0005,434,BRANCO,3
am,2097,"BARCELOS",00018,0005,434,NULO,16
am,2097,"BARCELOS",00018,0022,385,15,128
am,2097,"BARCELOS",00018,0022,385,44,119
am,2097,"BARCELOS",00018,0022,385,NULO,10
am,2097,"BARCELOS",00018,0018,433,15,145
am,2097,"BARCELOS",00018,0018,433,44,130
am,2097,"BARCELOS",00018,0018,433,BRANCO,2
am,2097,"BARCELOS",00018,0018,433,NULO,14
am,2097,"BARCELOS",00018,0030,408,15,107
am,2097,"BARCELOS",00018,0030,408,44,113
am,2097,"BARCELOS",00018,0030,408,BRANCO,5
am,2097,"BARCELOS",00018,0030,408,NULO,15
am,2097,"BARCELOS",00018,0002,434,15,154
am,2097,"BARCELOS",00018,0002,434,44,133
am,2097,"BARCELOS",00018,0002,434,NULO,4
am,2097,"BARCELOS",00018,0017,427,15,136
am,2097,"BARCELOS",00018,0017,427,44,125
am,2097,"BARCELOS",00018,0017,427,BRANCO,5
am,2097,"BARCELOS",00018,0017,427,NULO,18
am,2097,"BARCELOS",00018,0032,390,15,99
am,2097,"BARCELOS",00018,0032,390,44,82
am,2097,"BARCELOS",00018,0032,390,NULO,22
am,2097,"BARCELOS",00018,0013,413,15,120
am,2097,"BARCELOS",00018,0013,413,44,137
am,2097,"BARCELOS",00018,0013,413,BRANCO,1
am,2097,"BARCELOS",00018,0013,413,NULO,8
am,2097,"BARCELOS",00018,0003,99,15,16
am,2097,"BARCELOS",00018,0003,99,44,30
am,2097,"BARCELOS",00018,0003,99,NULO,4
am,2097,"BARCELOS",00018,0011,453,15,124
am,2097,"BARCELOS",00018,0011,453,44,142
am,2097,"BARCELOS",00018,0011,453,BRANCO,3
am,2097,"BARCELOS",00018,0011,453,NULO,13
am,2097,"BARCELOS",00018,0009,417,15,107
am,2097,"BARCELOS",00018,0009,417,44,101
am,2097,"BARCELOS",00018,0009,417,BRANCO,2
am,2097,"BARCELOS",00018,0009,417,NULO,17
am,2097,"BARCELOS",00018,0024,393,15,122
am,2097,"BARCELOS",00018,0024,393,44,116
