"UF","cod_municipio","municipio","zona","secao","eleitores_aptos","candidato","quantidade_votos"
am,2003,"APUÍ",00067,0001,385,12,3
am,2003,"APUÍ",00067,0001,385,13,117
am,2003,"APUÍ",00067,0001,385,15,6
am,2003,"APUÍ",00067,0001,385,22,157
am,2003,"APUÍ",00067,0001,385,NULO,2
am,2003,"APUÍ",00067,0002,366,12,1
am,2003,"APUÍ",00067,0002,366,13,96
am,2003,"APUÍ",00067,0002,366,15,11
am,2003,"APUÍ",00067,0002,366,22,159
am,2003,"APUÍ",00067,0002,366,44,3
am,2003,"APUÍ",00067,0002,366,BRANCO,2
am,2003,"APUÍ",00067,0002,366,NULO,5
am,2003,"APUÍ",00067,0003,453,12,1
am,2003,"APUÍ",00067,0003,453,13,112
am,2003,"APUÍ",00067,0003,453,15,6
am,2003,"APUÍ",00067,0003,453,22,183
am,2003,"APUÍ",00067,0003,453,30,2
am,2003,"APUÍ",00067,0003,453,44,2
am,2003,"APUÍ",00067,0003,453,BRANCO,1
am,2003,"APUÍ",00067,0003,453,NULO,5
am,2003,"APUÍ",00067,0005,242,12,6
am,2003,"APUÍ",00067,0005,242,13,56
am,2003,"APUÍ",00067,0005,242,15,2
am,2003,"APUÍ",00067,0005,242,22,91
am,2003,"APUÍ",00067,0005,242,30,1
am,2003,"APUÍ",00067,0006,416,12,2
am,2003,"APUÍ",00067,0006,416,13,115
am,2003,"APUÍ",00067,0006,416,15,10
am,2003,"APUÍ",00067,0006,416,22,176
am,2003,"APUÍ",00067,0006,416,44,2
am,2003,"APUÍ",00067,0006,416,BRANCO,3
am,2003,"APUÍ",00067,0006,416,NULO,5
am,2003,"APUÍ",00067,0008,410,12,3
am,2003,"APUÍ",00067,0008,410,13,113
am,2003,"APUÍ",00067,0008,410,15,4
am,2003,"APUÍ",00067,0008,410,22,161
am,2003,"APUÍ",00067,0008,410,30,1
am,2003,"APUÍ",00067,0008,410,44,4
am,2003,"APUÍ",00067,0008,410,BRANCO,3
am,2003,"APUÍ",00067,0008,410,NULO,4
am,2003,"APUÍ",00067,0009,500,12,6
am,2003,"APUÍ",00067,0009,500,13,123
am,2003,"APUÍ",00067,0009,500,15,4
am,2003,"APUÍ",00067,0009,500,22,172
am,2003,"APUÍ",00067,0009,500,44,5
am,2003,"APUÍ",00067,0009,500,BRANCO,2
am,2003,"APUÍ",00067,0009,500,NULO,5
am,2003,"APUÍ",00067,0011,499,12,3
am,2003,"APUÍ",00067,0011,499,13,118
am,2003,"APUÍ",00067,0011,499,15,9
am,2003,"APUÍ",00067,0011,499,22,186
am,2003,"APUÍ",00067,0011,499,44,1
am,2003,"APUÍ",00067,0011,499,BRANCO,5
am,2003,"APUÍ",00067,0011,499,NULO,7
am,2003,"APUÍ",00067,0012,524,12,4
am,2003,"APUÍ",00067,0012,524,13,126
am,2003,"APUÍ",00067,0012,524,15,7
am,2003,"APUÍ",00067,0012,524,22,196
am,2003,"APUÍ",00067,0012,524,44,3
am,2003,"APUÍ",00067,0012,524,BRANCO,5
am,2003,"APUÍ",00067,0012,524,NULO,2
am,2003,"APUÍ",00067,0014,489,12,2
am,2003,"APUÍ",00067,0014,489,13,141
am,2003,"APUÍ",00067,0014,489,15,5
am,2003,"APUÍ",00067,0014,489,22,156
am,2003,"APUÍ",00067,0014,489,44,5
am,2003,"APUÍ",00067,0014,489,BRANCO,2
am,2003,"APUÍ",00067,0014,489,NULO,5
am,2003,"APUÍ",00067,0017,478,12,2
am,2003,"APUÍ",00067,0017,478,13,135
am,2003,"APUÍ",00067,0017,478,15,4
am,2003,"APUÍ",00067,0017,478,22,185
am,2003,"APUÍ",00067,0017,478,44,3
am,2003,"APUÍ",00067,0017,478,BRANCO,1
am,2003,"APUÍ",00067,0017,478,NULO,2
am,2003,"APUÍ",00067,0019,352,12,1
am,2003,"APUÍ",00067,0019,352,13,89
am,2003,"APUÍ",00067,0019,352,15,8
am,2003,"APUÍ",00067,0019,352,22,139
am,2003,"APUÍ",00067,0019,352,44,1
am,2003,"APUÍ",00067,0019,352,BRANCO,1
am,2003,"APUÍ",00067,0019,352,NULO,1
am,2003,"APUÍ",00067,0020,333,12,2
am,2003,"APUÍ",00067,0020,333,13,94
am,2003,"APUÍ",00067,0020,333,15,6
am,2003,"APUÍ",00067,0020,333,22,124
am,2003,"APUÍ",00067,0020,333,NULO,4
am,2003,"APUÍ",00067,0021,334,12,6
am,2003,"APUÍ",00067,0021,334,13,86
am,2003,"APUÍ",00067,0021,334,15,5
am,2003,"APUÍ",00067,0021,334,22,150
am,2003,"APUÍ",00067,0021,334,BRANCO,3
am,2003,"APUÍ",00067,0021,334,NULO,1
am,2003,"APUÍ",00067,0022,334,12,3
am,2003,"APUÍ",00067,0022,334,13,83
am,2003,"APUÍ",00067,0022,334,14,1
am,2003,"APUÍ",00067,0022,334,15,7
am,2003,"APUÍ",00067,0022,334,22,140
am,2003,"APUÍ",00067,0022,334,30,1
am,2003,"APUÍ",00067,0022,334,NULO,2
am,2003,"APUÍ",00067,0023,373,12,4
am,2003,"APUÍ",00067,0023,373,13,85
am,2003,"APUÍ",00067,0023,373,15,7
am,2003,"APUÍ",00067,0023,373,22,135
am,2003,"APUÍ",00067,0023,373,30,1
am,2003,"APUÍ",00067,0023,373,BRANCO,4
am,2003,"APUÍ",00067,0023,373,NULO,2
am,2003,"APUÍ",00067,0024,398,12,3
am,2003,"APUÍ",00067,0024,398,13,85
am,2003,"APUÍ",00067,0024,398,15,4
am,2003,"APUÍ",00067,0024,398,22,149
am,2003,"APUÍ",00067,0024,398,30,1
am,2003,"APUÍ",00067,0024,398,BRANCO,5
am,2003,"APUÍ",00067,0024,398,NULO,3
am,2003,"APUÍ",00067,0025,333,12,2
am,2003,"APUÍ",00067,0025,333,13,80
am,2003,"APUÍ",00067,0025,333,15,4
am,2003,"APUÍ",00067,0025,333,22,135
am,2003,"APUÍ",00067,0025,333,BRANCO,2
am,2003,"APUÍ",00067,0025,333,NULO,1
am,2003,"APUÍ",00067,0026,517,12,1
am,2003,"APUÍ",00067,0026,517,13,84
am,2003,"APUÍ",00067,0026,517,15,11
am,2003,"APUÍ",00067,0026,517,22,267
am,2003,"APUÍ",00067,0026,517,44,3
am,2003,"APUÍ",00067,0026,517,NULO,5
am,2003,"APUÍ",00067,0028,440,12,5
am,2003,"APUÍ",00067,0028,440,13,76
am,2003,"APUÍ",00067,0028,440,15,7
am,2003,"APUÍ",00067,0028,440,22,193
am,2003,"APUÍ",00067,0028,440,44,4
am,2003,"APUÍ",00067,0028,440,BRANCO,3
am,2003,"APUÍ",00067,0028,440,NULO,4
am,2003,"APUÍ",00067,0029,460,12,4
am,2003,"APUÍ",00067,0029,460,13,96
am,2003,"APUÍ",00067,0029,460,15,6
am,2003,"APUÍ",00067,0029,460,22,182
am,2003,"APUÍ",00067,0029,460,NULO,5
am,2003,"APUÍ",00067,0030,515,12,1
am,2003,"APUÍ",00067,0030,515,13,149
am,2003,"APUÍ",00067,0030,515,15,1
am,2003,"APUÍ",00067,0030,515,22,239
am,2003,"APUÍ",00067,0030,515,NULO,2
am,2003,"APUÍ",00067,0031,372,13,74
am,2003,"APUÍ",00067,0031,372,15,3
am,2003,"APUÍ",00067,0031,372,22,54
am,2003,"APUÍ",00067,0031,372,44,1
am,2003,"APUÍ",00067,0031,372,NULO,1
am,2003,"APUÍ",00067,0032,445,12,3
am,2003,"APUÍ",00067,0032,445,13,142
am,2003,"APUÍ",00067,0032,445,15,5
am,2003,"APUÍ",00067,0032,445,22,140
am,2003,"APUÍ",00067,0032,445,44,1
am,2003,"APUÍ",00067,0032,445,BRANCO,2
am,2003,"APUÍ",00067,0032,445,NULO,2
am,2003,"APUÍ",00067,0034,368,12,4
am,2003,"APUÍ",00067,0034,368,13,101
am,2003,"APUÍ",00067,0034,368,15,5
am,2003,"APUÍ",00067,0034,368,22,161
am,2003,"APUÍ",00067,0034,368,44,1
am,2003,"APUÍ",00067,0034,368,BRANCO,1
am,2003,"APUÍ",00067,0034,368,NULO,3
am,2003,"APUÍ",00067,0036,340,12,2
am,2003,"APUÍ",00067,0036,340,13,71
am,2003,"APUÍ",00067,0036,340,15,4
am,2003,"APUÍ",00067,0036,340,21,1
am,2003,"APUÍ",00067,0036,340,22,154
am,2003,"APUÍ",00067,0036,340,30,1
am,2003,"APUÍ",00067,0036,340,44,3
am,2003,"APUÍ",00067,0036,340,NULO,1
am,2003,"APUÍ",00067,0037,194,12,1
am,2003,"APUÍ",00067,0037,194,13,47
am,2003,"APUÍ",00067,0037,194,15,4
am,2003,"APUÍ",00067,0037,194,22,100
am,2003,"APUÍ",00067,0037,194,30,2
am,2003,"APUÍ",00067,0037,194,44,1
am,2003,"APUÍ",00067,0037,194,NULO,1
am,2003,"APUÍ",00067,0039,107,12,5
am,2003,"APUÍ",00067,0039,107,13,29
am,2003,"APUÍ",00067,0039,107,15,8
am,2003,"APUÍ",00067,0039,107,22,19
am,2003,"APUÍ",00067,0039,107,44,1
am,2003,"APUÍ",00067,0039,107,BRANCO,1
am,2003,"APUÍ",00067,0039,107,NULO,1
am,2003,"APUÍ",00067,0040,374,12,4
am,2003,"APUÍ",00067,0040,374,13,92
am,2003,"APUÍ",00067,0040,374,15,2
am,2003,"APUÍ",00067,0040,374,22,175
am,2003,"APUÍ",00067,0040,374,30,1
am,2003,"APUÍ",00067,0040,374,44,1
am,2003,"APUÍ",00067,0040,374,BRANCO,2
am,2003,"APUÍ",00067,0040,374,NULO,3
am,2003,"APUÍ",00067,0043,341,12,5
am,2003,"APUÍ",00067,0043,341,13,70
am,2003,"APUÍ",00067,0043,341,15,7
am,2003,"APUÍ",00067,0043,341,22,122
am,2003,"APUÍ",00067,0043,341,BRANCO,2
am,2003,"APUÍ",00067,0043,341,NULO,2
am,2119,"BARREIRINHA",00026,0001,411,12,2
am,2119,"BARREIRINHA",00026,0001,411,13,279
am,2119,"BARREIRINHA",00026,0001,411,15,4
am,2119,"BARREIRINHA",00026,0001,411,22,29
am,2119,"BARREIRINHA",00026,0001,411,BRANCO,1
am,2119,"BARREIRINHA",00026,0001,411,NULO,3
am,2119,"BARREIRINHA",00026,0002,399,12,1
am,2119,"BARREIRINHA",00026,0002,399,13,267
am,2119,"BARREIRINHA",00026,0002,399,15,9
am,2119,"BARREIRINHA",00026,0002,399,22,31
am,2119,"BARREIRINHA",00026,0002,399,44,3
am,2119,"BARREIRINHA",00026,0002,399,BRANCO,1
am,2119,"BARREIRINHA",00026,0002,399,NULO,4
am,2119,"BARREIRINHA",00026,0003,408,12,5
am,2119,"BARREIRINHA",00026,0003,408,13,276
am,2119,"BARREIRINHA",00026,0003,408,15,6
am,2119,"BARREIRINHA",00026,0003,408,22,29
am,2119,"BARREIRINHA",00026,0003,408,NULO,2
am,2119,"BARREIRINHA",00026,0004,410,12,5
am,2119,"BARREIRINHA",00026,0004,410,13,283
am,2119,"BARREIRINHA",00026,0004,410,15,10
am,2119,"BARREIRINHA",00026,0004,410,22,30
am,2119,"BARREIRINHA",00026,0004,410,44,1
am,2119,"BARREIRINHA",00026,0004,410,BRANCO,1
am,2119,"BARREIRINHA",00026,0004,410,NULO,4
am,2119,"BARREIRINHA",00026,0005,407,12,3
am,2119,"BARREIRINHA",00026,0005,407,13,251
am,2119,"BARREIRINHA",00026,0005,407,15,8
am,2119,"BARREIRINHA",00026,0005,407,22,29
am,2119,"BARREIRINHA",00026,0005,407,44,1
am,2119,"BARREIRINHA",00026,0005,407,BRANCO,1
am,2119,"BARREIRINHA",00026,0005,407,NULO,4
am,2119,"BARREIRINHA",00026,0006,411,12,2
am,2119,"BARREIRINHA",00026,0006,411,13,258
am,2119,"BARREIRINHA",00026,0006,411,15,11
am,2119,"BARREIRINHA",00026,0006,411,22,36
am,2119,"BARREIRINHA",00026,0006,411,NULO,1
am,2119,"BARREIRINHA",00026,0007,409,12,2
am,2119,"BARREIRINHA",00026,0007,409,13,272
am,2119,"BARREIRINHA",00026,0007,409,15,3
am,2119,"BARREIRINHA",00026,0007,409,22,29
am,2119,"BARREIRINHA",00026,0007,409,30,1
am,2119,"BARREIRINHA",00026,0007,409,44,2
am,2119,"BARREIRINHA",00026,0007,409,NULO,2
am,2119,"BARREIRINHA",00026,0008,336,12,3
am,2119,"BARREIRINHA",00026,0008,336,13,216
am,2119,"BARREIRINHA",00026,0008,336,15,4
am,2119,"BARREIRINHA",00026,0008,336,22,16
am,2119,"BARREIRINHA",00026,0008,336,NULO,4
am,2119,"BARREIRINHA",00026,0009,319,12,2
am,2119,"BARREIRINHA",00026,0009,319,13,218
am,2119,"BARREIRINHA",00026,0009,319,15,4
am,2119,"BARREIRINHA",00026,0009,319,22,18
am,2119,"BARREIRINHA",00026,0009,319,44,2
am,2119,"BARREIRINHA",00026,0009,319,NULO,3
am,2119,"BARREIRINHA",00026,0010,318,12,2
am,2119,"BARREIRINHA",00026,0010,318,13,217
am,2119,"BARREIRINHA",00026,0010,318,15,5
am,2119,"BARREIRINHA",00026,0010,318,22,24
am,2119,"BARREIRINHA",00026,0010,318,44,1
am,2119,"BARREIRINHA",00026,0010,318,BRANCO,1
am,2119,"BARREIRINHA",00026,0010,318,NULO,1
am,2119,"BARREIRINHA",00026,0011,328,12,3
am,2119,"BARREIRINHA",00026,0011,328,13,202
am,2119,"BARREIRINHA",00026,0011,328,15,1
am,2119,"BARREIRINHA",00026,0011,328,22,30
am,2119,"BARREIRINHA",00026,0011,328,44,3
am,2119,"BARREIRINHA",00026,0011,328,NULO,1
am,2119,"BARREIRINHA",00026,0012,342,12,1
am,2119,"BARREIRINHA",00026,0012,342,13,260
am,2119,"BARREIRINHA",00026,0012,342,15,5
am,2119,"BARREIRINHA",00026,0012,342,22,19
am,2119,"BARREIRINHA",00026,0012,342,44,2
am,2119,"BARREIRINHA",00026,0012,342,BRANCO,1
am,2119,"BARREIRINHA",00026,0012,342,NULO,2
am,2119,"BARREIRINHA",00026,0013,344,12,1
am,2119,"BARREIRINHA",00026,0013,344,13,247
am,2119,"BARREIRINHA",00026,0013,344,15,6
am,2119,"BARREIRINHA",00026,0013,344,21,1
