"UF","cod_municipio","municipio","zona","secao","eleitores_aptos","candidato","quantidade_votos"
ap,6084,"PEDRA BRANCA DO AMAPARI",00011,0019,343,13,151
ap,6084,"PEDRA BRANCA DO AMAPARI",00011,0019,343,22,93
ap,6084,"PEDRA BRANCA DO AMAPARI",00011,0019,343,BRANCO,5
ap,6084,"PEDRA BRANCA DO AMAPARI",00011,0019,343,NULO,1
ap,6084,"PEDRA BRANCA DO AMAPARI",00011,0025,397,13,124
ap,6084,"PEDRA BRANCA DO AMAPARI",00011,0025,397,22,130
ap,6084,"PEDRA BRANCA DO AMAPARI",00011,0025,397,NULO,4
ap,6084,"PEDRA BRANCA DO AMAPARI",00011,0001,390,13,148
ap,6084,"PEDRA BRANCA DO AMAPARI",00011,0001,390,22,117
ap,6084,"PEDRA BRANCA DO AMAPARI",00011,0001,390,BRANCO,1
ap,6084,"PEDRA BRANCA DO AMAPARI",00011,0001,390,NULO,6
ap,6084,"PEDRA BRANCA DO AMAPARI",00011,0038,396,13,80
ap,6084,"PEDRA BRANCA DO AMAPARI",00011,0038,396,22,120
ap,6084,"PEDRA BRANCA DO AMAPARI",00011,0038,396,BRANCO,1
ap,6084,"PEDRA BRANCA DO AMAPARI",00011,0038,396,NULO,3
ap,6084,"PEDRA BRANCA DO AMAPARI",00011,0028,389,13,122
ap,6084,"PEDRA BRANCA DO AMAPARI",00011,0028,389,22,120
ap,6084,"PEDRA BRANCA DO AMAPARI",00011,0028,389,BRANCO,2
ap,6084,"PEDRA BRANCA DO AMAPARI",00011,0028,389,NULO,2
ap,6084,"PEDRA BRANCA DO AMAPARI",00011,0020,394,13,127
ap,6084,"PEDRA BRANCA DO AMAPARI",00011,0020,394,22,125
ap,6084,"PEDRA BRANCA DO AMAPARI",00011,0020,394,BRANCO,4
ap,6084,"PEDRA BRANCA DO AMAPARI",00011,0020,394,NULO,2
ap,6084,"PEDRA BRANCA DO AMAPARI",00011,0021,394,13,133
ap,6084,"PEDRA BRANCA DO AMAPARI",00011,0021,394,22,121
ap,6084,"PEDRA BRANCA DO AMAPARI",00011,0021,394,BRANCO,1
ap,6084,"PEDRA BRANCA DO AMAPARI",00011,0021,394,NULO,3
ap,6084,"PEDRA BRANCA DO AMAPARI",00011,0027,386,13,106
ap,6084,"PEDRA BRANCA DO AMAPARI",00011,0027,386,22,122
ap,6084,"PEDRA BRANCA DO AMAPARI",00011,0027,386,BRANCO,3
ap,6084,"PEDRA BRANCA DO AMAPARI",00011,0027,386,NULO,3
ap,6084,"PEDRA BRANCA DO AMAPARI",00011,0023,401,13,125
ap,6084,"PEDRA BRANCA DO AMAPARI",00011,0023,401,22,129
ap,6084,"PEDRA BRANCA DO AMAPARI",00011,0023,401,BRANCO,1
ap,6084,"PEDRA BRANCA DO AMAPARI",00011,0023,401,NULO,2
ap,6084,"PEDRA BRANCA DO AMAPARI",00011,0005,393,13,143
ap,6084,"PEDRA BRANCA DO AMAPARI",00011,0005,393,22,133
ap,6084,"PEDRA BRANCA DO AMAPARI",00011,0005,393,BRANCO,2
ap,6084,"PEDRA BRANCA DO AMAPARI",00011,0005,393,NULO,4
ap,6084,"PEDRA BRANCA DO AMAPARI",00011,0030,384,13,100
ap,6084,"PEDRA BRANCA DO AMAPARI",00011,0030,384,22,115
ap,6084,"PEDRA BRANCA DO AMAPARI",00011,0030,384,BRANCO,2
