"UF","cod_municipio","municipio","zona","secao","eleitores_aptos","candidato","quantidade_votos"
ap,6050,"MACAPÁ",00002,0001,205,12,11
ap,6050,"MACAPÁ",00002,0001,205,13,75
ap,6050,"MACAPÁ",00002,0001,205,15,17
ap,6050,"MACAPÁ",00002,0001,205,22,61
ap,6050,"MACAPÁ",00002,0001,205,30,1
ap,6050,"MACAPÁ",00002,0001,205,BRANCO,1
ap,6050,"MACAPÁ",00002,0001,205,NULO,2
ap,6050,"MACAPÁ",00002,0002,207,12,6
ap,6050,"MACAPÁ",00002,0002,207,13,72
ap,6050,"MACAPÁ",00002,0002,207,15,19
ap,6050,"MACAPÁ",00002,0002,207,22,81
ap,6050,"MACAPÁ",00002,0002,207,27,1
ap,6050,"MACAPÁ",00002,0002,207,BRANCO,1
ap,6050,"MACAPÁ",00002,0002,207,NULO,1
ap,6050,"MACAPÁ",00002,0003,204,12,7
ap,6050,"MACAPÁ",00002,0003,204,13,59
ap,6050,"MACAPÁ",00002,0003,204,15,14
ap,6050,"MACAPÁ",00002,0003,204,22,71
ap,6050,"MACAPÁ",00002,0003,204,30,1
ap,6050,"MACAPÁ",00002,0003,204,44,2
ap,6050,"MACAPÁ",00002,0003,204,BRANCO,3
ap,6050,"MACAPÁ",00002,0003,204,NULO,1
ap,6050,"MACAPÁ",00002,0004,206,12,6
ap,6050,"MACAPÁ",00002,0004,206,13,77
ap,6050,"MACAPÁ",00002,0004,206,15,17
ap,6050,"MACAPÁ",00002,0004,206,22,69
ap,6050,"MACAPÁ",00002,0004,206,30,1
ap,6050,"MACAPÁ",00002,0004,206,BRANCO,1
ap,6050,"MACAPÁ",00002,0005,204,12,5
ap,6050,"MACAPÁ",00002,0005,204,13,72
ap,6050,"MACAPÁ",00002,0005,204,15,6
ap,6050,"MACAPÁ",00002,0005,204,22,70
ap,6050,"MACAPÁ",00002,0005,204,30,2
ap,6050,"MACAPÁ",00002,0005,204,44,1
ap,6050,"MACAPÁ",00002,0005,204,BRANCO,2
ap,6050,"MACAPÁ",00002,0005,204,NULO,3
ap,6050,"MACAPÁ",00002,0006,201,12,7
ap,6050,"MACAPÁ",00002,0006,201,13,63
ap,6050,"MACAPÁ",00002,0006,201,14,1
