"UF","cod_municipio","municipio","zona","secao","eleitores_aptos","candidato","quantidade_votos"
ce,14699,"MISSÃO VELHA",00016,0019,198,13,142
ce,14699,"MISSÃO VELHA",00016,0019,198,22,21
ce,14699,"MISSÃO VELHA",00016,0019,198,BRANCO,2
ce,14699,"MISSÃO VELHA",00016,0019,198,NULO,2
ce,14699,"MISSÃO VELHA",00016,0089,341,13,221
ce,14699,"MISSÃO VELHA",00016,0089,341,22,59
ce,14699,"MISSÃO VELHA",00016,0089,341,BRANCO,8
ce,14699,"MISSÃO VELHA",00016,0089,341,NULO,3
ce,14699,"MISSÃO VELHA",00016,0050,275,13,175
ce,14699,"MISSÃO VELHA",00016,0050,275,22,44
ce,14699,"MISSÃO VELHA",00016,0050,275,BRANCO,2
ce,14699,"MISSÃO VELHA",00016,0050,275,NULO,8
ce,14699,"MISSÃO VELHA",00016,0062,192,13,147
ce,14699,"MISSÃO VELHA",00016,0062,192,22,10
ce,14699,"MISSÃO VELHA",00016,0062,192,BRANCO,2
ce,14699,"MISSÃO VELHA",00016,0062,192,NULO,4
ce,14699,"MISSÃO VELHA",00016,0114,76,13,51
ce,14699,"MISSÃO VELHA",00016,0114,76,22,15
ce,14699,"MISSÃO VELHA",00016,0114,76,NULO,1
ce,14699,"MISSÃO VELHA",00016,0053,287,13,194
ce,14699,"MISSÃO VELHA",00016,0053,287,22,33
ce,14699,"MISSÃO VELHA",00016,0053,287,BRANCO,3
ce,14699,"MISSÃO VELHA",00016,0053,287,NULO,3
ce,14699,"MISSÃO VELHA",00016,0025,272,13,207
ce,14699,"MISSÃO VELHA",00016,0025,272,22,15
ce,14699,"MISSÃO VELHA",00016,0025,272,BRANCO,2
ce,14699,"MISSÃO VELHA",00016,0025,272,NULO,4
ce,14699,"MISSÃO VELHA",00016,0001,296,13,176
ce,14699,"MISSÃO VELHA",00016,0001,296,22,58
ce,14699,"MISSÃO VELHA",00016,0001,296,BRANCO,2
ce,14699,"MISSÃO VELHA",00016,0001,296,NULO,7
ce,14699,"MISSÃO VELHA",00016,0038,353,13,214
ce,14699,"MISSÃO VELHA",00016,0038,353,22,75
ce,14699,"MISSÃO VELHA",00016,0038,353,BRANCO,5
ce,14699,"MISSÃO VELHA",00016,0038,353,NULO,9
ce,14699,"MISSÃO VELHA",00016,0074,287,13,197
ce,14699,"MISSÃO VELHA",00016,0074,287,22,38
ce,14699,"MISSÃO VELHA",00016,0074,287,BRANCO,4
ce,14699,"MISSÃO VELHA",00016,0074,287,NULO,12
ce,14699,"MISSÃO VELHA",00016,0091,327,13,223
ce,14699,"MISSÃO VELHA",00016,0091,327,22,39
ce,14699,"MISSÃO VELHA",00016,0091,327,BRANCO,7
ce,14699,"MISSÃO VELHA",00016,0091,327,NULO,11
ce,14699,"MISSÃO VELHA",00016,0101,292,13,190
ce,14699,"MISSÃO VELHA",00016,0101,292,22,51
ce,14699,"MISSÃO VELHA",00016,0101,292,BRANCO,4
ce,14699,"MISSÃO VELHA",00016,0101,292,NULO,9
ce,14699,"MISSÃO VELHA",00016,0028,301,13,212
ce,14699,"MISSÃO VELHA",00016,0028,301,22,44
ce,14699,"MISSÃO VELHA",00016,0028,301,BRANCO,1
ce,14699,"MISSÃO VELHA",00016,0028,301,NULO,8
ce,14699,"MISSÃO VELHA",00016,0007,198,13,137
ce,14699,"MISSÃO VELHA",00016,0007,198,22,27
ce,14699,"MISSÃO VELHA",00016,0007,198,BRANCO,1
ce,14699,"MISSÃO VELHA",00016,0007,198,NULO,1
ce,14699,"MISSÃO VELHA",00016,0088,230,13,177
ce,14699,"MISSÃO VELHA",00016,0088,230,22,30
ce,14699,"MISSÃO VELHA",00016,0088,230,BRANCO,2
ce,14699,"MISSÃO VELHA",00016,0088,230,NULO,5
ce,14699,"MISSÃO VELHA",00016,0041,338,13,212
ce,14699,"MISSÃO VELHA",00016,0041,338,22,56
ce,14699,"MISSÃO VELHA",00016,0041,338,BRANCO,2
ce,14699,"MISSÃO VELHA",00016,0041,338,NULO,2
ce,14699,"MISSÃO VELHA",00016,0099,362,13,255
ce,14699,"MISSÃO VELHA",00016,0099,362,22,16
ce,14699,"MISSÃO VELHA",00016,0099,362,NULO,13
ce,14699,"MISSÃO VELHA",00016,0020,329,13,227
ce,14699,"MISSÃO VELHA",00016,0020,329,22,47
ce,14699,"MISSÃO VELHA",00016,0020,329,BRANCO,4
