"UF","cod_municipio","municipio","zona","secao","eleitores_aptos","candidato","quantidade_votos"
df,97012,"BRASÍLIA",00019,0019,256,13,81
df,97012,"BRASÍLIA",00019,0019,256,22,126
df,97012,"BRASÍLIA",00019,0019,256,BRANCO,2
df,97012,"BRASÍLIA",00019,0019,256,NULO,2
df,97012,"BRASÍLIA",00019,0089,332,13,90
df,97012,"BRASÍLIA",00019,0089,332,22,182
df,97012,"BRASÍLIA",00019,0089,332,BRANCO,5
df,97012,"BRASÍLIA",00019,0089,332,NULO,6
df,97012,"BRASÍLIA",00019,0291,384,13,103
df,97012,"BRASÍLIA",00019,0291,384,22,227
df,97012,"BRASÍLIA",00019,0291,384,BRANCO,7
df,97012,"BRASÍLIA",00019,0291,384,NULO,5
df,97012,"BRASÍLIA",00019,0283,381,13,101
df,97012,"BRASÍLIA",00019,0283,381,22,219
df,97012,"BRASÍLIA",00019,0283,381,BRANCO,5
df,97012,"BRASÍLIA",00019,0283,381,NULO,8
df,97012,"BRASÍLIA",00019,0271,320,13,82
df,97012,"BRASÍLIA",00019,0271,320,22,190
df,97012,"BRASÍLIA",00019,0271,320,NULO,7
df,97012,"BRASÍLIA",00019,0155,397,13,119
df,97012,"BRASÍLIA",00019,0155,397,22,212
df,97012,"BRASÍLIA",00019,0155,397,BRANCO,2
df,97012,"BRASÍLIA",00019,0155,397,NULO,6
df,97012,"BRASÍLIA",00019,0309,331,13,82
df,97012,"BRASÍLIA",00019,0309,331,22,201
df,97012,"BRASÍLIA",00019,0309,331,BRANCO,2
df,97012,"BRASÍLIA",00019,0309,331,NULO,4
df,97012,"BRASÍLIA",00019,0333,392,13,102
df,97012,"BRASÍLIA",00019,0333,392,22,191
df,97012,"BRASÍLIA",00019,0333,392,BRANCO,4
df,97012,"BRASÍLIA",00019,0333,392,NULO,4
df,97012,"BRASÍLIA",00019,0268,352,13,79
df,97012,"BRASÍLIA",00019,0268,352,22,201
df,97012,"BRASÍLIA",00019,0268,352,BRANCO,4
df,97012,"BRASÍLIA",00019,0268,352,NULO,6
df,97012,"BRASÍLIA",00019,0216,329,13,119
df,97012,"BRASÍLIA",00019,0216,329,22,156
df,97012,"BRASÍLIA",00019,0216,329,BRANCO,7
df,97012,"BRASÍLIA",00019,0216,329,NULO,12
df,97012,"BRASÍLIA",00019,0327,394,13,79
df,97012,"BRASÍLIA",00019,0327,394,22,229
df,97012,"BRASÍLIA",00019,0327,394,BRANCO,5
df,97012,"BRASÍLIA",00019,0327,394,NULO,7
df,97012,"BRASÍLIA",00019,0193,282,13,98
df,97012,"BRASÍLIA",00019,0193,282,22,135
df,97012,"BRASÍLIA",00019,0193,282,BRANCO,6
df,97012,"BRASÍLIA",00019,0193,282,NULO,2
df,97012,"BRASÍLIA",00019,0062,348,13,123
df,97012,"BRASÍLIA",00019,0062,348,22,163
df,97012,"BRASÍLIA",00019,0062,348,BRANCO,10
df,97012,"BRASÍLIA",00019,0062,348,NULO,4
df,97012,"BRASÍLIA",00019,0275,329,13,82
df,97012,"BRASÍLIA",00019,0275,329,22,196
df,97012,"BRASÍLIA",00019,0275,329,BRANCO,5
df,97012,"BRASÍLIA",00019,0275,329,NULO,4
df,97012,"BRASÍLIA",00019,0282,348,13,88
df,97012,"BRASÍLIA",00019,0282,348,22,211
df,97012,"BRASÍLIA",00019,0282,348,BRANCO,1
df,97012,"BRASÍLIA",00019,0282,348,NULO,7
df,97012,"BRASÍLIA",00019,0126,356,13,106
df,97012,"BRASÍLIA",00019,0126,356,22,179
df,97012,"BRASÍLIA",00019,0126,356,BRANCO,5
df,97012,"BRASÍLIA",00019,0126,356,NULO,7
df,97012,"BRASÍLIA",00019,0173,395,13,128
df,97012,"BRASÍLIA",00019,0173,395,22,192
df,97012,"BRASÍLIA",00019,0173,395,BRANCO,6
df,97012,"BRASÍLIA",00019,0173,395,NULO,7
df,97012,"BRASÍLIA",00019,0053,339,13,89
df,97012,"BRASÍLIA",00019,0053,339,22,171
df,97012,"BRASÍLIA",00019,0053,339,BRANCO,4
df,97012,"BRASÍLIA",00019,0053,339,NULO,6
df,97012,"BRASÍLIA",00019,0025,290,13,91
df,97012,"BRASÍLIA",00019,0025,290,22,147
df,97012,"BRASÍLIA",00019,0025,290,BRANCO,1
df,97012,"BRASÍLIA",00019,0025,290,NULO,3
df,97012,"BRASÍLIA",00019,0334,388,13,86
df,97012,"BRASÍLIA",00019,0334,388,22,196
df,97012,"BRASÍLIA",00019,0334,388,BRANCO,8
df,97012,"BRASÍLIA",00019,0334,388,NULO,4
df,97012,"BRASÍLIA",00019,0059,342,13,86
df,97012,"BRASÍLIA",00019,0059,342,22,185
df,97012,"BRASÍLIA",00019,0059,342,BRANCO,7
df,97012,"BRASÍLIA",00019,0059,342,NULO,6
df,97012,"BRASÍLIA",00019,0257,385,13,113
df,97012,"BRASÍLIA",00019,0257,385,22,201
df,97012,"BRASÍLIA",00019,0257,385,BRANCO,3
df,97012,"BRASÍLIA",00019,0257,385,NULO,7
df,97012,"BRASÍLIA",00019,0267,384,13,114
df,97012,"BRASÍLIA",00019,0267,384,22,213
df,97012,"BRASÍLIA",00019,0267,384,BRANCO,6
df,97012,"BRASÍLIA",00019,0267,384,NULO,5
df,97012,"BRASÍLIA",00019,0119,360,13,121
df,97012,"BRASÍLIA",00019,0119,360,22,184
df,97012,"BRASÍLIA",00019,0119,360,BRANCO,4
df,97012,"BRASÍLIA",00019,0119,360,NULO,2
df,97012,"BRASÍLIA",00019,0297,350,13,85
df,97012,"BRASÍLIA",00019,0297,350,22,208
df,97012,"BRASÍLIA",00019,0297,350,BRANCO,2
df,97012,"BRASÍLIA",00019,0297,350,NULO,8
df,97012,"BRASÍLIA",00019,0001,298,13,105
df,97012,"BRASÍLIA",00019,0001,298,22,142
df,97012,"BRASÍLIA",00019,0001,298,BRANCO,2
df,97012,"BRASÍLIA",00019,0001,298,NULO,4
df,97012,"BRASÍLIA",00019,0189,284,13,100
df,97012,"BRASÍLIA",00019,0189,284,22,137
df,97012,"BRASÍLIA",00019,0189,284,BRANCO,3
df,97012,"BRASÍLIA",00019,0189,284,NULO,3
df,97012,"BRASÍLIA",00019,0185,392,13,115
df,97012,"BRASÍLIA",00019,0185,392,22,200
df,97012,"BRASÍLIA",00019,0185,392,BRANCO,4
df,97012,"BRASÍLIA",00019,0185,392,NULO,2
df,97012,"BRASÍLIA",00019,0038,310,13,88
df,97012,"BRASÍLIA",00019,0038,310,22,167
df,97012,"BRASÍLIA",00019,0038,310,BRANCO,4
df,97012,"BRASÍLIA",00019,0038,310,NULO,9
df,97012,"BRASÍLIA",00019,0252,300,13,69
df,97012,"BRASÍLIA",00019,0252,300,22,171
df,97012,"BRASÍLIA",00019,0252,300,BRANCO,6
df,97012,"BRASÍLIA",00019,0252,300,NULO,3
df,97012,"BRASÍLIA",00019,0176,390,13,126
df,97012,"BRASÍLIA",00019,0176,390,22,191
df,97012,"BRASÍLIA",00019,0176,390,BRANCO,6
df,97012,"BRASÍLIA",00019,0176,390,NULO,3
df,97012,"BRASÍLIA",00019,0074,349,13,105
df,97012,"BRASÍLIA",00019,0074,349,22,175
df,97012,"BRASÍLIA",00019,0074,349,BRANCO,5
df,97012,"BRASÍLIA",00019,0074,349,NULO,6
df,97012,"BRASÍLIA",00019,0299,344,13,100
df,97012,"BRASÍLIA",00019,0299,344,22,192
df,97012,"BRASÍLIA",00019,0299,344,BRANCO,2
df,97012,"BRASÍLIA",00019,0299,344,NULO,1
df,97012,"BRASÍLIA",00019,0091,330,13,86
df,97012,"BRASÍLIA",00019,0091,330,22,178
df,97012,"BRASÍLIA",00019,0091,330,BRANCO,2
df,97012,"BRASÍLIA",00019,0091,330,NULO,2
df,97012,"BRASÍLIA",00019,0101,415,13,148
df,97012,"BRASÍLIA",00019,0101,415,22,209
df,97012,"BRASÍLIA",00019,0101,415,BRANCO,2
df,97012,"BRASÍLIA",00019,0101,415,NULO,4
df,97012,"BRASÍLIA",00019,0242,315,13,105
df,97012,"BRASÍLIA",00019,0242,315,22,174
df,97012,"BRASÍLIA",00019,0242,315,NULO,3
df,97012,"BRASÍLIA",00019,0028,288,13,87
df,97012,"BRASÍLIA",00019,0028,288,22,135
df,97012,"BRASÍLIA",00019,0028,288,BRANCO,7
df,97012,"BRASÍLIA",00019,0028,288,NULO,2
df,97012,"BRASÍLIA",00019,0341,385,13,140
df,97012,"BRASÍLIA",00019,0341,385,22,167
df,97012,"BRASÍLIA",00019,0341,385,BRANCO,3
df,97012,"BRASÍLIA",00019,0341,385,NULO,6
df,97012,"BRASÍLIA",00019,0007,290,13,83
df,97012,"BRASÍLIA",00019,0007,290,22,154
df,97012,"BRASÍLIA",00019,0007,290,BRANCO,4
df,97012,"BRASÍLIA",00019,0007,290,NULO,9
df,97012,"BRASÍLIA",00019,0187,394,13,126
df,97012,"BRASÍLIA",00019,0187,394,22,186
