"UF","cod_municipio","municipio","zona","secao","eleitores_aptos","candidato","quantidade_votos"
df,97012,"BRASÍLIA",00001,0001,267,12,12
df,97012,"BRASÍLIA",00001,0001,267,13,78
df,97012,"BRASÍLIA",00001,0001,267,15,19
df,97012,"BRASÍLIA",00001,0001,267,22,107
df,97012,"BRASÍLIA",00001,0001,267,30,6
df,97012,"BRASÍLIA",00001,0001,267,44,1
df,97012,"BRASÍLIA",00001,0001,267,BRANCO,2
df,97012,"BRASÍLIA",00001,0001,267,NULO,5
df,97012,"BRASÍLIA",00001,0002,263,12,11
df,97012,"BRASÍLIA",00001,0002,263,13,79
df,97012,"BRASÍLIA",00001,0002,263,15,26
df,97012,"BRASÍLIA",00001,0002,263,22,98
df,97012,"BRASÍLIA",00001,0002,263,30,5
df,97012,"BRASÍLIA",00001,0002,263,BRANCO,4
df,97012,"BRASÍLIA",00001,0003,259,12,5
df,97012,"BRASÍLIA",00001,0003,259,13,69
df,97012,"BRASÍLIA",00001,0003,259,15,23
df,97012,"BRASÍLIA",00001,0003,259,22,100
df,97012,"BRASÍLIA",00001,0003,259,30,3
df,97012,"BRASÍLIA",00001,0003,259,44,1
df,97012,"BRASÍLIA",00001,0003,259,BRANCO,6
df,97012,"BRASÍLIA",00001,0003,259,NULO,4
df,97012,"BRASÍLIA",00001,0004,263,12,9
df,97012,"BRASÍLIA",00001,0004,263,13,60
df,97012,"BRASÍLIA",00001,0004,263,15,19
df,97012,"BRASÍLIA",00001,0004,263,22,104
df,97012,"BRASÍLIA",00001,0004,263,30,1
df,97012,"BRASÍLIA",00001,0004,263,BRANCO,3
df,97012,"BRASÍLIA",00001,0004,263,NULO,1
df,97012,"BRASÍLIA",00001,0005,266,12,9
df,97012,"BRASÍLIA",00001,0005,266,13,79
df,97012,"BRASÍLIA",00001,0005,266,14,4
df,97012,"BRASÍLIA",00001,0005,266,15,19
df,97012,"BRASÍLIA",00001,0005,266,22,98
df,97012,"BRASÍLIA",00001,0005,266,30,2
df,97012,"BRASÍLIA",00001,0005,266,44,1
df,97012,"BRASÍLIA",00001,0005,266,BRANCO,3
df,97012,"BRASÍLIA",00001,0005,266,NULO,2
df,97012,"BRASÍLIA",00001,0006,259,12,11
df,97012,"BRASÍLIA",00001,0006,259,13,86
df,97012,"BRASÍLIA",00001,0006,259,15,10
df,97012,"BRASÍLIA",00001,0006,259,22,104
df,97012,"BRASÍLIA",00001,0006,259,30,1
df,97012,"BRASÍLIA",00001,0006,259,80,2
df,97012,"BRASÍLIA",00001,0006,259,BRANCO,2
df,97012,"BRASÍLIA",00001,0006,259,NULO,3
df,97012,"BRASÍLIA",00001,0007,260,12,13
df,97012,"BRASÍLIA",00001,0007,260,13,85
df,97012,"BRASÍLIA",00001,0007,260,15,14
df,97012,"BRASÍLIA",00001,0007,260,22,96
df,97012,"BRASÍLIA",00001,0007,260,30,5
df,97012,"BRASÍLIA",00001,0007,260,BRANCO,1
df,97012,"BRASÍLIA",00001,0007,260,NULO,1
df,97012,"BRASÍLIA",00001,0008,256,12,10
df,97012,"BRASÍLIA",00001,0008,256,13,80
df,97012,"BRASÍLIA",00001,0008,256,14,1
df,97012,"BRASÍLIA",00001,0008,256,15,21
df,97012,"BRASÍLIA",00001,0008,256,16,1
df,97012,"BRASÍLIA",00001,0008,256,22,92
df,97012,"BRASÍLIA",00001,0008,256,30,2
df,97012,"BRASÍLIA",00001,0008,256,44,1
df,97012,"BRASÍLIA",00001,0008,256,80,1
df,97012,"BRASÍLIA",00001,0008,256,BRANCO,3
df,97012,"BRASÍLIA",00001,0008,256,NULO,2
df,97012,"BRASÍLIA",00001,0009,253,12,5
df,97012,"BRASÍLIA",00001,0009,253,13,80
df,97012,"BRASÍLIA",00001,0009,253,15,19
df,97012,"BRASÍLIA",00001,0009,253,22,100
df,97012,"BRASÍLIA",00001,0009,253,30,2
df,97012,"BRASÍLIA",00001,0009,253,44,1
df,97012,"BRASÍLIA",00001,0009,253,NULO,2
df,97012,"BRASÍLIA",00001,0011,251,12,12
df,97012,"BRASÍLIA",00001,0011,251,13,66
df,97012,"BRASÍLIA",00001,0011,251,15,20
df,97012,"BRASÍLIA",00001,0011,251,21,1
df,97012,"BRASÍLIA",00001,0011,251,22,95
df,97012,"BRASÍLIA",00001,0011,251,30,2
df,97012,"BRASÍLIA",00001,0011,251,44,1
df,97012,"BRASÍLIA",00001,0011,251,BRANCO,2
df,97012,"BRASÍLIA",00001,0011,251,NULO,1
df,97012,"BRASÍLIA",00001,0013,321,12,11
df,97012,"BRASÍLIA",00001,0013,321,13,113
df,97012,"BRASÍLIA",00001,0013,321,15,15
df,97012,"BRASÍLIA",00001,0013,321,22,118
df,97012,"BRASÍLIA",00001,0013,321,27,1
df,97012,"BRASÍLIA",00001,0013,321,30,3
df,97012,"BRASÍLIA",00001,0013,321,80,1
df,97012,"BRASÍLIA",00001,0013,321,BRANCO,1
df,97012,"BRASÍLIA",00001,0013,321,NULO,2
df,97012,"BRASÍLIA",00001,0015,253,12,12
df,97012,"BRASÍLIA",00001,0015,253,13,82
df,97012,"BRASÍLIA",00001,0015,253,15,12
df,97012,"BRASÍLIA",00001,0015,253,22,100
df,97012,"BRASÍLIA",00001,0015,253,27,1
df,97012,"BRASÍLIA",00001,0015,253,30,1
df,97012,"BRASÍLIA",00001,0015,253,BRANCO,2
df,97012,"BRASÍLIA",00001,0017,252,12,4
df,97012,"BRASÍLIA",00001,0017,252,13,82
df,97012,"BRASÍLIA",00001,0017,252,15,8
df,97012,"BRASÍLIA",00001,0017,252,22,97
df,97012,"BRASÍLIA",00001,0017,252,30,1
df,97012,"BRASÍLIA",00001,0017,252,BRANCO,2
df,97012,"BRASÍLIA",00001,0017,252,NULO,3
df,97012,"BRASÍLIA",00001,0020,273,12,8
df,97012,"BRASÍLIA",00001,0020,273,13,93
df,97012,"BRASÍLIA",00001,0020,273,15,21
df,97012,"BRASÍLIA",00001,0020,273,22,90
df,97012,"BRASÍLIA",00001,0020,273,30,1
df,97012,"BRASÍLIA",00001,0020,273,44,1
df,97012,"BRASÍLIA",00001,0020,273,BRANCO,1
df,97012,"BRASÍLIA",00001,0020,273,NULO,3
df,97012,"BRASÍLIA",00001,0021,269,12,14
df,97012,"BRASÍLIA",00001,0021,269,13,88
df,97012,"BRASÍLIA",00001,0021,269,14,1
df,97012,"BRASÍLIA",00001,0021,269,15,22
df,97012,"BRASÍLIA",00001,0021,269,22,87
df,97012,"BRASÍLIA",00001,0021,269,30,3
df,97012,"BRASÍLIA",00001,0021,269,BRANCO,2
df,97012,"BRASÍLIA",00001,0021,269,NULO,1
df,97012,"BRASÍLIA",00001,0022,268,12,6
df,97012,"BRASÍLIA",00001,0022,268,13,82
df,97012,"BRASÍLIA",00001,0022,268,14,1
df,97012,"BRASÍLIA",00001,0022,268,15,20
df,97012,"BRASÍLIA",00001,0022,268,21,1
df,97012,"BRASÍLIA",00001,0022,268,22,91
df,97012,"BRASÍLIA",00001,0022,268,30,3
df,97012,"BRASÍLIA",00001,0022,268,BRANCO,1
df,97012,"BRASÍLIA",00001,0022,268,NULO,2
df,97012,"BRASÍLIA",00001,0023,270,12,16
df,97012,"BRASÍLIA",00001,0023,270,13,92
df,97012,"BRASÍLIA",00001,0023,270,15,19
df,97012,"BRASÍLIA",00001,0023,270,22,81
df,97012,"BRASÍLIA",00001,0023,270,30,2
df,97012,"BRASÍLIA",00001,0023,270,80,1
df,97012,"BRASÍLIA",00001,0023,270,BRANCO,1
df,97012,"BRASÍLIA",00001,0023,270,NULO,3
df,97012,"BRASÍLIA",00001,0024,267,12,11
df,97012,"BRASÍLIA",00001,0024,267,13,93
df,97012,"BRASÍLIA",00001,0024,267,14,1
df,97012,"BRASÍLIA",00001,0024,267,15,14
df,97012,"BRASÍLIA",00001,0024,267,22,87
df,97012,"BRASÍLIA",00001,0024,267,30,2
df,97012,"BRASÍLIA",00001,0024,267,BRANCO,2
df,97012,"BRASÍLIA",00001,0024,267,NULO,4
df,97012,"BRASÍLIA",00001,0033,442,12,15
df,97012,"BRASÍLIA",00001,0033,442,13,113
df,97012,"BRASÍLIA",00001,0033,442,15,35
df,97012,"BRASÍLIA",00001,0033,442,22,181
df,97012,"BRASÍLIA",00001,0033,442,27,1
df,97012,"BRASÍLIA",00001,0033,442,30,5
df,97012,"BRASÍLIA",00001,0033,442,44,1
df,97012,"BRASÍLIA",00001,0033,442,BRANCO,3
df,97012,"BRASÍLIA",00001,0033,442,NULO,4
df,97012,"BRASÍLIA",00001,0035,228,12,7
df,97012,"BRASÍLIA",00001,0035,228,13,54
df,97012,"BRASÍLIA",00001,0035,228,15,12
df,97012,"BRASÍLIA",00001,0035,228,22,98
df,97012,"BRASÍLIA",00001,0035,228,30,1
df,97012,"BRASÍLIA",00001,0035,228,44,1
df,97012,"BRASÍLIA",00001,0035,228,BRANCO,1
df,97012,"BRASÍLIA",00001,0035,228,NULO,4
df,97012,"BRASÍLIA",00001,0036,217,12,10
df,97012,"BRASÍLIA",00001,0036,217,13,63
df,97012,"BRASÍLIA",00001,0036,217,15,15
df,97012,"BRASÍLIA",00001,0036,217,22,76
df,97012,"BRASÍLIA",00001,0036,217,30,2
df,97012,"BRASÍLIA",00001,0036,217,44,3
df,97012,"BRASÍLIA",00001,0036,217,BRANCO,1
df,97012,"BRASÍLIA",00001,0036,217,NULO,2
df,97012,"BRASÍLIA",00001,0037,232,12,13
df,97012,"BRASÍLIA",00001,0037,232,13,66
df,97012,"BRASÍLIA",00001,0037,232,15,13
df,97012,"BRASÍLIA",00001,0037,232,22,90
df,97012,"BRASÍLIA",00001,0037,232,30,1
df,97012,"BRASÍLIA",00001,0037,232,44,2
df,97012,"BRASÍLIA",00001,0037,232,NULO,3
df,97012,"BRASÍLIA",00001,0038,442,12,14
df,97012,"BRASÍLIA",00001,0038,442,13,114
df,97012,"BRASÍLIA",00001,0038,442,15,31
df,97012,"BRASÍLIA",00001,0038,442,22,171
df,97012,"BRASÍLIA",00001,0038,442,30,4
df,97012,"BRASÍLIA",00001,0038,442,BRANCO,3
df,97012,"BRASÍLIA",00001,0038,442,NULO,8
df,97012,"BRASÍLIA",00001,0040,229,12,6
df,97012,"BRASÍLIA",00001,0040,229,13,61
df,97012,"BRASÍLIA",00001,0040,229,15,14
df,97012,"BRASÍLIA",00001,0040,229,22,88
df,97012,"BRASÍLIA",00001,0040,229,30,2
df,97012,"BRASÍLIA",00001,0040,229,44,1
df,97012,"BRASÍLIA",00001,0040,229,BRANCO,1
df,97012,"BRASÍLIA",00001,0040,229,NULO,5
df,97012,"BRASÍLIA",00001,0041,446,12,8
df,97012,"BRASÍLIA",00001,0041,446,13,137
df,97012,"BRASÍLIA",00001,0041,446,14,1
df,97012,"BRASÍLIA",00001,0041,446,15,25
df,97012,"BRASÍLIA",00001,0041,446,22,171
df,97012,"BRASÍLIA",00001,0041,446,27,1
df,97012,"BRASÍLIA",00001,0041,446,30,5
df,97012,"BRASÍLIA",00001,0041,446,44,2
df,97012,"BRASÍLIA",00001,0041,446,BRANCO,3
df,97012,"BRASÍLIA",00001,0041,446,NULO,6
df,97012,"BRASÍLIA",00001,0043,439,12,11
df,97012,"BRASÍLIA",00001,0043,439,13,123
df,97012,"BRASÍLIA",00001,0043,439,15,29
df,97012,"BRASÍLIA",00001,0043,439,22,176
df,97012,"BRASÍLIA",00001,0043,439,BRANCO,6
df,97012,"BRASÍLIA",00001,0043,439,NULO,7
df,97012,"BRASÍLIA",00001,0045,229,12,11
df,97012,"BRASÍLIA",00001,0045,229,13,69
df,97012,"BRASÍLIA",00001,0045,229,15,11
df,97012,"BRASÍLIA",00001,0045,229,22,90
df,97012,"BRASÍLIA",00001,0045,229,30,2
df,97012,"BRASÍLIA",00001,0045,229,44,1
df,97012,"BRASÍLIA",00001,0045,229,NULO,3
df,97012,"BRASÍLIA",00001,0046,226,12,7
df,97012,"BRASÍLIA",00001,0046,226,13,63
df,97012,"BRASÍLIA",00001,0046,226,14,1
df,97012,"BRASÍLIA",00001,0046,226,15,14
df,97012,"BRASÍLIA",00001,0046,226,22,92
df,97012,"BRASÍLIA",00001,0046,226,30,1
