"UF","cod_municipio","municipio","zona","secao","aptos_presidente","total_votos_presidente","aptos_deputado_federal","total_deputado_federal"
al,27057,"ARAPIRACA",00022,0028,396,331,394,329
al,27057,"ARAPIRACA",00022,0031,422,368,403,351
al,27057,"ARAPIRACA",00022,0047,401,335,396,331
al,27057,"ARAPIRACA",00022,0048,402,336,398,333
al,27057,"ARAPIRACA",00022,0049,400,313,395,309
al,27057,"ARAPIRACA",00022,0296,400,356,396,353
al,27057,"ARAPIRACA",00022,0342,399,323,397,322
al,27057,"ARAPIRACA",00022,0343,398,338,395,336
al,27057,"ARAPIRACA",00022,0348,401,331,395,328
al,27057,"ARAPIRACA",00022,0351,401,319,399,317
al,27057,"ARAPIRACA",00022,0363,400,324,399,324
al,27057,"ARAPIRACA",00022,0364,398,337,397,336
al,27057,"ARAPIRACA",00022,0470,265,229,223,194
al,27057,"ARAPIRACA",00022,0511,399,283,398,282
al,27057,"ARAPIRACA",00022,0514,401,336,399,335
al,27057,"ARAPIRACA",00022,0525,400,322,399,321
al,27057,"ARAPIRACA",00022,0526,399,342,397,340
al,27057,"ARAPIRACA",00022,0534,400,326,399,325
al,27057,"ARAPIRACA",00022,0536,400,343,397,340
al,27057,"ARAPIRACA",00022,0541,400,324,398,323
al,27057,"ARAPIRACA",00022,0546,397,328,395,326
al,27057,"ARAPIRACA",00022,0548,398,307,397,306
al,27057,"ARAPIRACA",00022,0553,400,319,396,315
al,27057,"ARAPIRACA",00022,0556,399,322,394,319
al,27057,"ARAPIRACA",00022,0562,399,334,398,333
al,27057,"ARAPIRACA",00022,0571,399,320,396,317
al,27057,"ARAPIRACA",00022,0580,400,286,399,285
al,27057,"ARAPIRACA",00022,0593,423,330,398,311
al,27057,"ARAPIRACA",00055,0076,395,334,308,256
al,27057,"ARAPIRACA",00055,0084,395,339,313,273
al,27057,"ARAPIRACA",00055,0085,392,315,312,254
al,27057,"ARAPIRACA",00055,0105,327,270,323,266
al,27081,"CAMPESTRE",00053,0148,362,266,359,263
al,27413,"COLÔNIA LEOPOLDINA",00016,0116,244,194,242,192
al,27596,"IBATEGUARA",00016,0004,396,302,393,299
al,27596,"IBATEGUARA",00016,0066,399,301,395,297
al,27634,"IGREJA NOVA",00037,0119,322,253,319,250
al,27634,"IGREJA NOVA",00037,0127,311,244,310,243
al,27898,"MARAGOGI",00014,0142,399,311,392,304
al,27898,"MARAGOGI",00014,0143,399,317,395,313
al,28010,"MATRIZ DE CAMARAGIBE",00012,0195,396,297,395,296
al,28010,"MATRIZ DE CAMARAGIBE",00012,0201,324,226,322,224
al,28010,"MATRIZ DE CAMARAGIBE",00012,0226,400,289,397,286
al,28010,"MATRIZ DE CAMARAGIBE",00012,0234,300,222,299,221
al,28479,"PORTO DE PEDRAS",00012,0187,354,297,353,296
al,28690,"SÃO LUÍS DO QUITUNDE",00017,0177,138,121,135,118
al,28754,"SÃO SEBASTIÃO",00049,0025,357,275,356,274
al,28851,"UNIÃO DOS PALMARES",00021,0038,299,232,295,228
al,28851,"UNIÃO DOS PALMARES",00021,0060,395,291,392,288
al,28851,"UNIÃO DOS PALMARES",00021,0070,313,255,310,252
