"UF","cod_municipio","municipio","zona","secao","aptos_presidente","total_votos_presidente","aptos_deputado_federal","total_deputado_federal"
am,2151,"BOCA DO ACRE",00014,0042,279,209,278,208
am,2151,"BOCA DO ACRE",00014,0047,357,260,355,259
am,2275,"CODAJÁS",00007,0041,170,123,169,122
am,2690,"PARINTINS",00004,0078,284,155,212,121
am,2690,"PARINTINS",00004,0079,174,108,113,73
am,2712,"PAUINI",00044,0005,474,287,473,286
am,2712,"PAUINI",00044,0033,383,228,382,227
am,2097,"BARCELOS",00018,0012,489,353,488,352
am,2097,"BARCELOS",00018,0019,401,229,398,227
am,2097,"BARCELOS",00018,0023,161,108,160,107
am,2097,"BARCELOS",00018,0025,113,88,111,86
am,2097,"BARCELOS",00018,0032,390,216,383,213
am,2437,"ITAPIRANGA",00024,0060,357,261,356,260
am,2550,"MANAUS",00001,0651,291,247,290,246
am,2550,"MANAUS",00001,0669,421,375,351,308
am,2550,"MANAUS",00001,0681,318,283,305,272
am,2550,"MANAUS",00001,0683,363,307,360,304
am,2550,"MANAUS",00001,0685,311,273,300,270
am,2550,"MANAUS",00001,0688,346,310,334,302
am,2550,"MANAUS",00001,0694,405,362,369,328
am,2550,"MANAUS",00001,0695,346,311,318,283
am,2550,"MANAUS",00001,0701,411,364,403,358
am,2550,"MANAUS",00001,0710,316,274,300,258
am,2550,"MANAUS",00001,0723,317,276,309,269
am,2550,"MANAUS",00001,0763,505,452,437,384
am,2550,"MANAUS",00001,0770,314,280,313,279
am,2550,"MANAUS",00001,0777,317,273,306,269
am,2550,"MANAUS",00001,0791,341,296,298,253
am,2550,"MANAUS",00001,0794,294,242,292,242
am,2550,"MANAUS",00001,0799,381,306,330,272
am,2550,"MANAUS",00001,0800,305,255,303,253
am,2550,"MANAUS",00001,0810,295,258,294,257
am,2550,"MANAUS",00001,0819,305,246,303,246
am,2550,"MANAUS",00001,0834,340,282,333,276
am,2550,"MANAUS",00001,0842,394,321,320,260
am,2550,"MANAUS",00001,0843,457,393,388,327
am,2550,"MANAUS",00001,0845,321,277,312,268
am,2550,"MANAUS",00001,0851,372,319,357,305
am,2550,"MANAUS",00001,0852,310,271,306,267
am,2550,"MANAUS",00001,0855,325,271,316,262
am,2550,"MANAUS",00001,0860,324,280,314,270
am,2550,"MANAUS",00001,0862,306,256,304,255
am,2550,"MANAUS",00001,0866,320,272,312,264
am,2550,"MANAUS",00001,0873,312,274,307,270
am,2550,"MANAUS",00001,0875,339,276,307,248
am,2550,"MANAUS",00001,0890,322,267,317,263
am,2550,"MANAUS",00001,0892,342,271,328,258
am,2550,"MANAUS",00001,0894,321,249,294,224
am,2550,"MANAUS",00001,0897,408,330,398,322
am,2550,"MANAUS",00001,0899,300,224,298,224
am,2550,"MANAUS",00001,0905,383,309,365,294
am,2550,"MANAUS",00001,0921,302,230,300,228
am,2550,"MANAUS",00001,0956,326,273,325,273
am,2550,"MANAUS",00001,0972,337,304,239,211
am,2550,"MANAUS",00002,0535,371,316,355,301
am,2550,"MANAUS",00002,0540,320,287,319,286
am,2550,"MANAUS",00002,0589,405,349,404,348
am,2550,"MANAUS",00002,0598,381,330,364,316
am,2550,"MANAUS",00002,0621,381,323,366,308
am,2550,"MANAUS",00002,0650,378,322,351,296
