"UF","cod_municipio","municipio","zona","secao","aptos_presidente","total_votos_presidente","aptos_deputado_federal","total_deputado_federal"
ap,6050,"MACAPÁ",00002,0003,204,158,201,156
ap,6050,"MACAPÁ",00002,0004,206,171,205,170
ap,6050,"MACAPÁ",00002,0747,68,47,67,47
ap,6050,"MACAPÁ",00002,0766,459,419,120,114
ap,6050,"MACAPÁ",00002,0824,458,414,125,116
ap,6050,"MACAPÁ",00010,0378,412,288,411,287
ap,6050,"MACAPÁ",00010,0436,262,242,125,117
ap,6033,"CALÇOENE",00001,0059,259,197,258,197
ap,6157,"SANTANA",00006,0005,357,329,356,328
ap,6114,"FERREIRA GOMES",00012,0043,277,241,276,241
ap,6084,"PEDRA BRANCA DO AMAPARI",00011,0029,385,269,384,269
ap,6092,"OIAPOQUE",00004,0002,292,192,291,191
ap,6092,"OIAPOQUE",00004,0004,292,219,291,219
ap,6092,"OIAPOQUE",00004,0013,289,214,288,213
ap,6092,"OIAPOQUE",00004,0026,282,192,281,192
ap,6092,"OIAPOQUE",00004,0044,210,128,209,127
ap,6092,"OIAPOQUE",00004,0073,199,100,196,98
ap,6092,"OIAPOQUE",00004,0074,208,113,207,112
ap,6092,"OIAPOQUE",00004,0080,180,142,178,140
