"UF","cod_municipio","municipio","zona","secao","aptos_presidente","total_votos_presidente","aptos_deputado_federal","total_deputado_federal"
ba,30899,"FÁTIMA",00082,0018,369,281,368,280
ba,33197,"AMARGOSA",00036,0079,349,286,348,285
ba,33197,"AMARGOSA",00036,0080,408,332,407,331
ba,33197,"AMARGOSA",00036,0211,188,145,187,145
ba,33774,"BOM JESUS DA LAPA",00071,0016,318,215,317,214
ba,33774,"BOM JESUS DA LAPA",00071,0049,367,259,366,258
ba,33774,"BOM JESUS DA LAPA",00071,0203,373,302,372,302
ba,33774,"BOM JESUS DA LAPA",00071,0236,357,278,356,277
ba,33774,"BOM JESUS DA LAPA",00071,0297,367,305,366,304
ba,34150,"CAMAMU",00078,0016,342,234,341,233
ba,34410,"CARINHANHA",00125,0012,375,262,373,260
ba,34673,"CONCEIÇÃO DO COITÉ",00132,0090,368,318,367,317
ba,34673,"CONCEIÇÃO DO COITÉ",00132,0091,313,268,312,267
ba,35459,"IBICUÍ",00146,0143,339,245,338,244
ba,36552,"JAGUARARI",00179,0006,343,281,342,280
ba,36552,"JAGUARARI",00179,0098,114,93,112,91
ba,36854,"LAURO DE FREITAS",00180,0015,423,313,420,310
ba,36854,"LAURO DE FREITAS",00180,0016,425,321,416,315
ba,36854,"LAURO DE FREITAS",00180,0017,426,318,420,314
ba,36854,"LAURO DE FREITAS",00180,0018,424,307,420,304
ba,36854,"LAURO DE FREITAS",00180,0019,425,325,419,322
ba,36854,"LAURO DE FREITAS",00180,0020,425,335,416,326
ba,36854,"LAURO DE FREITAS",00180,0131,424,347,420,343
ba,36854,"LAURO DE FREITAS",00180,0136,426,343,410,331
ba,36854,"LAURO DE FREITAS",00180,0147,425,347,424,346
ba,36854,"LAURO DE FREITAS",00180,0149,425,352,408,338
ba,36854,"LAURO DE FREITAS",00180,0168,426,338,421,333
ba,36854,"LAURO DE FREITAS",00180,0177,426,341,424,339
ba,36854,"LAURO DE FREITAS",00180,0178,427,353,417,344
ba,36854,"LAURO DE FREITAS",00180,0182,425,334,414,324
ba,36854,"LAURO DE FREITAS",00180,0189,425,356,420,351
ba,36854,"LAURO DE FREITAS",00180,0192,425,344,405,328
ba,36854,"LAURO DE FREITAS",00180,0196,422,368,414,360
ba,36854,"LAURO DE FREITAS",00180,0197,426,348,411,335
ba,36854,"LAURO DE FREITAS",00180,0203,424,352,419,347
ba,36854,"LAURO DE FREITAS",00180,0212,427,350,423,346
ba,36854,"LAURO DE FREITAS",00180,0217,425,342,409,328
ba,36854,"LAURO DE FREITAS",00180,0227,400,340,366,308
ba,36854,"LAURO DE FREITAS",00180,0228,401,333,369,308
ba,36854,"LAURO DE FREITAS",00180,0282,425,324,422,321
ba,36854,"LAURO DE FREITAS",00180,0308,424,347,419,342
ba,36854,"LAURO DE FREITAS",00180,0309,423,348,414,339
ba,36854,"LAURO DE FREITAS",00180,0310,421,359,414,352
ba,36854,"LAURO DE FREITAS",00180,0311,425,347,420,342
ba,36854,"LAURO DE FREITAS",00180,0312,423,352,416,347
ba,36854,"LAURO DE FREITAS",00180,0354,424,331,423,330
ba,36854,"LAURO DE FREITAS",00180,0358,424,358,422,356
ba,36854,"LAURO DE FREITAS",00180,0361,425,357,423,355
ba,36854,"LAURO DE FREITAS",00180,0362,424,350,422,349
ba,36854,"LAURO DE FREITAS",00180,0363,424,338,417,331
ba,36854,"LAURO DE FREITAS",00180,0403,420,354,414,349
ba,36854,"LAURO DE FREITAS",00180,0437,426,356,422,352
ba,36854,"LAURO DE FREITAS",00180,0440,426,346,425,345
ba,36854,"LAURO DE FREITAS",00180,0441,426,338,422,334
ba,36854,"LAURO DE FREITAS",00180,0443,424,351,422,349
ba,36854,"LAURO DE FREITAS",00180,0445,425,344,420,339
ba,36854,"LAURO DE FREITAS",00180,0447,424,348,423,347
ba,36854,"LAURO DE FREITAS",00180,0448,426,354,421,349
ba,36854,"LAURO DE FREITAS",00180,0449,426,348,420,343
ba,36854,"LAURO DE FREITAS",00180,0474,428,367,424,363
ba,36854,"LAURO DE FREITAS",00180,0475,426,344,425,343
ba,36854,"LAURO DE FREITAS",00180,0476,421,358,415,352
ba,36854,"LAURO DE FREITAS",00180,0478,426,367,424,365
ba,36854,"LAURO DE FREITAS",00180,0480,424,330,404,312
