"UF","cod_municipio","municipio","zona","secao","aptos_presidente","total_votos_presidente","aptos_deputado_federal","total_deputado_federal"
df,97012,"BRASÍLIA",00001,0003,259,211,258,210
df,97012,"BRASÍLIA",00001,0013,321,265,250,201
df,97012,"BRASÍLIA",00001,0024,267,214,266,213
df,97012,"BRASÍLIA",00001,0051,299,246,298,245
df,97012,"BRASÍLIA",00001,0059,277,213,273,211
df,97012,"BRASÍLIA",00001,0068,307,257,306,256
df,97012,"BRASÍLIA",00001,0081,283,234,282,233
df,97012,"BRASÍLIA",00001,0082,278,240,277,239
df,97012,"BRASÍLIA",00001,0105,323,269,259,209
df,97012,"BRASÍLIA",00001,0106,325,285,256,220
df,97012,"BRASÍLIA",00001,0109,325,271,257,207
df,97012,"BRASÍLIA",00001,0127,330,281,271,229
df,97012,"BRASÍLIA",00001,0133,331,267,274,214
df,97012,"BRASÍLIA",00001,0135,333,274,273,222
df,97012,"BRASÍLIA",00001,0136,333,288,276,235
df,97012,"BRASÍLIA",00001,0176,326,271,257,202
df,97012,"BRASÍLIA",00001,0199,323,277,266,222
df,97012,"BRASÍLIA",00001,0202,318,262,256,203
df,97012,"BRASÍLIA",00001,0226,336,290,261,217
df,97012,"BRASÍLIA",00001,0228,336,290,261,220
df,97012,"BRASÍLIA",00001,0231,249,212,248,211
df,97012,"BRASÍLIA",00001,0237,318,262,251,199
df,97012,"BRASÍLIA",00001,0536,338,288,260,214
df,97012,"BRASÍLIA",00001,0581,318,278,260,221
df,97012,"BRASÍLIA",00001,0591,318,290,255,228
df,97012,"BRASÍLIA",00001,0616,268,224,267,223
df,97012,"BRASÍLIA",00001,0624,270,217,269,216
df,97012,"BRASÍLIA",00001,0632,316,266,253,204
df,97012,"BRASÍLIA",00001,0643,325,287,258,223
df,97012,"BRASÍLIA",00001,0656,227,191,225,189
df,97012,"BRASÍLIA",00001,0662,310,255,242,191
df,97012,"BRASÍLIA",00001,0697,256,215,255,214
df,97012,"BRASÍLIA",00002,0333,381,301,323,248
df,97012,"BRASÍLIA",00002,0363,391,341,390,340
df,97012,"BRASÍLIA",00002,0431,223,193,174,150
df,97012,"BRASÍLIA",00002,0444,380,309,306,239
df,97012,"BRASÍLIA",00002,0447,379,297,223,151
df,97012,"BRASÍLIA",00002,0454,395,361,393,359
df,97012,"BRASÍLIA",00003,0575,268,239,141,119
df,97012,"BRASÍLIA",00004,0244,387,293,386,292
df,97012,"BRASÍLIA",00004,0245,301,225,300,224
df,97012,"BRASÍLIA",00004,0308,351,295,296,242
df,97012,"BRASÍLIA",00004,0312,398,331,362,296
df,97012,"BRASÍLIA",00004,0322,359,312,255,217
df,97012,"BRASÍLIA",00004,0342,397,332,361,300
df,97012,"BRASÍLIA",00004,0393,391,306,390,305
df,97012,"BRASÍLIA",00004,0404,357,290,341,274
df,97012,"BRASÍLIA",00004,0410,399,350,365,317
df,97012,"BRASÍLIA",00004,0415,348,280,340,272
df,97012,"BRASÍLIA",00004,0428,371,304,363,296
df,97012,"BRASÍLIA",00004,0430,394,323,393,322
df,97012,"BRASÍLIA",00004,0438,348,277,340,269
df,97012,"BRASÍLIA",00004,0443,372,322,358,310
df,97012,"BRASÍLIA",00004,0452,357,306,343,292
df,97012,"BRASÍLIA",00004,0454,349,292,335,280
df,97012,"BRASÍLIA",00004,0458,357,294,339,276
df,97012,"BRASÍLIA",00004,0460,348,289,337,280
df,97012,"BRASÍLIA",00004,0461,399,348,365,315
df,97012,"BRASÍLIA",00004,0463,348,285,334,272
df,97012,"BRASÍLIA",00004,0471,369,317,362,311
df,97012,"BRASÍLIA",00004,0475,348,283,339,275
df,97012,"BRASÍLIA",00004,0494,356,283,342,269
df,97012,"BRASÍLIA",00004,0512,350,305,344,300
df,97012,"BRASÍLIA",00004,0517,348,307,342,301
df,97012,"BRASÍLIA",00004,0547,349,293,342,286
df,97012,"BRASÍLIA",00004,0561,349,297,345,295
df,97012,"BRASÍLIA",00004,0573,348,289,343,284
df,97012,"BRASÍLIA",00004,0578,349,269,340,261
df,97012,"BRASÍLIA",00004,0590,349,252,333,236
df,97012,"BRASÍLIA",00004,0593,61,56,58,53
df,97012,"BRASÍLIA",00005,0034,313,264,302,255
df,97012,"BRASÍLIA",00005,0044,368,305,360,298
df,97012,"BRASÍLIA",00005,0049,368,312,360,305
df,97012,"BRASÍLIA",00005,0063,356,305,318,271
df,97012,"BRASÍLIA",00005,0093,340,306,310,279
df,97012,"BRASÍLIA",00005,0097,374,318,345,291
df,97012,"BRASÍLIA",00005,0098,372,316,345,291
df,97012,"BRASÍLIA",00005,0102,371,311,345,287
df,97012,"BRASÍLIA",00005,0105,373,298,345,275
df,97012,"BRASÍLIA",00005,0136,308,254,279,228
df,97012,"BRASÍLIA",00005,0150,295,228,293,226
df,97012,"BRASÍLIA",00005,0170,341,282,327,270
df,97012,"BRASÍLIA",00005,0229,357,303,342,291
df,97012,"BRASÍLIA",00005,0275,365,286,356,278
df,97012,"BRASÍLIA",00005,0323,350,278,320,252
df,97012,"BRASÍLIA",00005,0375,260,202,242,189
df,97012,"BRASÍLIA",00005,0388,197,167,194,164
df,97012,"BRASÍLIA",00005,0398,237,192,236,191
df,97012,"BRASÍLIA",00005,0401,313,250,307,244
df,97012,"BRASÍLIA",00005,0403,349,295,334,281
df,97012,"BRASÍLIA",00005,0404,347,256,330,241
df,97012,"BRASÍLIA",00005,0413,357,274,353,270
df,97012,"BRASÍLIA",00005,0415,242,204,229,192
df,97012,"BRASÍLIA",00005,0417,347,276,332,261
df,97012,"BRASÍLIA",00005,0421,290,240,269,219
df,97012,"BRASÍLIA",00005,0424,348,266,328,247
df,97012,"BRASÍLIA",00005,0427,349,315,331,299
df,97012,"BRASÍLIA",00005,0428,169,152,159,142
df,97012,"BRASÍLIA",00005,0429,281,251,193,166
df,97012,"BRASÍLIA",00006,0096,362,290,292,226
df,97012,"BRASÍLIA",00006,0164,256,207,254,205
df,97012,"BRASÍLIA",00006,0186,398,305,387,295
df,97012,"BRASÍLIA",00006,0225,398,336,385,323
df,97012,"BRASÍLIA",00006,0260,398,336,384,324
df,97012,"BRASÍLIA",00006,0269,345,286,344,285
df,97012,"BRASÍLIA",00006,0280,398,335,386,324
df,97012,"BRASÍLIA",00006,0292,397,321,383,309
df,97012,"BRASÍLIA",00006,0295,350,246,276,179
df,97012,"BRASÍLIA",00006,0306,397,339,375,319
df,97012,"BRASÍLIA",00006,0341,399,326,383,315
df,97012,"BRASÍLIA",00006,0349,350,268,279,204
df,97012,"BRASÍLIA",00006,0365,398,328,385,317
df,97012,"BRASÍLIA",00006,0384,399,331,383,317
df,97012,"BRASÍLIA",00006,0407,397,334,381,319
df,97012,"BRASÍLIA",00006,0426,399,311,380,295
df,97012,"BRASÍLIA",00006,0441,400,305,381,287
df,97012,"BRASÍLIA",00006,0455,396,264,387,255
df,97012,"BRASÍLIA",00006,0456,397,312,389,305
df,97012,"BRASÍLIA",00006,0458,399,316,330,254
df,97012,"BRASÍLIA",00008,0271,333,260,283,215
df,97012,"BRASÍLIA",00008,0338,314,259,275,221
df,97012,"BRASÍLIA",00008,0614,294,231,243,184
df,97012,"BRASÍLIA",00008,0649,307,250,273,221
df,97012,"BRASÍLIA",00008,0767,327,276,293,247
df,97012,"BRASÍLIA",00008,0798,248,208,221,182
df,97012,"BRASÍLIA",00008,0811,346,280,315,250
df,97012,"BRASÍLIA",00008,0822,296,232,275,212
df,97012,"BRASÍLIA",00008,0917,435,353,397,316
df,97012,"BRASÍLIA",00008,0970,256,210,218,172
df,97012,"BRASÍLIA",00009,0031,253,206,252,205
df,97012,"BRASÍLIA",00009,0221,437,373,436,372
df,97012,"BRASÍLIA",00009,0238,463,402,326,273
df,97012,"BRASÍLIA",00009,0291,461,408,326,279
df,97012,"BRASÍLIA",00009,0322,461,398,325,273
df,97012,"BRASÍLIA",00009,0416,391,328,342,282
df,97012,"BRASÍLIA",00009,0418,392,324,343,278
df,97012,"BRASÍLIA",00009,0419,389,315,332,260
df,97012,"BRASÍLIA",00009,0422,393,346,344,301
df,97012,"BRASÍLIA",00009,0423,390,334,341,288
df,97012,"BRASÍLIA",00009,0427,339,271,296,230
df,97012,"BRASÍLIA",00009,0429,394,327,339,276
df,97012,"BRASÍLIA",00009,0437,392,360,381,352
df,97012,"BRASÍLIA",00009,2022,35,34,34,34
df,97012,"BRASÍLIA",00010,0015,394,332,393,331
df,97012,"BRASÍLIA",00010,0018,394,333,380,320
df,97012,"BRASÍLIA",00010,0019,394,338,383,329
df,97012,"BRASÍLIA",00010,0021,392,337,385,330
df,97012,"BRASÍLIA",00010,0049,321,273,239,197
df,97012,"BRASÍLIA",00010,0051,320,272,240,194
df,97012,"BRASÍLIA",00010,0107,400,328,388,317
df,97012,"BRASÍLIA",00010,0112,399,349,390,340
df,97012,"BRASÍLIA",00010,0124,241,204,240,203
df,97012,"BRASÍLIA",00010,0154,394,326,384,317
df,97012,"BRASÍLIA",00010,0158,312,270,276,234
