"UF","cod_municipio","municipio","zona","secao","aptos_presidente","total_votos_presidente","aptos_deputado_federal","total_deputado_federal"
es,56049,"IRUPI",00019,0089,306,254,305,254
es,56634,"LINHARES",00025,0068,400,299,377,277
es,56634,"LINHARES",00025,0070,402,314,379,295
es,56634,"LINHARES",00025,0580,400,286,387,275
es,56634,"LINHARES",00025,0502,470,320,387,254
es,56634,"LINHARES",00025,0583,401,302,385,287
es,56634,"LINHARES",00025,0077,400,301,378,281
es,56634,"LINHARES",00025,0581,401,302,388,290
es,56634,"LINHARES",00025,0476,96,88,95,88
es,56634,"LINHARES",00025,0582,399,310,386,300
es,56634,"LINHARES",00025,0579,399,305,386,294
es,56634,"LINHARES",00025,0069,399,319,375,298
es,56634,"LINHARES",00025,0597,396,298,375,281
es,56634,"LINHARES",00025,0254,400,329,379,313
es,56634,"LINHARES",00025,0071,400,327,381,311
es,56634,"LINHARES",00025,0072,402,318,379,300
es,56995,"SERRA",00053,0958,390,347,266,234
es,56995,"SERRA",00053,0925,400,320,391,312
es,56995,"SERRA",00053,0092,377,304,319,260
es,56995,"SERRA",00053,0955,398,311,392,305
es,56995,"SERRA",00053,0949,389,279,333,230
es,56995,"SERRA",00053,0930,386,263,335,217
es,56995,"SERRA",00053,0093,377,309,325,262
es,56995,"SERRA",00053,0932,400,289,394,283
es,56995,"SERRA",00059,0332,373,346,137,127
es,56995,"SERRA",00026,0628,401,349,369,322
es,56995,"SERRA",00026,0012,393,330,373,310
es,56995,"SERRA",00026,0612,400,290,392,284
es,56995,"SERRA",00026,0623,399,303,391,296
es,56995,"SERRA",00026,0624,401,311,393,305
es,56995,"SERRA",00026,0274,391,343,367,322
es,56618,"JERÔNIMO MONTEIRO",00004,0125,285,209,284,208
es,56537,"ITAGUAÇU",00016,0032,319,253,318,252
es,56472,"GUARAPARI",00024,0203,340,273,339,272
es,56391,"DORES DO RIO PRETO",00044,0094,297,240,296,239
es,57959,"VARGEM ALTA",00035,0179,312,253,311,252
es,57037,"VILA VELHA",00055,0309,360,311,285,245
es,57037,"VILA VELHA",00055,0267,359,309,281,238
es,57037,"VILA VELHA",00055,0227,365,310,324,271
es,57037,"VILA VELHA",00055,0012,366,303,323,262
es,57037,"VILA VELHA",00055,0262,364,286,317,247
es,57037,"VILA VELHA",00055,0236,360,326,281,252
es,57037,"VILA VELHA",00055,0287,365,291,323,254
