"UF","cod_municipio","municipio","zona","secao","aptos_presidente","total_votos_presidente","aptos_deputado_federal","total_deputado_federal"
go,95990,"SÃO LUÍS DE MONTES BELOS",00080,0042,342,261,341,260
go,95990,"SÃO LUÍS DE MONTES BELOS",00080,0051,267,208,266,207
go,95990,"SÃO LUÍS DE MONTES BELOS",00080,0081,262,214,261,213
go,92657,"BELA VISTA DE GOIÁS",00032,0074,337,240,336,239
go,96016,"SÃO MIGUEL DO ARAGUAIA",00094,0028,295,236,294,236
go,96016,"SÃO MIGUEL DO ARAGUAIA",00094,0041,340,253,339,252
go,96016,"SÃO MIGUEL DO ARAGUAIA",00094,0011,246,184,245,183
go,96016,"SÃO MIGUEL DO ARAGUAIA",00094,0045,346,242,345,241
go,92118,"ALTO PARAÍSO DE GOIÁS",00143,0065,247,208,246,207
go,93254,"CRISTALINA",00036,0099,383,265,382,264
go,95915,"SÃO DOMINGOS",00047,0026,277,213,274,210
go,93017,"CATALÃO",00008,0145,275,220,274,219
go,93017,"CATALÃO",00008,0087,398,293,397,292
go,94250,"ITUMBIARA",00016,0067,354,279,353,278
go,94250,"ITUMBIARA",00016,0198,340,270,339,269
go,94250,"ITUMBIARA",00016,0157,338,287,337,286
go,96938,"ÁGUA FRIA DE GOIÁS",00131,0113,408,301,407,300
go,93025,"CIDADE OCIDENTAL",00042,0050,336,262,335,261
go,93025,"CIDADE OCIDENTAL",00042,0126,195,166,193,164
go,93025,"CIDADE OCIDENTAL",00042,0051,335,285,333,284
go,93025,"CIDADE OCIDENTAL",00042,0040,342,280,341,280
go,95850,"SANTA ROSA DE GOIÁS",00013,0138,260,213,259,212
go,95494,"PONTALINA",00045,0021,287,219,286,218
go,92274,"APARECIDA DE GOIÂNIA",00119,0282,400,303,395,299
go,92274,"APARECIDA DE GOIÂNIA",00119,0267,400,311,389,301
go,92274,"APARECIDA DE GOIÂNIA",00119,0252,400,317,394,311
go,92274,"APARECIDA DE GOIÂNIA",00119,0316,399,308,395,304
go,92274,"APARECIDA DE GOIÂNIA",00119,0305,399,260,392,256
go,92274,"APARECIDA DE GOIÂNIA",00119,0311,399,299,387,289
go,92274,"APARECIDA DE GOIÂNIA",00119,0322,401,331,383,316
go,92274,"APARECIDA DE GOIÂNIA",00145,0334,244,204,139,114
go,92274,"APARECIDA DE GOIÂNIA",00132,0542,224,205,70,65
go,92274,"APARECIDA DE GOIÂNIA",00132,0650,223,205,55,51
go,95010,"NOVO BRASIL",00079,0028,248,203,247,202
go,95010,"NOVO BRASIL",00079,0021,252,205,251,204
go,92215,"ANÁPOLIS",00003,0646,360,293,309,248
go,92215,"ANÁPOLIS",00003,0682,400,297,393,290
go,92215,"ANÁPOLIS",00003,0483,400,283,391,276
go,92215,"ANÁPOLIS",00003,0475,402,310,393,301
go,92215,"ANÁPOLIS",00003,0469,400,308,396,305
go,92215,"ANÁPOLIS",00003,0690,398,317,392,312
go,92215,"ANÁPOLIS",00003,0645,358,275,301,227
go,92215,"ANÁPOLIS",00003,0669,308,248,307,247
go,92215,"ANÁPOLIS",00003,0480,399,300,388,290
go,92215,"ANÁPOLIS",00003,0066,323,226,322,225
go,92215,"ANÁPOLIS",00003,0472,401,316,398,313
go,92215,"ANÁPOLIS",00003,0488,396,288,390,283
go,92215,"ANÁPOLIS",00003,0462,398,303,390,296
go,92215,"ANÁPOLIS",00144,0056,389,322,348,286
go,92215,"ANÁPOLIS",00144,0160,387,315,350,282
go,92215,"ANÁPOLIS",00144,0178,389,306,345,265
go,92215,"ANÁPOLIS",00144,0169,385,315,350,283
go,92215,"ANÁPOLIS",00144,0157,388,291,348,254
go,92215,"ANÁPOLIS",00144,0061,390,311,355,279
go,92215,"ANÁPOLIS",00141,0001,396,325,334,271
go,92215,"ANÁPOLIS",00141,0185,389,299,388,298
go,92215,"ANÁPOLIS",00141,0005,397,319,339,267
go,92215,"ANÁPOLIS",00141,0125,398,324,327,262
go,92215,"ANÁPOLIS",00141,0146,398,318,328,257
go,92215,"ANÁPOLIS",00141,0026,396,321,395,320
go,92215,"ANÁPOLIS",00141,0085,397,329,335,273
go,95630,"QUIRINÓPOLIS",00046,0056,340,280,338,278
go,96458,"ACREÚNA",00128,0068,389,311,388,310
go,93610,"FORMOSA",00011,0199,229,202,228,201
go,93610,"FORMOSA",00011,0134,330,263,329,262
go,93610,"FORMOSA",00011,0082,301,241,300,241
