"UF","cod_municipio","municipio","zona","secao","aptos_presidente","total_votos_presidente","aptos_deputado_federal","total_deputado_federal"
ma,9253,"SÃO RAIMUNDO DAS MANGABEIRAS",00034,0036,346,251,345,250
ma,8893,"SÃO JOSÉ DE RIBAMAR",00047,0034,348,295,305,257
ma,8893,"SÃO JOSÉ DE RIBAMAR",00047,0033,445,369,403,331
ma,7765,"JENIPAPO DOS VIEIRAS",00097,0086,312,249,310,247
ma,7951,"GUIMARÃES",00030,0004,272,210,269,207
ma,7102,"ARAGUANÃ",00096,0166,384,261,383,261
ma,7447,"CENTRO DO GUILHERME",00101,0130,310,247,309,246
ma,7633,"CODÓ",00007,0041,335,260,334,259
ma,7633,"CODÓ",00007,0368,330,225,329,224
ma,7633,"CODÓ",00007,0404,266,198,264,196
ma,9571,"SANTA INÊS",00057,0148,345,291,342,288
ma,7277,"BALSAS",00022,0184,381,308,380,307
ma,7277,"BALSAS",00022,0236,374,276,372,275
ma,7277,"BALSAS",00022,0255,391,283,390,282
ma,9431,"TUTÓIA",00040,0128,252,195,251,195
ma,7331,"BARREIRINHAS",00056,0084,170,144,169,143
ma,7331,"BARREIRINHAS",00056,0003,279,231,277,229
ma,7056,"ALDEIAS ALTAS",00005,0146,284,216,283,215
ma,7056,"ALDEIAS ALTAS",00005,0153,296,231,295,230
ma,7056,"ALDEIAS ALTAS",00005,0072,270,192,269,191
ma,7978,"HUMBERTO DE CAMPOS",00032,0039,277,205,276,204
ma,9210,"SÃO LUÍS",00089,0221,398,343,393,338
ma,9210,"SÃO LUÍS",00089,0245,399,328,392,322
ma,9210,"SÃO LUÍS",00089,0070,399,337,391,331
ma,9210,"SÃO LUÍS",00089,0227,398,348,389,339
ma,9210,"SÃO LUÍS",00089,0351,397,344,387,337
ma,9210,"SÃO LUÍS",00089,0060,398,359,395,356
ma,9210,"SÃO LUÍS",00089,0067,399,339,393,334
ma,9210,"SÃO LUÍS",00089,0338,398,333,391,327
ma,9210,"SÃO LUÍS",00089,0087,398,348,391,342
ma,9210,"SÃO LUÍS",00089,0310,394,329,389,324
ma,9210,"SÃO LUÍS",00089,0103,398,333,390,325
ma,9210,"SÃO LUÍS",00089,0375,399,337,391,329
ma,9210,"SÃO LUÍS",00089,0215,398,339,391,335
ma,9210,"SÃO LUÍS",00089,0322,395,345,384,335
ma,9210,"SÃO LUÍS",00089,0233,398,341,389,334
ma,9210,"SÃO LUÍS",00089,0061,396,335,385,324
ma,9210,"SÃO LUÍS",00001,0299,463,374,395,316
ma,9210,"SÃO LUÍS",00001,0316,464,368,404,320
ma,9210,"SÃO LUÍS",00001,0562,440,377,421,361
ma,9210,"SÃO LUÍS",00001,0319,463,368,396,311
ma,9210,"SÃO LUÍS",00001,0678,439,354,416,332
ma,9210,"SÃO LUÍS",00001,0322,461,369,397,319
ma,9210,"SÃO LUÍS",00076,0652,358,323,341,308
ma,9210,"SÃO LUÍS",00076,0086,381,308,379,306
ma,9210,"SÃO LUÍS",00076,0599,393,325,377,310
ma,9210,"SÃO LUÍS",00076,0586,345,298,342,296
ma,9210,"SÃO LUÍS",00076,0603,399,337,395,334
ma,9210,"SÃO LUÍS",00076,0542,350,297,349,296
ma,9210,"SÃO LUÍS",00076,0357,395,312,375,292
ma,9210,"SÃO LUÍS",00076,0049,382,319,381,318
ma,9210,"SÃO LUÍS",00076,0611,395,323,377,305
ma,9210,"SÃO LUÍS",00076,0359,392,307,378,297
ma,9210,"SÃO LUÍS",00076,0304,392,336,385,330
ma,9210,"SÃO LUÍS",00076,0657,393,319,391,319
ma,9210,"SÃO LUÍS",00076,0629,394,312,369,289
ma,9210,"SÃO LUÍS",00076,0439,391,328,382,321
ma,9210,"SÃO LUÍS",00076,0602,393,328,366,303
ma,9210,"SÃO LUÍS",00076,0430,394,332,386,325
ma,9210,"SÃO LUÍS",00076,0610,401,322,398,319
ma,9210,"SÃO LUÍS",00076,0434,392,327,386,321
ma,9210,"SÃO LUÍS",00076,0553,394,333,393,332
ma,9210,"SÃO LUÍS",00076,0500,353,299,352,298
ma,9210,"SÃO LUÍS",00076,0261,395,321,372,303
ma,9210,"SÃO LUÍS",00076,0365,394,319,383,308
ma,9210,"SÃO LUÍS",00076,0605,432,376,431,375
ma,9210,"SÃO LUÍS",00002,0047,384,329,350,300
ma,9210,"SÃO LUÍS",00002,0386,299,255,298,254
ma,9210,"SÃO LUÍS",00002,0043,382,330,338,293
ma,9210,"SÃO LUÍS",00003,0291,493,385,446,344
ma,9210,"SÃO LUÍS",00003,0447,485,414,423,355
ma,9210,"SÃO LUÍS",00003,0446,487,395,419,330
ma,9210,"SÃO LUÍS",00003,0554,481,407,408,346
ma,9210,"SÃO LUÍS",00003,0562,488,415,426,358
ma,9210,"SÃO LUÍS",00003,0552,494,398,456,366
ma,9210,"SÃO LUÍS",00003,0285,494,414,458,383
ma,9210,"SÃO LUÍS",00003,0292,495,398,465,372
ma,9210,"SÃO LUÍS",00003,0288,496,412,461,378
ma,9210,"SÃO LUÍS",00003,0290,493,430,454,394
ma,9210,"SÃO LUÍS",00003,0400,392,326,391,325
ma,9210,"SÃO LUÍS",00003,0557,482,411,423,359
ma,9210,"SÃO LUÍS",00003,0287,493,402,463,372
ma,9210,"SÃO LUÍS",00003,0448,485,381,424,323
ma,9210,"SÃO LUÍS",00003,0560,494,381,461,353
ma,9210,"SÃO LUÍS",00003,0551,487,402,419,340
ma,9210,"SÃO LUÍS",00010,0530,360,311,347,299
ma,9210,"SÃO LUÍS",00010,0845,109,90,105,86
ma,9210,"SÃO LUÍS",00010,0769,359,289,352,284
ma,9210,"SÃO LUÍS",00010,0405,344,300,329,287
ma,9210,"SÃO LUÍS",00010,0069,306,265,293,253
ma,9210,"SÃO LUÍS",00010,0611,336,281,335,280
ma,9210,"SÃO LUÍS",00010,0468,314,281,313,280
ma,9210,"SÃO LUÍS",00010,0501,346,310,320,291
ma,9210,"SÃO LUÍS",00010,0844,108,81,107,80
ma,7692,"COROATÁ",00008,0014,261,202,259,201
ma,7692,"COROATÁ",00008,0146,31,28,29,26
ma,7692,"COROATÁ",00008,0080,259,197,258,196
ma,7234,"BACABAL",00013,0054,310,261,306,257
ma,7234,"BACABAL",00013,0426,209,169,208,168
ma,9199,"SÃO JOÃO DOS PATOS",00053,0147,211,169,209,167
ma,9199,"SÃO JOÃO DOS PATOS",00053,0061,420,313,419,312
ma,9156,"SÃO FRANCISCO DO MARANHÃO",00021,0079,248,177,247,177
ma,7340,"BURITICUPU",00095,0268,186,157,184,155
ma,9512,"VITÓRIA DO MEARIM",00041,0157,321,234,320,233
ma,8133,"LAGO DA PEDRA",00074,0020,367,296,366,295
ma,8699,"PINHEIRO",00037,0038,359,279,358,278
ma,9539,"VITORINO FREIRE",00049,0019,355,271,354,270
ma,7935,"GRAJAÚ",00015,0285,122,96,121,95
ma,7935,"GRAJAÚ",00015,0286,329,277,328,276
