"UF","cod_municipio","municipio","zona","secao","aptos_presidente","total_votos_presidente","aptos_deputado_federal","total_deputado_federal"
ms,91901,"VICENTINA",00004,0042,323,261,322,260
ms,91570,"SIDROLÂNDIA",00031,0075,257,203,256,203
ms,91570,"SIDROLÂNDIA",00031,0009,313,256,312,255
ms,90638,"CORUMBÁ",00050,0022,220,164,219,163
ms,90638,"CORUMBÁ",00050,0073,151,103,149,101
ms,90638,"CORUMBÁ",00050,0010,217,165,216,164
ms,90638,"CORUMBÁ",00007,0231,306,249,304,247
ms,90638,"CORUMBÁ",00007,0158,278,228,277,227
ms,90638,"CORUMBÁ",00007,0312,237,160,236,159
ms,90638,"CORUMBÁ",00007,0095,217,178,216,177
ms,90638,"CORUMBÁ",00007,0029,229,164,228,163
ms,91758,"DEODÁPOLIS",00039,0013,251,195,250,194
ms,90930,"IVINHEMA",00027,0021,323,252,322,251
ms,90930,"IVINHEMA",00027,0006,338,282,337,281
ms,91030,"LADÁRIO",00050,0101,250,169,249,168
ms,91030,"LADÁRIO",00050,0132,279,222,260,206
ms,90034,"ÁGUA CLARA",00023,0053,326,249,325,249
ms,90034,"ÁGUA CLARA",00023,0071,306,179,305,178
ms,90034,"ÁGUA CLARA",00023,0097,341,208,340,207
ms,91782,"CHAPADÃO DO SUL",00048,0098,304,227,303,226
ms,91782,"CHAPADÃO DO SUL",00048,0104,306,208,305,207
ms,91782,"CHAPADÃO DO SUL",00048,0095,277,176,276,175
ms,91650,"TRÊS LAGOAS",00051,0001,271,202,270,201
ms,91650,"TRÊS LAGOAS",00051,0086,318,255,317,254
ms,91650,"TRÊS LAGOAS",00051,0047,343,230,342,229
ms,91650,"TRÊS LAGOAS",00051,0005,281,208,280,207
ms,91650,"TRÊS LAGOAS",00051,0116,323,228,322,227
ms,91650,"TRÊS LAGOAS",00051,0011,297,230,296,229
ms,91650,"TRÊS LAGOAS",00009,0195,230,175,229,174
ms,91650,"TRÊS LAGOAS",00009,0049,233,151,232,150
ms,90115,"AMAMBAI",00001,0145,242,184,229,174
ms,91316,"PONTA PORÃ",00052,0051,347,255,345,253
ms,91138,"NAVIRAÍ",00002,0001,283,211,274,203
ms,91138,"NAVIRAÍ",00002,0047,280,206,279,205
ms,91138,"NAVIRAÍ",00002,0055,288,209,287,208
ms,91847,"PARANHOS",00001,0186,321,233,320,232
ms,90654,"COXIM",00012,0077,223,168,222,167
ms,90654,"COXIM",00012,0006,344,215,343,214
ms,90654,"COXIM",00012,0107,264,214,260,210
ms,90735,"DOURADOS",00018,0414,343,303,115,108
ms,90735,"DOURADOS",00018,0452,342,295,103,99
ms,90735,"DOURADOS",00018,0415,344,301,115,106
ms,90735,"DOURADOS",00018,0451,343,301,99,92
ms,90735,"DOURADOS",00018,0421,208,188,207,187
ms,90735,"DOURADOS",00018,0408,325,258,324,257
ms,91375,"PORTO MURTINHO",00020,0013,274,191,273,190
ms,98094,"SÃO GABRIEL DO OESTE",00040,0091,382,293,381,292
ms,98094,"SÃO GABRIEL DO OESTE",00040,0101,125,106,124,106
ms,91731,"ELDORADO",00025,0150,276,194,275,193
ms,98159,"TACURU",00033,0179,297,216,296,215
ms,90379,"BATAGUASSU",00006,0030,338,262,337,261
ms,98590,"CORONEL SAPUCAIA",00019,0266,234,190,232,189
ms,90492,"CAMAPUÃ",00014,0018,196,148,195,147
ms,91014,"JATEÍ",00004,0102,243,196,242,195
ms,98132,"SETE QUEDAS",00033,0143,174,137,173,136
ms,90514,"CAMPO GRANDE",00053,0005,293,253,292,252
ms,90514,"CAMPO GRANDE",00044,0221,322,274,321,273
ms,90514,"CAMPO GRANDE",00044,0281,344,262,343,261
ms,90514,"CAMPO GRANDE",00035,0559,284,235,283,234
ms,90514,"CAMPO GRANDE",00035,0521,289,249,288,248
ms,90514,"CAMPO GRANDE",00054,0123,369,314,368,313
ms,90514,"CAMPO GRANDE",00054,0037,379,301,378,300
ms,90514,"CAMPO GRANDE",00036,0291,333,310,121,113
ms,90514,"CAMPO GRANDE",00036,0289,334,315,110,102
ms,90514,"CAMPO GRANDE",00036,0407,333,305,119,112
ms,90514,"CAMPO GRANDE",00036,0405,333,305,117,111
ms,90514,"CAMPO GRANDE",00036,0288,334,299,98,90
ms,90514,"CAMPO GRANDE",00036,0290,333,302,107,100
ms,90514,"CAMPO GRANDE",00036,0266,320,269,319,268
ms,90514,"CAMPO GRANDE",00036,0404,333,302,119,106
ms,90514,"CAMPO GRANDE",00036,0406,333,305,108,102
