"UF","cod_municipio","municipio","zona","secao","aptos_presidente","total_votos_presidente","aptos_deputado_federal","total_deputado_federal"
mt,91979,"SANTA TEREZINHA",00016,0085,310,219,309,218
mt,90069,"QUERÊNCIA",00053,0155,53,39,52,38
mt,90069,"QUERÊNCIA",00053,0151,120,99,119,98
mt,90069,"QUERÊNCIA",00053,0143,390,258,389,257
mt,90697,"DIAMANTINO",00007,0201,267,209,265,207
mt,98850,"PORTO ALEGRE DO NORTE",00028,0087,214,145,213,144
mt,98698,"ITAÚBA",00023,0278,390,276,389,275
mt,91359,"PORTO DOS GAÚCHOS",00027,0082,351,279,350,278
mt,91774,"MIRASSOL D'OESTE",00018,0119,293,233,292,232
mt,90271,"ARIPUANÃ",00011,0126,352,221,350,219
mt,90271,"ARIPUANÃ",00011,0106,200,138,199,138
mt,90271,"ARIPUANÃ",00011,0141,391,245,390,244
mt,91219,"NOSSA SENHORA DO LIVRAMENTO",00020,0632,124,107,123,106
mt,90352,"BARRA DO GARÇAS",00009,0090,384,274,383,273
mt,90352,"BARRA DO GARÇAS",00009,0448,424,321,422,319
mt,90352,"BARRA DO GARÇAS",00009,0064,221,165,220,164
mt,90352,"BARRA DO GARÇAS",00009,0029,341,229,339,227
mt,90352,"BARRA DO GARÇAS",00009,0460,301,203,300,202
mt,90352,"BARRA DO GARÇAS",00009,0058,314,235,312,233
mt,90352,"BARRA DO GARÇAS",00009,0016,397,274,396,273
mt,98671,"COCALINHO",00030,0052,350,230,349,229
mt,98892,"PRIMAVERA DO LESTE",00040,0169,387,284,386,283
mt,89850,"SINOP",00022,0193,408,309,309,228
mt,89850,"SINOP",00022,0001,392,323,280,228
mt,89850,"SINOP",00022,0199,409,325,317,250
mt,89850,"SINOP",00022,0002,394,329,268,221
mt,89850,"SINOP",00022,0031,393,326,278,228
mt,89850,"SINOP",00022,0033,394,318,282,229
mt,89850,"SINOP",00022,0032,395,336,279,239
mt,89850,"SINOP",00022,0353,406,329,310,251
mt,89850,"SINOP",00022,0010,396,332,279,232
mt,89850,"SINOP",00022,0004,395,322,283,233
mt,89850,"SINOP",00022,0097,409,314,317,243
mt,91332,"PONTE BRANCA",00008,0047,203,164,202,163
mt,91510,"RONDONÓPOLIS",00046,0316,387,272,386,271
mt,91510,"RONDONÓPOLIS",00046,0397,317,269,178,152
mt,91510,"RONDONÓPOLIS",00046,0287,317,262,316,261
mt,91510,"RONDONÓPOLIS",00046,0379,336,237,335,236
mt,91510,"RONDONÓPOLIS",00010,0001,393,326,312,253
mt,91510,"RONDONÓPOLIS",00010,0242,390,327,176,143
mt,91510,"RONDONÓPOLIS",00010,0227,368,292,367,292
mt,91510,"RONDONÓPOLIS",00010,0452,381,298,380,297
mt,91510,"RONDONÓPOLIS",00010,0044,226,180,225,179
mt,91510,"RONDONÓPOLIS",00010,0384,354,260,353,260
mt,91510,"RONDONÓPOLIS",00010,0002,392,314,307,241
mt,91510,"RONDONÓPOLIS",00010,0258,388,314,272,214
mt,91510,"RONDONÓPOLIS",00010,0293,237,166,236,165
mt,91510,"RONDONÓPOLIS",00010,0174,354,280,353,279
mt,98612,"ALTO TAQUARI",00008,0026,273,218,272,217
mt,90670,"CUIABÁ",00001,0993,449,394,206,178
mt,90670,"CUIABÁ",00001,0994,447,384,203,171
mt,90670,"CUIABÁ",00001,0995,448,395,200,177
mt,90670,"CUIABÁ",00001,0181,153,123,151,121
mt,90670,"CUIABÁ",00001,0190,185,162,174,151
mt,90670,"CUIABÁ",00051,0172,357,308,356,307
mt,90670,"CUIABÁ",00051,0049,385,313,384,312
mt,90670,"CUIABÁ",00051,0238,318,279,317,278
mt,90670,"CUIABÁ",00051,0330,375,326,374,325
mt,90670,"CUIABÁ",00055,0007,329,273,280,233
mt,90670,"CUIABÁ",00055,0235,378,314,362,301
mt,90670,"CUIABÁ",00055,0310,222,180,164,135
mt,90670,"CUIABÁ",00055,0234,377,319,360,303
mt,90670,"CUIABÁ",00055,0311,170,145,124,103
mt,90670,"CUIABÁ",00039,0491,298,245,297,244
mt,90670,"CUIABÁ",00039,0479,402,367,270,241
