"UF","cod_municipio","municipio","zona","secao","aptos_presidente","total_votos_presidente","aptos_deputado_federal","total_deputado_federal"
ac,1074,"CRUZEIRO DO SUL",00004,0058,289,229,278,220
ac,1074,"CRUZEIRO DO SUL",00004,0112,162,142,161,141
ac,1074,"CRUZEIRO DO SUL",00004,0154,253,206,251,204
ac,1074,"CRUZEIRO DO SUL",00004,0168,255,209,251,205
ac,1112,"EPITACIOLÂNDIA",00006,0040,291,222,290,221
ac,1112,"EPITACIOLÂNDIA",00006,0046,297,227,296,226
ac,1112,"EPITACIOLÂNDIA",00006,0050,286,234,285,233
ac,1112,"EPITACIOLÂNDIA",00006,0051,284,216,283,215
ac,1112,"EPITACIOLÂNDIA",00006,0060,285,247,284,246
ac,1392,"RIO BRANCO",00001,0172,366,307,282,227
ac,1392,"RIO BRANCO",00001,0278,368,320,281,242
ac,1392,"RIO BRANCO",00009,0043,368,304,340,281
ac,1392,"RIO BRANCO",00009,0086,337,268,334,265
ac,1392,"RIO BRANCO",00009,0129,366,301,345,281
ac,1392,"RIO BRANCO",00009,0213,328,220,327,219
ac,1392,"RIO BRANCO",00009,0264,376,293,353,273
ac,1392,"RIO BRANCO",00009,0286,364,264,345,247
ac,1392,"RIO BRANCO",00009,0292,378,290,353,270
ac,1392,"RIO BRANCO",00009,0308,379,289,352,266
ac,1392,"RIO BRANCO",00009,0313,362,267,340,246
ac,1392,"RIO BRANCO",00009,0377,305,258,304,257
ac,1392,"RIO BRANCO",00009,0403,375,283,350,260
ac,1392,"RIO BRANCO",00009,0405,375,287,354,266
ac,1392,"RIO BRANCO",00009,0409,361,281,341,262
ac,1392,"RIO BRANCO",00009,0415,370,268,346,246
ac,1392,"RIO BRANCO",00009,0438,373,291,351,275
ac,1392,"RIO BRANCO",00009,0446,375,326,351,305
ac,1031,"SANTA ROSA DO PURUS",00003,0096,329,247,328,246
ac,1023,"PORTO ACRE",00001,0580,246,185,245,184
ac,1570,"ASSIS BRASIL",00006,0093,339,258,338,257
ac,1058,"BRASILÉIA",00006,0007,271,202,270,201
ac,1058,"BRASILÉIA",00006,0019,322,259,321,258
ac,1058,"BRASILÉIA",00006,0088,313,253,312,252
ac,1511,"PLÁCIDO DE CASTRO",00008,0043,204,167,203,166
ac,1511,"PLÁCIDO DE CASTRO",00008,0144,286,228,285,227
ac,1473,"TARAUACÁ",00005,0005,322,201,321,200
ac,1473,"TARAUACÁ",00005,0014,296,203,295,202
ac,1473,"TARAUACÁ",00005,0016,237,158,236,157
ac,1473,"TARAUACÁ",00005,0029,333,221,332,221
ac,1473,"TARAUACÁ",00005,0080,281,208,280,207
ac,1473,"TARAUACÁ",00005,0133,131,103,130,102
ac,1104,"JORDÃO",00005,0028,280,179,278,177
am,2151,"BOCA DO ACRE",00014,0042,279,209,278,208
am,2151,"BOCA DO ACRE",00014,0047,357,260,355,259
am,2275,"CODAJÁS",00007,0041,170,123,169,122
am,2690,"PARINTINS",00004,0078,284,155,212,121
am,2690,"PARINTINS",00004,0079,174,108,113,73
am,2712,"PAUINI",00044,0005,474,287,473,286
am,2712,"PAUINI",00044,0033,383,228,382,227
am,2097,"BARCELOS",00018,0012,489,353,488,352
am,2097,"BARCELOS",00018,0019,401,229,398,227
am,2097,"BARCELOS",00018,0023,161,108,160,107
am,2097,"BARCELOS",00018,0025,113,88,111,86
am,2097,"BARCELOS",00018,0032,390,216,383,213
am,2437,"ITAPIRANGA",00024,0060,357,261,356,260
am,2550,"MANAUS",00001,0651,291,247,290,246
am,2550,"MANAUS",00001,0669,421,375,351,308
am,2550,"MANAUS",00001,0681,318,283,305,272
am,2550,"MANAUS",00001,0683,363,307,360,304
am,2550,"MANAUS",00001,0685,311,273,300,270
