"UF","cod_municipio","municipio","zona","secao","aptos_presidente","total_votos_presidente","aptos_deputado_federal","total_deputado_federal"
pa,4081,"TUCUMÃ",00074,0010,306,229,305,228
pa,4081,"TUCUMÃ",00074,0011,316,235,315,234
pa,4081,"TUCUMÃ",00074,0025,367,250,366,249
pa,4081,"TUCUMÃ",00074,0034,364,269,363,268
pa,4081,"TUCUMÃ",00074,0174,318,220,317,219
pa,5010,"ÓBIDOS",00022,0035,188,134,187,133
pa,5010,"ÓBIDOS",00022,0279,315,243,314,242
pa,4154,"ANANINDEUA",00043,0741,399,315,396,312
pa,4154,"ANANINDEUA",00043,0792,398,305,391,300
pa,4154,"ANANINDEUA",00043,0797,398,320,394,317
pa,4154,"ANANINDEUA",00043,0856,397,323,396,322
pa,4154,"ANANINDEUA",00043,0878,395,329,394,329
pa,4154,"ANANINDEUA",00043,0879,400,334,395,331
pa,4154,"ANANINDEUA",00043,0881,400,324,392,316
pa,4154,"ANANINDEUA",00043,0885,399,303,389,294
pa,4154,"ANANINDEUA",00043,0891,401,308,392,300
pa,4154,"ANANINDEUA",00043,0896,400,305,392,299
pa,4154,"ANANINDEUA",00043,0904,405,323,398,318
pa,4154,"ANANINDEUA",00043,0906,320,279,278,242
pa,4154,"ANANINDEUA",00043,0918,402,354,311,273
pa,4154,"ANANINDEUA",00072,0368,399,344,388,333
pa,4154,"ANANINDEUA",00072,0483,402,342,390,331
pa,4154,"ANANINDEUA",00072,0518,58,30,55,27
pa,4154,"ANANINDEUA",00072,0566,399,343,320,272
pa,4154,"ANANINDEUA",00072,0575,317,274,247,208
pa,4715,"ITAITUBA",00034,0073,255,172,254,171
pa,4715,"ITAITUBA",00034,0251,294,208,270,193
pa,4715,"ITAITUBA",00034,0597,393,291,392,291
pa,5037,"OEIRAS DO PARÁ",00045,0081,365,281,364,280
pa,5053,"ORIXIMINÁ",00038,0099,182,147,181,146
pa,5053,"ORIXIMINÁ",00038,0249,384,294,383,293
pa,5177,"PORTO DE MOZ",00082,0045,334,264,333,263
pa,5312,"SANTA MARIA DO PARÁ",00004,0435,311,254,309,252
pa,4022,"TAILÂNDIA",00093,0016,344,230,343,229
pa,4057,"AFUÁ",00016,0004,337,260,336,259
pa,4138,"ANAJÁS",00090,0047,401,324,396,319
pa,4138,"ANAJÁS",00090,0053,397,313,396,312
pa,4278,"BELÉM",00001,0019,489,406,487,405
pa,4278,"BELÉM",00001,0043,482,394,407,332
pa,4278,"BELÉM",00001,0367,317,285,269,243
pa,4278,"BELÉM",00001,0381,278,251,164,146
pa,4278,"BELÉM",00001,0478,469,419,422,373
pa,4278,"BELÉM",00028,0432,490,413,480,405
pa,4278,"BELÉM",00028,0500,423,380,395,353
pa,4278,"BELÉM",00028,0575,489,405,479,396
pa,4278,"BELÉM",00028,0614,466,381,455,372
pa,4278,"BELÉM",00028,0650,457,359,456,358
pa,4278,"BELÉM",00028,0654,494,414,476,397
pa,4278,"BELÉM",00028,0657,492,419,471,401
pa,4278,"BELÉM",00028,0660,493,400,471,378
pa,4278,"BELÉM",00028,0662,495,402,474,385
pa,4278,"BELÉM",00029,0592,496,431,481,417
pa,4278,"BELÉM",00029,0599,497,419,480,407
pa,4278,"BELÉM",00029,0677,498,411,480,395
pa,4278,"BELÉM",00029,0684,498,395,477,376
pa,4278,"BELÉM",00030,0231,498,392,497,391
pa,4278,"BELÉM",00030,0232,497,412,492,407
pa,4278,"BELÉM",00030,0262,499,417,495,413
pa,4278,"BELÉM",00030,0263,499,415,495,412
pa,4278,"BELÉM",00030,0563,500,419,494,413
pa,4278,"BELÉM",00030,0602,480,389,458,370
pa,4278,"BELÉM",00030,0605,500,423,490,414
pa,4278,"BELÉM",00030,0661,416,322,414,320
pa,4278,"BELÉM",00030,0688,489,364,481,357
pa,4278,"BELÉM",00030,0711,484,367,477,361
pa,4278,"BELÉM",00030,0740,495,409,490,406
pa,4278,"BELÉM",00030,0753,488,364,487,363
pa,4278,"BELÉM",00030,0811,480,399,452,373
pa,4278,"BELÉM",00030,0827,344,301,317,283
pa,4278,"BELÉM",00030,0833,178,155,171,150
pa,4278,"BELÉM",00030,0835,141,123,140,122
pa,4278,"BELÉM",00073,0570,457,368,456,367
pa,4278,"BELÉM",00073,0711,460,385,447,372
pa,4278,"BELÉM",00073,0721,459,371,442,357
pa,4278,"BELÉM",00073,0733,432,344,425,338
pa,4278,"BELÉM",00073,0734,459,387,447,375
pa,4278,"BELÉM",00073,0737,428,361,408,343
pa,4278,"BELÉM",00073,0741,427,354,406,334
pa,4278,"BELÉM",00073,0742,166,138,163,135
pa,4278,"BELÉM",00073,0743,458,399,447,389
pa,4278,"BELÉM",00073,0746,427,396,410,379
pa,4278,"BELÉM",00073,0748,448,388,445,387
pa,4278,"BELÉM",00073,0749,484,417,481,415
pa,4278,"BELÉM",00073,0751,146,130,119,108
pa,4278,"BELÉM",00073,0753,431,363,364,312
pa,4278,"BELÉM",00076,0283,319,276,318,275
pa,4278,"BELÉM",00076,0433,422,342,307,236
pa,4278,"BELÉM",00076,0467,483,404,400,325
pa,4278,"BELÉM",00076,0468,481,420,399,345
pa,4278,"BELÉM",00076,0469,485,421,400,348
pa,4278,"BELÉM",00076,0566,122,103,121,102
pa,4278,"BELÉM",00076,0567,419,368,304,264
pa,4278,"BELÉM",00095,0035,495,417,474,399
pa,4278,"BELÉM",00095,0036,496,407,484,398
pa,4278,"BELÉM",00095,0038,494,401,479,387
pa,4278,"BELÉM",00095,0039,495,409,477,393
pa,4278,"BELÉM",00095,0040,494,412,478,398
