"UF","cod_municipio","municipio","zona","secao","aptos_presidente","total_votos_presidente","aptos_deputado_federal","total_deputado_federal"
pb,22357,"TEIXEIRA",00030,0093,309,251,306,248
pb,21458,"PRATA",00043,0129,243,205,242,205
pb,20591,"JURIPIRANGA",00044,0130,339,270,338,269
pb,19895,"CONCEIÇÃO",00041,0134,321,271,319,270
pb,19895,"CONCEIÇÃO",00041,0037,338,263,334,259
pb,19895,"CONCEIÇÃO",00041,0016,314,261,309,256
pb,19810,"CAMPINA GRANDE",00017,0390,353,318,346,311
pb,19810,"CAMPINA GRANDE",00017,0399,350,330,278,263
pb,19810,"CAMPINA GRANDE",00017,0358,336,311,128,123
pb,19810,"CAMPINA GRANDE",00017,0397,351,330,300,282
pb,19810,"CAMPINA GRANDE",00017,0389,352,325,349,322
pb,19810,"CAMPINA GRANDE",00017,0392,150,130,137,118
pb,19810,"CAMPINA GRANDE",00017,0402,334,313,131,127
pb,19810,"CAMPINA GRANDE",00072,0216,349,307,341,299
pb,19810,"CAMPINA GRANDE",00072,0173,348,299,345,296
pb,19810,"CAMPINA GRANDE",00072,0334,349,294,342,287
pb,19810,"CAMPINA GRANDE",00072,0382,350,319,262,237
pb,19810,"CAMPINA GRANDE",00072,0223,348,300,339,292
pb,19810,"CAMPINA GRANDE",00072,0188,350,301,339,291
pb,19810,"CAMPINA GRANDE",00072,0027,348,293,339,284
pb,19810,"CAMPINA GRANDE",00072,0331,347,290,338,282
pb,19810,"CAMPINA GRANDE",00072,0315,351,306,340,295
pb,19810,"CAMPINA GRANDE",00072,0338,346,285,341,280
pb,19810,"CAMPINA GRANDE",00072,0102,345,299,327,281
pb,19810,"CAMPINA GRANDE",00072,0288,349,305,341,297
pb,19810,"CAMPINA GRANDE",00072,0384,26,24,24,22
pb,19810,"CAMPINA GRANDE",00072,0194,349,313,341,306
pb,19810,"CAMPINA GRANDE",00072,0301,350,311,338,299
pb,19810,"CAMPINA GRANDE",00072,0159,349,304,339,294
pb,19810,"CAMPINA GRANDE",00072,0326,349,303,341,295
pb,19810,"CAMPINA GRANDE",00072,0092,345,295,333,284
pb,19810,"CAMPINA GRANDE",00072,0310,348,317,337,306
pb,19810,"CAMPINA GRANDE",00072,0031,350,297,342,289
pb,19810,"CAMPINA GRANDE",00072,0169,349,306,342,300
pb,19810,"CAMPINA GRANDE",00072,0296,350,292,341,283
pb,19810,"CAMPINA GRANDE",00072,0328,349,295,342,288
