"UF","cod_municipio","municipio","zona","secao","aptos_presidente","total_votos_presidente","aptos_deputado_federal","total_deputado_federal"
pe,25518,"SANTA MARIA DA BOA VISTA",00081,0155,397,283,396,282
pe,25518,"SANTA MARIA DA BOA VISTA",00081,0113,293,231,292,230
pe,25518,"SANTA MARIA DA BOA VISTA",00081,0009,304,230,303,229
pe,25518,"SANTA MARIA DA BOA VISTA",00081,0004,371,287,370,286
pe,25518,"SANTA MARIA DA BOA VISTA",00081,0132,387,323,386,322
pe,25518,"SANTA MARIA DA BOA VISTA",00081,0061,235,185,234,184
pe,23108,"SANTA CRUZ",00082,0110,372,287,371,286
pe,23108,"SANTA CRUZ",00082,0105,341,279,340,278
pe,23612,"CACHOEIRINHA",00044,0158,341,288,340,287
pe,24392,"INAJÁ",00063,0074,397,268,396,267
pe,24392,"INAJÁ",00063,0112,399,292,396,291
pe,24430,"IPOJUCA",00016,0124,352,285,350,283
pe,23736,"CANHOTINHO",00116,0124,226,189,225,188
pe,25852,"MOREILÂNDIA",00079,0121,302,252,301,251
pe,25852,"MOREILÂNDIA",00079,0113,390,287,389,286
pe,23990,"CUPIRA",00086,0125,336,289,335,288
pe,24597,"JATAÚBA",00054,0181,132,119,128,115
pe,25895,"SURUBIM",00034,0025,327,283,323,279
pe,25895,"SURUBIM",00034,0203,415,358,414,357
pe,23817,"CARUARU",00105,0341,373,343,233,219
pe,23817,"CARUARU",00105,0315,399,348,398,347
pe,23817,"CARUARU",00105,0364,372,336,211,194
pe,23817,"CARUARU",00105,0200,399,358,359,322
pe,23817,"CARUARU",00105,0247,401,324,357,283
pe,23817,"CARUARU",00105,0359,388,348,363,323
pe,23817,"CARUARU",00105,0145,398,373,362,338
pe,23817,"CARUARU",00105,0087,385,337,384,336
pe,23817,"CARUARU",00105,0159,401,351,364,319
pe,23817,"CARUARU",00105,0144,402,360,365,326
pe,23817,"CARUARU",00105,0363,373,342,227,215
pe,23817,"CARUARU",00105,0154,399,355,367,326
pe,23817,"CARUARU",00106,0007,360,304,359,304
pe,23817,"CARUARU",00106,0090,257,218,256,217
pe,25771,"SERRA TALHADA",00071,0042,291,242,289,240
pe,25917,"TABIRA",00050,0028,360,284,359,283
pe,25917,"TABIRA",00050,0023,231,194,230,193
pe,25917,"TABIRA",00050,0087,312,265,311,264
pe,23337,"BELO JARDIM",00045,0129,397,337,396,336
pe,23337,"BELO JARDIM",00045,0069,386,302,385,301
pe,23337,"BELO JARDIM",00045,0006,396,319,394,317
pe,25313,"RECIFE",00001,0334,402,331,401,330
pe,25313,"RECIFE",00001,0112,249,210,248,209
pe,25313,"RECIFE",00001,0426,392,315,390,313
pe,25313,"RECIFE",00001,0165,395,332,394,331
pe,25313,"RECIFE",00001,0436,400,345,399,344
pe,25313,"RECIFE",00001,0269,245,216,244,215
pe,25313,"RECIFE",00005,0491,393,321,392,320
pe,25313,"RECIFE",00005,0257,377,331,376,330
pe,25313,"RECIFE",00005,0509,301,284,122,118
pe,25313,"RECIFE",00005,0517,300,289,119,118
pe,25313,"RECIFE",00005,0464,382,332,381,332
pe,25313,"RECIFE",00005,0516,302,294,121,117
pe,25313,"RECIFE",00005,0055,331,289,330,288
pe,25313,"RECIFE",00149,0275,281,260,279,258
pe,25313,"RECIFE",00149,0447,365,340,111,107
pe,25313,"RECIFE",00149,0457,361,336,129,121
pe,25313,"RECIFE",00149,0109,213,178,210,175
pe,25313,"RECIFE",00149,0459,361,346,109,108
pe,25313,"RECIFE",00149,0349,341,290,340,289
pe,25313,"RECIFE",00149,0456,359,334,99,96
pe,25313,"RECIFE",00149,0259,388,306,386,305
pe,25313,"RECIFE",00149,0448,360,335,107,104
pe,25313,"RECIFE",00149,0458,359,331,90,85
pe,25313,"RECIFE",00002,0542,294,258,293,257
pe,25313,"RECIFE",00003,0056,390,338,389,337
pe,25313,"RECIFE",00150,0374,301,263,300,262
pe,25313,"RECIFE",00008,0056,292,249,291,248
pe,25313,"RECIFE",00008,0414,361,345,196,191
pe,25313,"RECIFE",00008,0413,361,349,189,186
pe,25313,"RECIFE",00008,0241,374,325,373,324
pe,25313,"RECIFE",00008,0411,361,354,197,195
pe,25313,"RECIFE",00008,0415,362,348,195,192
