"UF","cod_municipio","municipio","zona","secao","aptos_presidente","total_votos_presidente","aptos_deputado_federal","total_deputado_federal"
pi,12114,"SÃO RAIMUNDO NONATO",00013,0130,271,238,270,237
pi,12114,"SÃO RAIMUNDO NONATO",00013,0127,292,239,291,238
pi,12114,"SÃO RAIMUNDO NONATO",00013,0262,378,328,377,327
pi,12114,"SÃO RAIMUNDO NONATO",00013,0133,258,231,255,228
pi,12114,"SÃO RAIMUNDO NONATO",00013,0232,368,307,367,306
pi,12114,"SÃO RAIMUNDO NONATO",00013,0301,27,14,25,14
pi,12114,"SÃO RAIMUNDO NONATO",00013,0254,254,236,253,235
pi,12114,"SÃO RAIMUNDO NONATO",00013,0256,258,235,257,234
pi,10898,"GUADALUPE",00046,0013,274,218,273,217
pi,10898,"GUADALUPE",00046,0004,379,279,378,278
pi,10022,"ALEGRETE DO PIAUÍ",00040,0042,229,186,225,183
pi,10383,"PATOS DO PIAUÍ",00019,0105,258,219,257,218
pi,10812,"FRANCISCO AYRES",00061,0318,396,322,395,321
pi,12076,"SÃO MIGUEL DO TAPUIO",00039,0007,282,211,281,210
pi,12076,"SÃO MIGUEL DO TAPUIO",00039,0094,212,162,211,161
pi,12076,"SÃO MIGUEL DO TAPUIO",00039,0064,344,256,343,255
pi,10090,"AMARANTE",00008,0006,266,216,265,216
pi,10103,"BURITI DOS MONTES",00034,0070,290,244,289,243
pi,11592,"PICOS",00010,0350,99,82,89,72
pi,11592,"PICOS",00010,0231,134,114,133,113
pi,11592,"PICOS",00010,0033,249,200,247,199
pi,11592,"PICOS",00010,0281,174,151,172,149
pi,12122,"BETÂNIA DO PIAUÍ",00038,0127,156,145,155,144
pi,12122,"BETÂNIA DO PIAUÍ",00038,0150,111,104,110,103
pi,12122,"BETÂNIA DO PIAUÍ",00038,0071,298,272,297,272
pi,10693,"ELESBÃO VELOSO",00048,0082,177,146,176,145
pi,10472,"CAPITÃO DE CAMPOS",00071,0003,234,188,233,188
pi,11533,"PARNAÍBA",00003,0435,300,267,225,195
pi,11533,"PARNAÍBA",00003,0333,319,280,302,263
pi,11533,"PARNAÍBA",00003,0378,329,294,327,292
pi,11533,"PARNAÍBA",00003,0327,271,221,270,220
pi,11533,"PARNAÍBA",00003,0324,300,230,293,224
pi,11533,"PARNAÍBA",00003,0336,298,250,294,246
pi,11533,"PARNAÍBA",00003,0020,435,330,405,307
pi,11533,"PARNAÍBA",00003,0245,332,287,314,269
pi,11533,"PARNAÍBA",00003,0414,300,245,293,238
pi,11533,"PARNAÍBA",00003,0021,328,264,304,242
pi,11533,"PARNAÍBA",00003,0226,333,281,310,261
pi,11533,"PARNAÍBA",00003,0012,298,243,293,238
pi,11533,"PARNAÍBA",00003,0014,438,361,384,313
pi,11533,"PARNAÍBA",00003,0211,302,273,299,270
pi,11533,"PARNAÍBA",00003,0023,332,273,310,252
pi,11533,"PARNAÍBA",00003,0022,331,287,311,267
pi,11533,"PARNAÍBA",00003,0401,316,278,301,263
pi,11533,"PARNAÍBA",00003,0030,323,266,307,251
pi,11533,"PARNAÍBA",00003,0034,321,256,314,250
pi,11533,"PARNAÍBA",00003,0325,317,252,301,237
pi,11533,"PARNAÍBA",00003,0320,299,242,294,238
pi,11533,"PARNAÍBA",00003,0338,300,251,295,247
pi,11533,"PARNAÍBA",00003,0288,330,274,304,249
pi,11533,"PARNAÍBA",00003,0145,322,284,315,277
pi,11533,"PARNAÍBA",00003,0326,300,249,297,247
pi,11533,"PARNAÍBA",00003,0164,329,284,309,266
pi,11533,"PARNAÍBA",00003,0031,321,266,303,250
pi,11533,"PARNAÍBA",00003,0033,320,267,307,255
pi,11533,"PARNAÍBA",00003,0032,318,263,307,253
pi,11533,"PARNAÍBA",00003,0011,300,250,293,245
pi,11533,"PARNAÍBA",00003,0217,300,258,299,257
pi,11533,"PARNAÍBA",00003,0425,301,254,280,236
pi,11533,"PARNAÍBA",00003,0010,300,256,298,254
pi,11533,"PARNAÍBA",00003,0329,301,234,298,232
pi,11533,"PARNAÍBA",00003,0402,300,264,294,259
pi,11533,"PARNAÍBA",00003,0314,299,247,295,243
pi,11533,"PARNAÍBA",00003,0294,301,256,293,248
pi,11533,"PARNAÍBA",00003,0317,328,263,295,237
pi,11533,"PARNAÍBA",00003,0345,319,249,304,234
pi,11533,"PARNAÍBA",00003,0418,299,256,296,253
