"UF","cod_municipio","municipio","zona","secao","aptos_presidente","total_votos_presidente","aptos_deputado_federal","total_deputado_federal"
pr,74934,"CASCAVEL",00068,0121,441,380,386,330
pr,74934,"CASCAVEL",00068,0118,443,375,385,324
pr,74934,"CASCAVEL",00068,0117,445,375,398,334
pr,74934,"CASCAVEL",00068,0160,441,375,391,329
pr,74934,"CASCAVEL",00068,0595,284,214,283,213
pr,74934,"CASCAVEL",00068,0262,334,282,333,281
pr,74934,"CASCAVEL",00068,0116,444,384,390,335
pr,74934,"CASCAVEL",00068,0120,439,378,395,338
pr,74934,"CASCAVEL",00068,0125,442,382,387,331
pr,74934,"CASCAVEL",00068,0040,443,391,397,350
pr,74934,"CASCAVEL",00068,0597,296,241,295,240
pr,74934,"CASCAVEL",00068,0122,441,388,394,345
pr,74934,"CASCAVEL",00068,0124,441,386,401,351
pr,74934,"CASCAVEL",00068,0391,442,366,391,319
pr,74934,"CASCAVEL",00068,0162,441,380,388,328
pr,74934,"CASCAVEL",00068,0161,441,367,386,320
pr,74934,"CASCAVEL",00143,0560,330,281,329,281
pr,74934,"CASCAVEL",00143,0570,441,366,416,341
pr,77496,"PARANAVAÍ",00072,0092,307,242,296,233
pr,77496,"PARANAVAÍ",00072,0032,335,274,334,273
pr,77712,"PITANGA",00038,0216,343,275,342,274
pr,79278,"TOLEDO",00075,0019,428,370,358,307
pr,79278,"TOLEDO",00075,0025,428,371,347,300
pr,79278,"TOLEDO",00075,0020,426,372,341,300
pr,79278,"TOLEDO",00075,0022,430,360,343,282
pr,79278,"TOLEDO",00075,0017,426,363,350,294
pr,79278,"TOLEDO",00075,0164,399,342,398,341
pr,79278,"TOLEDO",00075,0024,428,373,350,306
pr,77453,"PARANAGUÁ",00005,0196,444,355,414,328
pr,77453,"PARANAGUÁ",00005,0099,444,378,420,356
pr,77453,"PARANAGUÁ",00005,0070,443,358,420,340
pr,77453,"PARANAGUÁ",00005,0170,297,252,296,251
pr,77453,"PARANAGUÁ",00005,0069,444,374,427,360
pr,77453,"PARANAGUÁ",00005,0002,297,258,295,256
pr,77453,"PARANAGUÁ",00005,0194,415,348,407,341
pr,77453,"PARANAGUÁ",00005,0003,353,274,350,274
pr,77453,"PARANAGUÁ",00005,0319,365,284,364,283
pr,77453,"PARANAGUÁ",00005,0202,441,372,420,353
pr,77453,"PARANAGUÁ",00005,0156,403,313,401,311
pr,77453,"PARANAGUÁ",00005,0103,442,371,416,346
pr,77453,"PARANAGUÁ",00005,0071,443,344,415,320
pr,77453,"PARANAGUÁ",00005,0100,443,388,422,368
pr,78751,"SÃO JOÃO DO IVAÍ",00132,0074,428,334,426,332
pr,74713,"CAMBÉ",00078,0062,380,319,379,318
pr,78719,"SÃO JOÃO",00151,0098,309,259,308,258
pr,78719,"SÃO JOÃO",00151,0212,310,241,308,239
pr,78719,"SÃO JOÃO",00151,0111,296,242,295,241
pr,75833,"GUARAPUAVA",00043,0001,476,404,412,344
pr,75833,"GUARAPUAVA",00043,0012,451,370,399,327
pr,75833,"GUARAPUAVA",00043,0002,452,374,401,331
pr,75833,"GUARAPUAVA",00043,0013,449,369,396,326
pr,75833,"GUARAPUAVA",00043,0317,450,389,402,347
pr,74438,"BALSA NOVA",00182,0007,373,326,372,325
pr,78239,"RIO NEGRO",00011,0134,316,257,315,256
pr,78239,"RIO NEGRO",00011,0071,322,250,321,249
pr,74357,"ARAUCÁRIA",00050,0020,384,322,268,220
pr,74357,"ARAUCÁRIA",00050,0408,385,320,269,216
pr,76090,"IRETAMA",00141,0034,303,231,302,230
pr,78492,"SANTA ISABEL DO IVAÍ",00094,0041,247,199,246,198
pr,78492,"SANTA ISABEL DO IVAÍ",00094,0022,174,143,173,142
pr,74756,"CAMPINA DA LAGOA",00169,0015,271,196,270,195
pr,74330,"MARILÂNDIA DO SUL",00076,0111,240,168,238,166
pr,77518,"PATO BRANCO",00073,0056,381,312,380,311
pr,77518,"PATO BRANCO",00073,0145,233,190,232,189
