"UF","cod_municipio","municipio","zona","secao","aptos_presidente","total_votos_presidente","aptos_deputado_federal","total_deputado_federal"
rj,58955,"SÃO FIDÉLIS",00035,0080,410,337,409,336
rj,59030,"SÃO PEDRO DA ALDEIA",00059,0256,361,269,359,267
rj,58696,"NOVA IGUAÇU",00084,0390,385,324,382,321
rj,58696,"NOVA IGUAÇU",00084,0659,375,306,369,300
rj,58696,"NOVA IGUAÇU",00084,0587,399,322,393,316
rj,58696,"NOVA IGUAÇU",00084,0573,399,342,390,333
rj,58696,"NOVA IGUAÇU",00084,0422,393,321,390,318
rj,58696,"NOVA IGUAÇU",00084,0446,373,322,369,318
rj,58696,"NOVA IGUAÇU",00084,0027,332,215,328,212
rj,58696,"NOVA IGUAÇU",00084,0464,393,327,392,326
rj,58696,"NOVA IGUAÇU",00084,0660,355,269,354,268
rj,58696,"NOVA IGUAÇU",00084,0658,390,307,387,304
rj,58696,"NOVA IGUAÇU",00084,0055,341,253,340,252
rj,58696,"NOVA IGUAÇU",00084,0039,288,205,287,205
rj,58696,"NOVA IGUAÇU",00084,0598,400,336,390,326
rj,58696,"NOVA IGUAÇU",00084,0002,363,250,358,245
rj,58696,"NOVA IGUAÇU",00084,0561,367,283,366,282
rj,58696,"NOVA IGUAÇU",00084,0666,186,144,184,142
rj,58696,"NOVA IGUAÇU",00084,0499,399,312,393,307
rj,58696,"NOVA IGUAÇU",00084,0083,398,312,390,304
rj,58696,"NOVA IGUAÇU",00084,0657,391,285,389,283
rj,58696,"NOVA IGUAÇU",00084,0319,399,335,391,327
rj,58696,"NOVA IGUAÇU",00084,0654,317,258,316,257
rj,58696,"NOVA IGUAÇU",00084,0547,398,335,392,329
rj,58696,"NOVA IGUAÇU",00084,0664,167,125,165,123
rj,58696,"NOVA IGUAÇU",00084,0647,314,241,312,239
rj,58696,"NOVA IGUAÇU",00084,0463,375,300,373,299
rj,58696,"NOVA IGUAÇU",00084,0340,398,342,397,341
rj,58696,"NOVA IGUAÇU",00084,0661,372,309,366,303
rj,58696,"NOVA IGUAÇU",00084,0544,391,340,390,339
rj,58696,"NOVA IGUAÇU",00027,0271,347,270,346,269
rj,58696,"NOVA IGUAÇU",00027,0062,254,188,247,184
rj,58696,"NOVA IGUAÇU",00027,0126,310,258,302,250
rj,58696,"NOVA IGUAÇU",00027,0114,403,329,400,327
rj,58696,"NOVA IGUAÇU",00027,0059,223,155,222,154
rj,58696,"NOVA IGUAÇU",00027,0101,469,386,468,385
rj,58696,"NOVA IGUAÇU",00027,0289,307,239,306,238
rj,58696,"NOVA IGUAÇU",00027,0047,359,260,358,260
rj,58696,"NOVA IGUAÇU",00027,0014,310,221,309,220
rj,58696,"NOVA IGUAÇU",00027,0015,248,182,247,181
rj,58696,"NOVA IGUAÇU",00027,0278,397,331,395,329
rj,58696,"NOVA IGUAÇU",00027,0133,213,170,212,169
rj,58696,"NOVA IGUAÇU",00027,0247,322,273,321,272
rj,58696,"NOVA IGUAÇU",00027,0125,255,194,247,189
rj,58696,"NOVA IGUAÇU",00027,0017,333,213,330,212
rj,58696,"NOVA IGUAÇU",00027,0194,358,268,357,267
rj,58696,"NOVA IGUAÇU",00027,0310,294,214,293,213
rj,58696,"NOVA IGUAÇU",00027,0323,390,362,378,351
rj,58696,"NOVA IGUAÇU",00027,0234,311,217,308,214
rj,58696,"NOVA IGUAÇU",00027,0064,381,295,378,292
rj,58696,"NOVA IGUAÇU",00027,0150,386,328,385,327
rj,58696,"NOVA IGUAÇU",00027,0277,397,297,396,296
rj,58696,"NOVA IGUAÇU",00027,0008,258,175,254,174
rj,58696,"NOVA IGUAÇU",00027,0093,205,131,204,130
rj,58696,"NOVA IGUAÇU",00027,0081,310,234,305,229
rj,58696,"NOVA IGUAÇU",00027,0201,283,233,281,231
rj,58696,"NOVA IGUAÇU",00027,0243,315,229,313,228
rj,58696,"NOVA IGUAÇU",00027,0072,324,236,320,232
rj,58696,"NOVA IGUAÇU",00027,0006,332,209,331,208
rj,58696,"NOVA IGUAÇU",00027,0230,367,321,363,318
rj,58696,"NOVA IGUAÇU",00158,0252,399,327,392,322
rj,58696,"NOVA IGUAÇU",00158,0187,243,209,242,208
rj,58696,"NOVA IGUAÇU",00158,0343,392,313,388,311
rj,58696,"NOVA IGUAÇU",00158,0336,397,285,394,283
rj,58696,"NOVA IGUAÇU",00158,0205,372,302,370,300
rj,58696,"NOVA IGUAÇU",00158,0245,399,283,395,281
rj,58696,"NOVA IGUAÇU",00158,0167,394,347,393,346
rj,58696,"NOVA IGUAÇU",00158,0021,395,321,394,320
rj,58696,"NOVA IGUAÇU",00158,0047,337,247,336,247
rj,58696,"NOVA IGUAÇU",00158,0227,391,319,389,317
rj,58696,"NOVA IGUAÇU",00158,0063,328,249,327,248
rj,58696,"NOVA IGUAÇU",00158,0349,368,270,367,270
rj,58696,"NOVA IGUAÇU",00158,0183,339,283,338,282
rj,58696,"NOVA IGUAÇU",00158,0290,372,310,371,309
rj,58696,"NOVA IGUAÇU",00158,0146,376,307,374,305
rj,58696,"NOVA IGUAÇU",00158,0258,352,274,350,274
rj,58696,"NOVA IGUAÇU",00158,0301,395,309,392,306
rj,58696,"NOVA IGUAÇU",00158,0310,359,272,358,272
rj,58696,"NOVA IGUAÇU",00158,0140,341,286,340,286
rj,58696,"NOVA IGUAÇU",00158,0329,394,302,390,299
rj,58696,"NOVA IGUAÇU",00158,0337,397,262,393,258
rj,58696,"NOVA IGUAÇU",00158,0037,436,295,435,294
rj,58696,"NOVA IGUAÇU",00159,0196,390,321,389,321
rj,58696,"NOVA IGUAÇU",00159,0076,392,318,389,315
rj,58696,"NOVA IGUAÇU",00159,0077,397,328,395,326
rj,58696,"NOVA IGUAÇU",00159,0133,379,319,374,315
rj,58696,"NOVA IGUAÇU",00159,0113,313,222,311,220
rj,58696,"NOVA IGUAÇU",00159,0166,297,234,295,232
rj,58696,"NOVA IGUAÇU",00159,0040,483,329,482,328
rj,58696,"NOVA IGUAÇU",00159,0090,329,241,328,241
rj,58696,"NOVA IGUAÇU",00159,0064,366,264,363,261
rj,58696,"NOVA IGUAÇU",00159,0144,399,304,396,302
rj,58696,"NOVA IGUAÇU",00159,0008,336,244,334,242
rj,58696,"NOVA IGUAÇU",00159,0004,362,263,359,260
rj,58696,"NOVA IGUAÇU",00159,0201,394,333,393,332
rj,58696,"NOVA IGUAÇU",00159,0100,338,237,337,236
rj,58696,"NOVA IGUAÇU",00159,0107,394,337,393,336
rj,58696,"NOVA IGUAÇU",00156,0299,284,203,283,202
rj,58696,"NOVA IGUAÇU",00156,0028,316,223,315,222
rj,58696,"NOVA IGUAÇU",00156,0336,253,206,251,204
rj,58696,"NOVA IGUAÇU",00156,0063,396,313,395,312
rj,58696,"NOVA IGUAÇU",00156,0042,366,270,365,269
rj,58696,"NOVA IGUAÇU",00156,0152,313,255,309,252
rj,58696,"NOVA IGUAÇU",00156,0191,400,289,397,286
rj,58696,"NOVA IGUAÇU",00156,0359,173,137,170,134
rj,58696,"NOVA IGUAÇU",00156,0090,326,269,325,268
rj,58696,"NOVA IGUAÇU",00156,0356,400,302,398,300
rj,58696,"NOVA IGUAÇU",00156,0178,395,338,390,335
rj,58696,"NOVA IGUAÇU",00156,0293,372,321,371,320
rj,58696,"NOVA IGUAÇU",00156,0153,391,318,387,315
rj,58696,"NOVA IGUAÇU",00156,0229,503,359,501,357
rj,58696,"NOVA IGUAÇU",00156,0046,285,243,284,242
rj,58696,"NOVA IGUAÇU",00156,0010,384,271,381,268
rj,58696,"NOVA IGUAÇU",00156,0111,330,279,329,278
rj,58696,"NOVA IGUAÇU",00156,0058,397,309,396,308
