"UF","cod_municipio","municipio","zona","secao","aptos_presidente","total_votos_presidente","aptos_deputado_federal","total_deputado_federal"
rn,18295,"SANTO ANTÔNIO",00013,0030,343,284,341,282
rn,18910,"VÁRZEA",00013,0139,193,167,190,164
rn,17116,"JARDIM DO SERIDÓ",00023,0004,355,298,351,294
rn,16810,"GOIANINHA",00009,0059,263,226,262,225
rn,16810,"GOIANINHA",00009,0038,277,229,268,220
rn,16810,"GOIANINHA",00009,0174,360,270,359,269
rn,16241,"SANTA MARIA",00008,0038,195,160,194,159
rn,16551,"CORONEL EZEQUIEL",00068,0023,309,238,308,237
rn,18198,"RUY BARBOSA",00019,0049,338,272,336,270
rn,18430,"SÃO JOSÉ DO CAMPESTRE",00015,0015,361,279,356,274
rn,16870,"GUAMARÉ",00030,0152,214,178,213,177
rn,17434,"MACAU",00030,0098,231,188,230,187
rn,17434,"MACAU",00030,0024,175,134,169,128
rn,17973,"PENDÊNCIAS",00047,0028,355,295,354,294
rn,18414,"SÃO JOSÉ DE MIPIBU",00007,0086,303,260,302,259
rn,18414,"SÃO JOSÉ DE MIPIBU",00007,0097,376,310,375,309
rn,17094,"JARDIM DE PIRANHAS",00026,0062,264,222,263,221
rn,17094,"JARDIM DE PIRANHAS",00026,0044,354,291,353,290
rn,17094,"JARDIM DE PIRANHAS",00026,0078,295,265,293,263
rn,17094,"JARDIM DE PIRANHAS",00026,0046,337,275,336,274
rn,16217,"AREIA BRANCA",00032,0127,362,277,360,276
rn,16497,"CARNAUBAIS",00047,0086,337,283,336,282
rn,16497,"CARNAUBAIS",00047,0084,316,263,315,262
rn,18775,"TANGARÁ",00053,0117,215,172,214,171
rn,17850,"PATU",00037,0049,339,294,332,287
rn,17850,"PATU",00037,0031,338,290,335,287
rn,17850,"PATU",00037,0037,330,287,329,286
rn,16632,"DOUTOR SEVERIANO",00043,0117,223,175,222,174
rn,16632,"DOUTOR SEVERIANO",00043,0105,342,289,341,288
rn,18813,"TIBAU DO SUL",00009,0079,393,286,392,285
rn,18813,"TIBAU DO SUL",00009,0073,260,226,255,221
rn,18813,"TIBAU DO SUL",00009,0148,388,300,387,299
rn,18236,"SANTA CRUZ",00016,0127,323,277,322,276
rn,18236,"SANTA CRUZ",00016,0081,217,178,216,177
