"UF","cod_municipio","municipio","zona","secao","aptos_presidente","total_votos_presidente","aptos_deputado_federal","total_deputado_federal"
ro,213,"COSTA MARQUES",00005,0071,204,146,203,145
ro,310,"ALTA FLORESTA D'OESTE",00017,0003,279,200,278,199
ro,310,"ALTA FLORESTA D'OESTE",00017,0019,244,170,243,169
ro,310,"ALTA FLORESTA D'OESTE",00017,0097,144,106,143,105
ro,396,"MACHADINHO D'OESTE",00032,0022,276,192,275,191
ro,396,"MACHADINHO D'OESTE",00032,0049,272,188,271,187
ro,396,"MACHADINHO D'OESTE",00032,0053,468,297,467,296
ro,396,"MACHADINHO D'OESTE",00032,0079,249,176,248,175
ro,396,"MACHADINHO D'OESTE",00032,0083,283,196,282,195
ro,396,"MACHADINHO D'OESTE",00032,0089,248,181,247,180
ro,639,"ALTO PARAÍSO",00025,0192,140,101,139,100
ro,680,"CUJUBIM",00026,0059,324,235,323,234
ro,779,"BURITIS",00034,0022,306,213,305,212
ro,795,"SÃO FRANCISCO DO GUAPORÉ",00005,0112,293,216,292,215
ro,795,"SÃO FRANCISCO DO GUAPORÉ",00005,0117,274,180,273,179
ro,94,"CACOAL",00011,0047,282,243,281,242
ro,94,"CACOAL",00011,0278,274,218,273,217
ro,159,"JARU",00010,0001,337,242,335,240
ro,159,"JARU",00010,0030,313,198,312,197
ro,159,"JARU",00010,0195,322,226,321,225
ro,51,"JI-PARANÁ",00003,0209,229,180,228,179
ro,418,"SÃO MIGUEL DO GUAPORÉ",00035,0028,291,215,290,214
ro,116,"PIMENTA BUENO",00009,0113,64,51,63,50
ro,116,"PIMENTA BUENO",00009,0999,23,7,21,7
ro,132,"VILHENA",00004,0050,207,154,206,153
ro,272,"CEREJEIRAS",00016,0001,288,217,287,216
ro,272,"CEREJEIRAS",00016,0057,225,180,224,179
ro,19,"GUAJARÁ-MIRIM",00001,0027,257,197,252,193
ro,19,"GUAJARÁ-MIRIM",00001,0081,213,157,211,155
ro,19,"GUAJARÁ-MIRIM",00001,0091,302,229,290,220
ro,35,"PORTO VELHO",00002,0018,307,250,300,243
ro,35,"PORTO VELHO",00002,0050,271,225,216,177
ro,35,"PORTO VELHO",00002,0071,269,208,237,184
ro,35,"PORTO VELHO",00002,0090,308,250,298,240
ro,35,"PORTO VELHO",00002,0098,407,321,402,318
ro,35,"PORTO VELHO",00002,0125,286,230,276,221
ro,35,"PORTO VELHO",00002,0171,275,219,222,170
ro,35,"PORTO VELHO",00002,0246,319,270,311,264
ro,35,"PORTO VELHO",00002,0257,430,324,379,291
ro,35,"PORTO VELHO",00002,0267,323,261,307,245
ro,35,"PORTO VELHO",00002,0269,322,261,311,251
ro,35,"PORTO VELHO",00002,0274,320,251,316,248
ro,35,"PORTO VELHO",00002,0278,319,262,309,252
ro,35,"PORTO VELHO",00002,0280,317,263,310,256
ro,35,"PORTO VELHO",00002,0281,316,255,307,247
ro,35,"PORTO VELHO",00002,0283,321,254,314,248
ro,35,"PORTO VELHO",00002,0286,317,266,311,260
ro,35,"PORTO VELHO",00002,0287,320,255,314,249
ro,35,"PORTO VELHO",00002,0288,323,269,315,261
ro,35,"PORTO VELHO",00002,0293,322,249,316,243
ro,35,"PORTO VELHO",00002,0294,319,268,310,260
ro,35,"PORTO VELHO",00002,0295,317,259,311,253
ro,35,"PORTO VELHO",00002,0305,158,107,141,91
ro,35,"PORTO VELHO",00002,0324,315,242,262,202
ro,35,"PORTO VELHO",00002,0332,318,262,312,258
ro,35,"PORTO VELHO",00002,0336,316,256,309,250
ro,35,"PORTO VELHO",00002,0348,322,271,313,263
ro,35,"PORTO VELHO",00002,0349,318,271,311,265
ro,35,"PORTO VELHO",00002,0359,321,237,315,232
ro,35,"PORTO VELHO",00002,0365,279,186,278,185
ro,35,"PORTO VELHO",00002,0373,319,250,313,244
ro,35,"PORTO VELHO",00002,0374,317,251,312,246
ro,35,"PORTO VELHO",00002,0379,323,243,315,235
ro,35,"PORTO VELHO",00002,0382,320,253,316,249
ro,35,"PORTO VELHO",00002,0384,321,270,315,265
ro,35,"PORTO VELHO",00002,0385,318,243,315,241
ro,35,"PORTO VELHO",00002,0386,320,251,308,239
ro,35,"PORTO VELHO",00002,0387,319,232,313,226
ro,35,"PORTO VELHO",00002,0388,323,253,314,246
ro,35,"PORTO VELHO",00002,0391,322,270,316,265
ro,35,"PORTO VELHO",00002,0415,313,250,310,247
ro,35,"PORTO VELHO",00002,0423,323,258,314,250
ro,35,"PORTO VELHO",00002,0426,322,215,315,209
ro,35,"PORTO VELHO",00002,0450,319,266,313,262
ro,35,"PORTO VELHO",00002,0454,322,280,315,273
ro,35,"PORTO VELHO",00002,0461,318,265,310,257
ro,35,"PORTO VELHO",00002,0466,316,251,311,247
ro,35,"PORTO VELHO",00002,0469,311,268,306,263
ro,35,"PORTO VELHO",00002,0481,318,283,311,276
ro,35,"PORTO VELHO",00002,0518,313,245,309,243
ro,35,"PORTO VELHO",00002,0529,322,208,314,200
ro,35,"PORTO VELHO",00002,0540,315,249,310,245
ro,35,"PORTO VELHO",00002,0541,319,240,311,234
ro,35,"PORTO VELHO",00002,0542,321,243,317,239
ro,35,"PORTO VELHO",00002,0544,318,247,311,240
ro,35,"PORTO VELHO",00002,0549,316,242,305,232
ro,35,"PORTO VELHO",00002,0550,319,246,312,240
ro,35,"PORTO VELHO",00002,0559,174,138,171,136
ro,35,"PORTO VELHO",00002,0562,133,107,126,100
ro,35,"PORTO VELHO",00006,0010,274,226,211,164
ro,35,"PORTO VELHO",00006,0064,300,238,285,223
ro,35,"PORTO VELHO",00006,0235,297,241,282,227
ro,35,"PORTO VELHO",00006,0285,307,259,282,236
ro,35,"PORTO VELHO",00006,0320,324,271,310,258
ro,35,"PORTO VELHO",00006,0324,287,226,265,205
ro,35,"PORTO VELHO",00006,0339,308,254,303,249
ro,35,"PORTO VELHO",00006,0345,278,230,271,226
ro,35,"PORTO VELHO",00006,0367,239,184,235,183
ro,35,"PORTO VELHO",00006,0390,323,255,305,240
ro,35,"PORTO VELHO",00006,0397,226,161,225,160
ro,35,"PORTO VELHO",00006,0399,264,197,252,187
ro,35,"PORTO VELHO",00006,0413,282,191,280,190
ro,35,"PORTO VELHO",00006,0417,223,155,222,154
ro,35,"PORTO VELHO",00006,0433,321,195,317,192
ro,35,"PORTO VELHO",00006,0456,316,221,314,220
ro,35,"PORTO VELHO",00006,0459,215,162,214,161
ro,35,"PORTO VELHO",00006,0461,268,198,266,196
ro,35,"PORTO VELHO",00006,0469,310,236,309,236
ro,35,"PORTO VELHO",00006,0477,326,205,325,204
ro,35,"PORTO VELHO",00006,0484,323,249,314,242
ro,35,"PORTO VELHO",00006,0500,327,219,325,218
ro,35,"PORTO VELHO",00006,0524,292,227,291,226
ro,35,"PORTO VELHO",00006,0533,264,220,262,219
ro,35,"PORTO VELHO",00006,0550,291,211,290,210
ro,35,"PORTO VELHO",00006,0553,228,199,226,197
ro,35,"PORTO VELHO",00006,0554,170,134,165,129
ro,35,"PORTO VELHO",00020,0046,237,188,231,185
ro,35,"PORTO VELHO",00020,0059,259,199,258,198
ro,35,"PORTO VELHO",00020,0071,316,263,312,259
ro,35,"PORTO VELHO",00020,0074,323,263,315,255
ro,35,"PORTO VELHO",00020,0075,314,245,306,237
ro,35,"PORTO VELHO",00020,0077,320,244,317,242
ro,35,"PORTO VELHO",00020,0079,311,268,310,267
ro,35,"PORTO VELHO",00020,0097,388,303,382,297
ro,35,"PORTO VELHO",00020,0120,300,254,287,241
ro,35,"PORTO VELHO",00020,0130,307,249,301,244
ro,35,"PORTO VELHO",00020,0141,314,267,308,262
ro,35,"PORTO VELHO",00020,0163,293,263,283,253
ro,35,"PORTO VELHO",00020,0165,322,269,317,264
ro,35,"PORTO VELHO",00020,0196,225,179,224,178
ro,35,"PORTO VELHO",00020,0202,289,203,288,202
ro,35,"PORTO VELHO",00020,0219,295,214,294,213
ro,35,"PORTO VELHO",00020,0223,268,217,267,216
ro,35,"PORTO VELHO",00020,0235,317,264,313,260
ro,35,"PORTO VELHO",00020,0240,319,263,313,257
ro,35,"PORTO VELHO",00020,0246,312,214,311,213
ro,35,"PORTO VELHO",00020,0257,317,273,307,265
ro,35,"PORTO VELHO",00020,0267,268,200,262,194
ro,35,"PORTO VELHO",00020,0270,306,237,304,235
ro,35,"PORTO VELHO",00020,0280,320,256,307,245
ro,35,"PORTO VELHO",00020,0298,313,264,300,252
ro,35,"PORTO VELHO",00020,0316,294,210,282,198
ro,35,"PORTO VELHO",00020,0318,289,252,287,250
ro,35,"PORTO VELHO",00020,0330,320,268,309,257
ro,35,"PORTO VELHO",00020,0339,316,261,309,254
ro,35,"PORTO VELHO",00020,0346,49,33,42,29
ro,35,"PORTO VELHO",00020,0353,320,238,314,233
ro,35,"PORTO VELHO",00020,0370,244,184,236,176
ro,35,"PORTO VELHO",00020,0382,320,278,298,257
ro,35,"PORTO VELHO",00021,0043,310,254,301,246
ro,35,"PORTO VELHO",00021,0089,315,243,311,239
ro,35,"PORTO VELHO",00021,0093,312,246,305,240
ro,35,"PORTO VELHO",00021,0128,318,262,309,254
ro,35,"PORTO VELHO",00021,0206,314,263,310,259
ro,35,"PORTO VELHO",00021,0215,313,255,312,255
ro,35,"PORTO VELHO",00021,0232,303,221,301,219
ro,35,"PORTO VELHO",00021,0233,294,201,293,200
ro,35,"PORTO VELHO",00021,0235,312,230,308,227
ro,35,"PORTO VELHO",00021,0241,308,224,307,223
ro,35,"PORTO VELHO",00021,0251,319,232,317,230
ro,35,"PORTO VELHO",00021,0320,299,225,293,220
ro,35,"PORTO VELHO",00021,0321,298,199,292,193
ro,35,"PORTO VELHO",00021,0322,298,227,293,223
ro,35,"PORTO VELHO",00021,0323,306,226,305,225
ro,35,"PORTO VELHO",00021,0350,321,249,319,247
ro,35,"PORTO VELHO",00021,0354,315,246,313,245
ro,35,"PORTO VELHO",00021,0380,322,233,311,227
ro,78,"ARIQUEMES",00007,0407,202,175,197,171
ro,566,"URUPÁ",00018,0155,391,295,390,294
ro,671,"CAMPO NOVO DE RONDÔNIA",00034,0050,258,185,257,184
ro,230,"COLORADO DO OESTE",00008,0104,295,214,294,213
ro,809,"CHUPINGUAIA",00008,0154,297,227,296,226
