"UF","cod_municipio","municipio","zona","secao","aptos_presidente","total_votos_presidente","aptos_deputado_federal","total_deputado_federal"
rr,3123,"PACARAIMA",00007,0092,257,172,256,171
rr,3093,"MUCAJAÍ",00006,0024,241,205,240,204
rr,3034,"CARACARAÍ",00002,0177,283,234,277,228
rr,3050,"ALTO ALEGRE",00003,0030,235,192,234,191
rr,3018,"BOA VISTA",00001,0096,292,238,287,237
rr,3018,"BOA VISTA",00001,0201,237,203,236,203
rr,3018,"BOA VISTA",00001,0796,355,306,57,52
rr,3018,"BOA VISTA",00001,0797,30,27,26,23
rr,3018,"BOA VISTA",00001,0798,355,318,49,46
rr,3018,"BOA VISTA",00001,0799,355,321,58,56
rr,3018,"BOA VISTA",00001,0800,355,321,59,53
rr,3018,"BOA VISTA",00005,0283,272,242,271,241
rr,3018,"BOA VISTA",00005,0466,162,93,142,82
