"UF","cod_municipio","municipio","zona","secao","aptos_presidente","total_votos_presidente","aptos_deputado_federal","total_deputado_federal"
rs,85618,"CACHOEIRINHA",00143,0371,387,301,384,298
rs,85618,"CACHOEIRINHA",00143,0378,395,303,393,301
rs,85618,"CACHOEIRINHA",00143,0126,387,315,386,314
rs,85618,"CACHOEIRINHA",00143,0334,378,299,377,298
rs,85618,"CACHOEIRINHA",00143,0252,389,321,387,319
rs,85618,"CACHOEIRINHA",00143,0121,360,285,355,282
rs,85618,"CACHOEIRINHA",00143,0188,418,336,408,331
rs,85618,"CACHOEIRINHA",00143,0123,345,284,344,283
rs,85618,"CACHOEIRINHA",00143,0183,388,314,386,312
rs,85618,"CACHOEIRINHA",00143,0320,383,310,380,307
rs,85618,"CACHOEIRINHA",00143,0191,386,309,384,307
rs,85618,"CACHOEIRINHA",00143,0348,382,315,380,313
rs,85618,"CACHOEIRINHA",00143,0140,391,313,390,312
rs,85618,"CACHOEIRINHA",00143,0153,365,300,363,298
rs,85618,"CACHOEIRINHA",00143,0229,389,329,386,326
rs,85618,"CACHOEIRINHA",00143,0083,392,302,389,299
rs,85618,"CACHOEIRINHA",00143,0353,414,341,413,340
rs,85618,"CACHOEIRINHA",00143,0314,370,283,369,282
rs,85618,"CACHOEIRINHA",00143,0095,382,295,381,294
rs,85618,"CACHOEIRINHA",00143,0298,387,312,386,311
rs,85618,"CACHOEIRINHA",00143,0201,407,333,403,329
rs,85618,"CACHOEIRINHA",00143,0179,345,282,342,279
rs,86851,"GUAÍBA",00090,0004,361,285,360,284
rs,89630,"VIAMÃO",00059,0291,290,246,279,235
rs,89630,"VIAMÃO",00059,0070,259,211,255,207
rs,89630,"VIAMÃO",00059,0139,406,322,405,321
rs,89630,"VIAMÃO",00059,0532,343,278,341,276
rs,89630,"VIAMÃO",00059,0295,295,249,291,246
rs,89630,"VIAMÃO",00059,0127,374,299,373,298
rs,89630,"VIAMÃO",00059,0502,409,313,405,309
rs,89630,"VIAMÃO",00059,0152,284,237,283,237
rs,89630,"VIAMÃO",00059,0338,322,254,321,253
rs,89630,"VIAMÃO",00059,0359,325,265,323,264
rs,89630,"VIAMÃO",00059,0387,372,299,371,298
rs,89630,"VIAMÃO",00059,0589,127,111,124,108
rs,89630,"VIAMÃO",00059,0032,296,239,291,234
rs,89630,"VIAMÃO",00059,0013,293,234,292,233
rs,89630,"VIAMÃO",00059,0177,245,206,243,204
rs,89630,"VIAMÃO",00059,0448,385,282,383,280
rs,89630,"VIAMÃO",00059,0545,381,302,380,302
rs,89630,"VIAMÃO",00059,0560,367,301,366,300
rs,89630,"VIAMÃO",00059,0071,344,290,342,288
rs,89630,"VIAMÃO",00059,0361,390,314,388,312
rs,89630,"VIAMÃO",00059,0045,391,308,389,306
rs,89630,"VIAMÃO",00059,0406,330,267,329,266
rs,89630,"VIAMÃO",00059,0418,354,277,353,277
rs,89630,"VIAMÃO",00059,0568,393,297,390,294
rs,89630,"VIAMÃO",00059,0330,395,307,394,306
rs,89630,"VIAMÃO",00072,0283,395,325,393,323
rs,89630,"VIAMÃO",00072,0297,397,339,396,338
rs,89630,"VIAMÃO",00072,0151,330,264,326,261
rs,89630,"VIAMÃO",00072,0221,356,290,355,289
rs,89630,"VIAMÃO",00072,0385,343,280,342,279
rs,89630,"VIAMÃO",00072,0451,375,285,374,285
rs,89630,"VIAMÃO",00072,0332,343,272,342,271
rs,89630,"VIAMÃO",00072,0515,401,295,400,294
rs,89630,"VIAMÃO",00072,0288,299,258,297,257
rs,89630,"VIAMÃO",00072,0328,385,312,384,311
rs,89630,"VIAMÃO",00072,0472,372,284,371,283
rs,86819,"GRAMADO",00065,0142,359,265,358,264
rs,86819,"GRAMADO",00065,0195,122,100,121,99
rs,86819,"GRAMADO",00065,0108,325,244,324,243
rs,86819,"GRAMADO",00065,0105,307,250,306,249
rs,88650,"SÃO FRANCISCO DE ASSIS",00079,0050,223,169,222,169
rs,98213,"TEUTÔNIA",00125,0170,229,194,228,193
rs,88692,"SÃO GABRIEL",00049,0188,349,272,348,271
rs,88153,"RIO GRANDE",00163,0409,403,317,386,302
rs,88153,"RIO GRANDE",00163,0334,347,298,343,294
rs,88153,"RIO GRANDE",00163,0444,170,144,169,143
rs,88153,"RIO GRANDE",00163,0001,386,312,385,311
rs,88153,"RIO GRANDE",00163,0388,392,327,389,324
rs,88153,"RIO GRANDE",00163,0414,376,310,374,309
rs,88153,"RIO GRANDE",00163,0300,383,316,380,313
rs,88153,"RIO GRANDE",00163,0422,400,290,398,288
rs,88153,"RIO GRANDE",00163,0376,437,351,400,315
rs,88153,"RIO GRANDE",00163,0399,396,321,391,317
rs,88153,"RIO GRANDE",00163,0415,391,284,388,281
rs,88153,"RIO GRANDE",00163,0358,395,308,389,303
rs,88153,"RIO GRANDE",00163,0246,369,279,367,277
rs,88153,"RIO GRANDE",00163,0304,355,299,354,298
rs,88153,"RIO GRANDE",00163,0301,385,323,363,302
rs,88153,"RIO GRANDE",00163,0310,437,350,405,320
rs,88153,"RIO GRANDE",00163,0106,347,257,343,254
rs,88153,"RIO GRANDE",00163,0224,436,333,404,302
rs,88153,"RIO GRANDE",00163,0440,384,321,381,318
rs,88153,"RIO GRANDE",00163,0016,401,308,397,304
rs,88153,"RIO GRANDE",00163,0322,438,357,406,326
rs,88153,"RIO GRANDE",00037,0271,325,264,310,249
