"UF","cod_municipio","municipio","zona","secao","aptos_presidente","total_votos_presidente","aptos_deputado_federal","total_deputado_federal"
sc,80942,"SÃO CRISTÓVÃO DO SUL",00011,0166,35,28,32,25
sc,81612,"ITAJAÍ",00016,0396,401,338,359,301
sc,81612,"ITAJAÍ",00016,0299,400,348,366,319
sc,81612,"ITAJAÍ",00016,0388,401,328,355,288
sc,81612,"ITAJAÍ",00016,0390,400,331,361,297
sc,81612,"ITAJAÍ",00016,0393,400,326,358,290
sc,81612,"ITAJAÍ",00016,0350,404,363,397,356
sc,81612,"ITAJAÍ",00016,0336,400,356,361,319
sc,81612,"ITAJAÍ",00016,0385,401,315,351,271
sc,81612,"ITAJAÍ",00016,0021,401,329,359,292
sc,81612,"ITAJAÍ",00016,0012,400,329,360,294
sc,81612,"ITAJAÍ",00016,0442,398,338,360,302
sc,81612,"ITAJAÍ",00016,0014,403,357,391,345
sc,81612,"ITAJAÍ",00016,0485,397,322,353,282
sc,81612,"ITAJAÍ",00016,0352,403,350,395,342
sc,81612,"ITAJAÍ",00016,0351,403,346,397,340
sc,81612,"ITAJAÍ",00016,0349,403,349,395,343
sc,81612,"ITAJAÍ",00016,0397,402,322,358,289
sc,81612,"ITAJAÍ",00016,0395,399,336,360,302
sc,81612,"ITAJAÍ",00016,0285,399,328,359,297
sc,81612,"ITAJAÍ",00016,0320,396,337,356,301
sc,81612,"ITAJAÍ",00016,0040,401,352,392,343
sc,81612,"ITAJAÍ",00016,0389,402,320,358,282
sc,81612,"ITAJAÍ",00016,0386,398,331,360,299
sc,81612,"ITAJAÍ",00016,0387,401,333,354,291
sc,81612,"ITAJAÍ",00016,0092,401,323,361,288
sc,81612,"ITAJAÍ",00016,0013,404,350,396,343
sc,81612,"ITAJAÍ",00016,0431,400,333,364,302
sc,81612,"ITAJAÍ",00016,0394,401,333,348,284
sc,81612,"ITAJAÍ",00016,0009,404,339,398,333
sc,81612,"ITAJAÍ",00016,0353,404,354,398,349
sc,81612,"ITAJAÍ",00016,0010,402,343,395,337
sc,81612,"ITAJAÍ",00016,0392,401,333,363,296
sc,81612,"ITAJAÍ",00016,0008,403,343,393,333
sc,81612,"ITAJAÍ",00016,0093,402,342,363,307
sc,81612,"ITAJAÍ",00016,0420,398,328,359,291
sc,81612,"ITAJAÍ",00016,0398,400,327,359,290
sc,81612,"ITAJAÍ",00016,0037,274,235,210,177
sc,81612,"ITAJAÍ",00016,0391,399,343,358,306
