"UF","cod_municipio","municipio","zona","secao","aptos_presidente","total_votos_presidente","aptos_deputado_federal","total_deputado_federal"
se,31232,"CANINDÉ DE SÃO FRANCISCO",00028,0006,384,268,383,267
se,31232,"CANINDÉ DE SÃO FRANCISCO",00028,0053,270,209,269,208
se,31232,"CANINDÉ DE SÃO FRANCISCO",00028,0057,277,218,276,217
se,31232,"CANINDÉ DE SÃO FRANCISCO",00028,0090,327,250,323,246
se,31232,"CANINDÉ DE SÃO FRANCISCO",00028,0103,331,251,330,250
se,31232,"CANINDÉ DE SÃO FRANCISCO",00028,0111,367,276,366,275
se,31232,"CANINDÉ DE SÃO FRANCISCO",00028,0112,381,294,380,293
se,31232,"CANINDÉ DE SÃO FRANCISCO",00028,0128,243,181,242,181
se,31232,"CANINDÉ DE SÃO FRANCISCO",00028,0131,377,253,375,251
se,31232,"CANINDÉ DE SÃO FRANCISCO",00028,0143,275,217,274,217
se,31496,"GARARU",00008,0004,384,314,383,313
se,31496,"GARARU",00008,0007,273,235,271,233
se,31496,"GARARU",00008,0055,286,247,285,246
se,31976,"PACATUBA",00015,0233,395,300,394,299
se,31976,"PACATUBA",00015,0238,225,156,224,155
se,31976,"PACATUBA",00015,0253,271,205,270,204
se,32255,"SANTA LUZIA DO ITANHY",00035,0123,250,201,249,200
se,32255,"SANTA LUZIA DO ITANHY",00035,0157,160,115,159,114
se,32476,"TOBIAS BARRETO",00023,0023,328,270,326,268
se,32476,"TOBIAS BARRETO",00023,0028,345,282,344,281
se,32476,"TOBIAS BARRETO",00023,0044,290,242,289,241
se,32476,"TOBIAS BARRETO",00023,0054,317,259,316,258
se,32476,"TOBIAS BARRETO",00023,0089,288,261,287,260
se,32476,"TOBIAS BARRETO",00023,0124,334,274,333,273
se,32476,"TOBIAS BARRETO",00023,0125,250,199,249,198
se,31003,"SANTANA DO SÃO FRANCISCO",00015,0040,293,223,292,222
se,31097,"AREIA BRANCA",00013,0170,288,244,287,243
se,31097,"AREIA BRANCA",00013,0239,115,97,112,95
se,31135,"BREJO GRANDE",00015,0187,285,227,282,224
se,31577,"ITABAIANA",00009,0005,298,259,296,257
se,31577,"ITABAIANA",00009,0048,296,248,295,247
se,31577,"ITABAIANA",00009,0049,331,269,330,268
se,31577,"ITABAIANA",00009,0055,350,302,349,301
