"UF","cod_municipio","municipio","zona","secao","aptos_presidente","total_votos_presidente","aptos_deputado_federal","total_deputado_federal"
sp,69795,"RIO CLARO",00110,0062,393,311,389,307
sp,69795,"RIO CLARO",00110,0091,391,313,386,309
sp,69795,"RIO CLARO",00110,0117,358,288,356,287
sp,69795,"RIO CLARO",00110,0211,387,318,380,311
sp,69795,"RIO CLARO",00110,0204,398,331,393,326
sp,69795,"RIO CLARO",00110,0200,393,320,384,311
sp,69795,"RIO CLARO",00110,0232,390,300,382,292
sp,69795,"RIO CLARO",00110,0094,380,315,371,306
sp,69795,"RIO CLARO",00110,0220,392,330,391,329
sp,69795,"RIO CLARO",00110,0052,356,292,348,284
sp,69795,"RIO CLARO",00110,0163,341,270,334,263
sp,69795,"RIO CLARO",00110,0213,394,300,390,296
sp,69795,"RIO CLARO",00110,0206,381,283,379,282
sp,69795,"RIO CLARO",00110,0218,396,292,387,284
sp,69795,"RIO CLARO",00110,0004,338,268,331,261
sp,69795,"RIO CLARO",00110,0095,379,325,376,322
sp,69795,"RIO CLARO",00110,0081,377,288,374,285
sp,69795,"RIO CLARO",00110,0207,393,316,384,307
sp,69795,"RIO CLARO",00110,0215,391,294,379,282
sp,69795,"RIO CLARO",00110,0162,328,256,321,249
sp,69795,"RIO CLARO",00288,0193,389,337,384,332
sp,69795,"RIO CLARO",00288,0205,306,267,305,266
sp,69795,"RIO CLARO",00288,0076,307,259,305,257
sp,69795,"RIO CLARO",00288,0182,366,287,365,286
sp,69795,"RIO CLARO",00288,0195,390,342,383,336
sp,69795,"RIO CLARO",00288,0075,354,303,345,294
sp,69795,"RIO CLARO",00288,0094,218,182,210,174
sp,69795,"RIO CLARO",00288,0168,396,327,394,325
sp,69795,"RIO CLARO",00288,0178,307,238,305,238
sp,69795,"RIO CLARO",00288,0035,353,283,351,281
sp,69795,"RIO CLARO",00288,0197,330,267,328,265
sp,69795,"RIO CLARO",00288,0174,336,273,333,270
sp,69795,"RIO CLARO",00288,0078,321,267,319,265
sp,69795,"RIO CLARO",00288,0192,378,311,377,310
sp,69795,"RIO CLARO",00288,0198,338,285,337,284
sp,69795,"RIO CLARO",00288,0202,399,329,380,310
sp,69795,"RIO CLARO",00288,0024,335,272,330,267
sp,69795,"RIO CLARO",00288,0080,344,297,342,295
sp,69795,"RIO CLARO",00288,0057,349,282,345,278
sp,69795,"RIO CLARO",00288,0085,347,295,346,294
sp,69795,"RIO CLARO",00288,0141,365,279,362,277
sp,61654,"ARARAS",00014,0271,389,320,384,315
sp,61654,"ARARAS",00014,0114,346,280,345,279
sp,61654,"ARARAS",00014,0059,326,272,321,268
sp,61654,"ARARAS",00014,0189,277,232,259,214
sp,61654,"ARARAS",00014,0252,379,305,376,302
sp,61654,"ARARAS",00014,0086,364,309,359,304
sp,61654,"ARARAS",00014,0184,352,258,351,257
sp,61654,"ARARAS",00014,0270,391,323,390,323
sp,61654,"ARARAS",00014,0133,370,283,367,281
sp,61654,"ARARAS",00014,0158,351,282,349,280
sp,61654,"ARARAS",00014,0102,267,224,266,223
sp,61654,"ARARAS",00014,0094,380,324,376,320
sp,61654,"ARARAS",00014,0087,390,341,384,335
sp,61654,"ARARAS",00014,0178,397,339,396,338
sp,61654,"ARARAS",00014,0174,397,320,361,291
sp,61654,"ARARAS",00014,0259,398,309,389,301
sp,61654,"ARARAS",00014,0273,393,330,390,327
sp,61654,"ARARAS",00014,0013,284,209,281,206
sp,61654,"ARARAS",00014,0192,307,262,305,260
sp,61654,"ARARAS",00014,0106,397,314,393,312
sp,61654,"ARARAS",00014,0024,317,222,305,212
sp,61654,"ARARAS",00014,0218,385,316,379,310
sp,61654,"ARARAS",00014,0111,297,270,294,267
sp,61654,"ARARAS",00014,0165,385,310,381,307
sp,61654,"ARARAS",00014,0276,397,346,392,341
sp,61654,"ARARAS",00014,0072,366,301,363,298
