"UF","cod_municipio","municipio","zona","secao","aptos_presidente","total_votos_presidente","aptos_deputado_federal","total_deputado_federal"
to,93130,"CONCEIÇÃO DO TOCANTINS",00022,0050,209,164,208,163
to,93130,"CONCEIÇÃO DO TOCANTINS",00022,0060,210,168,204,162
to,73601,"LAVANDEIRA",00017,0071,79,72,75,70
to,92533,"AURORA DO TOCANTINS",00017,0036,280,227,273,220
to,93238,"CRISTALÂNDIA",00013,0013,231,186,230,186
to,94170,"ITAPORÃ DO TOCANTINS",00016,0033,226,195,225,194
to,95591,"PORTO NACIONAL",00003,0118,249,221,248,220
to,95591,"PORTO NACIONAL",00003,0133,280,232,279,231
to,95591,"PORTO NACIONAL",00003,0212,274,229,273,228
to,73466,"OLIVEIRA DE FÁTIMA",00013,0070,313,239,312,238
to,92398,"ARAGUAÇU",00014,0181,348,296,347,295
to,92479,"ARRAIAS",00022,0010,254,197,250,193
to,93211,"COUTO MAGALHÃES",00016,0060,247,206,246,205
to,93858,"GURUPI",00002,0208,290,209,257,191
to,95214,"PARANÃ",00018,0009,280,213,279,212
to,95214,"PARANÃ",00018,0045,246,179,244,177
to,95214,"PARANÃ",00018,0051,294,223,291,220
to,95214,"PARANÃ",00018,0076,293,209,291,207
to,95214,"PARANÃ",00018,0078,135,109,134,108
to,92410,"ARAGUAÍNA",00001,0009,333,285,330,283
to,92410,"ARAGUAÍNA",00001,0013,350,268,310,264
to,92410,"ARAGUAÍNA",00001,0064,346,290,270,226
to,92410,"ARAGUAÍNA",00001,0066,346,298,271,235
to,92410,"ARAGUAÍNA",00001,0079,346,302,273,233
to,92410,"ARAGUAÍNA",00001,0130,347,287,271,217
to,92410,"ARAGUAÍNA",00001,0131,346,278,268,213
to,92410,"ARAGUAÍNA",00001,0206,345,287,256,211
to,93416,"DIANÓPOLIS",00025,0011,261,210,260,209
to,92193,"ANANÁS",00012,0062,234,193,233,192
to,96156,"TAGUATINGA",00017,0056,325,276,323,274
to,96156,"TAGUATINGA",00017,0072,129,105,128,104
to,96156,"TAGUATINGA",00017,0073,115,100,109,94
to,96431,"XAMBIOÁ",00012,0028,235,184,234,183
to,73148,"NOVO ALEGRE",00022,0065,290,196,283,189
to,73440,"PALMAS",00029,0005,354,305,272,228
to,73440,"PALMAS",00029,0047,354,310,274,235
to,73440,"PALMAS",00029,0064,350,300,271,230
to,73440,"PALMAS",00029,0065,353,318,270,240
to,73440,"PALMAS",00029,0079,357,309,323,278
to,73440,"PALMAS",00029,0082,353,315,273,241
to,73440,"PALMAS",00029,0120,392,316,391,315
to,73440,"PALMAS",00029,0194,336,284,307,257
to,73440,"PALMAS",00029,0245,335,283,301,253
to,73440,"PALMAS",00029,0265,336,292,309,267
to,73440,"PALMAS",00029,0269,339,293,303,260
to,73440,"PALMAS",00029,0274,369,300,368,299
to,73440,"PALMAS",00029,0276,242,201,241,200
to,73440,"PALMAS",00029,0282,299,254,256,215
to,73440,"PALMAS",00029,0297,300,244,258,207
to,73440,"PALMAS",00029,0305,303,266,265,236
to,73440,"PALMAS",00029,0318,301,257,260,223
to,73440,"PALMAS",00029,0351,402,342,347,291
to,73440,"PALMAS",00029,0380,359,317,323,288
to,73440,"PALMAS",00029,0390,395,340,337,287
to,73440,"PALMAS",00029,0418,398,343,340,294
to,73440,"PALMAS",00029,0443,355,289,311,251
to,73440,"PALMAS",00029,0454,397,322,344,276
to,73440,"PALMAS",00029,0482,400,336,347,288
to,73440,"PALMAS",00029,0521,383,295,379,291
to,73440,"PALMAS",00029,0552,335,266,306,239
to,73440,"PALMAS",00029,0567,305,266,240,211
to,73440,"PALMAS",00029,0581,397,328,342,282
to,73440,"PALMAS",00029,0655,398,340,337,284
to,73440,"PALMAS",00029,0671,409,339,396,329
to,73440,"PALMAS",00029,0672,408,320,387,301
to,73440,"PALMAS",00029,0673,412,309,398,295
to,73440,"PALMAS",00029,0677,411,358,403,351
to,73440,"PALMAS",00029,0681,413,372,252,230
to,73512,"AGUIARNÓPOLIS",00009,0100,121,106,118,104
to,94617,"MIRACEMA DO TOCANTINS",00005,0012,330,277,327,275
to,94617,"MIRACEMA DO TOCANTINS",00005,0050,329,273,328,272
to,94617,"MIRACEMA DO TOCANTINS",00005,0071,215,176,213,176
to,96270,"GUARAÍ",00006,0002,306,255,304,253
to,73164,"TAIPAS DO TOCANTINS",00025,0062,277,172,276,171
to,73385,"LAGOA DA CONFUSÃO",00013,0103,67,53,66,53
to,92142,"COMBINADO",00022,0033,282,235,278,232
to,92142,"COMBINADO",00022,0048,329,246,325,243
to,93114,"COLINAS DO TOCANTINS",00004,0141,307,261,306,260
to,93114,"COLINAS DO TOCANTINS",00004,0189,188,160,187,159
to,96210,"TOCANTINÓPOLIS",00009,0009,270,223,265,220
to,96210,"TOCANTINÓPOLIS",00009,0015,241,193,240,192
to,92240,"GOIANORTE",00016,0017,279,245,278,244
to,95192,"PARAÍSO DO TOCANTINS",00007,0031,232,184,230,182
to,95192,"PARAÍSO DO TOCANTINS",00007,0037,266,224,265,223
to,95290,"COLMÉIA",00016,0008,196,161,195,160
to,95338,"GOIATINS",00032,0060,124,105,123,105
to,95338,"GOIATINS",00032,0070,287,271,286,271
to,96296,"PRESIDENTE KENNEDY",00004,0174,243,194,242,193
