"UF","cod_municipio","municipio","zona","secao","eleitores_aptos","candidato","quantidade_votos"
es,57070,"MARILÂNDIA",00046,0089,349,22,135
es,57070,"MARILÂNDIA",00046,0089,349,40,150
es,57070,"MARILÂNDIA",00046,0089,349,BRANCO,3
es,57070,"MARILÂNDIA",00046,0089,349,NULO,15
es,57070,"MARILÂNDIA",00046,0114,346,22,96
es,57070,"MARILÂNDIA",00046,0114,346,40,178
es,57070,"MARILÂNDIA",00046,0114,346,BRANCO,7
es,57070,"MARILÂNDIA",00046,0114,346,NULO,13
es,57070,"MARILÂNDIA",00046,0091,345,22,132
es,57070,"MARILÂNDIA",00046,0091,345,40,141
es,57070,"MARILÂNDIA",00046,0091,345,BRANCO,8
es,57070,"MARILÂNDIA",00046,0091,345,NULO,11
es,57070,"MARILÂNDIA",00046,0101,339,22,132
es,57070,"MARILÂNDIA",00046,0101,339,40,124
es,57070,"MARILÂNDIA",00046,0101,339,BRANCO,6
es,57070,"MARILÂNDIA",00046,0101,339,NULO,6
es,57070,"MARILÂNDIA",00046,0088,348,22,121
es,57070,"MARILÂNDIA",00046,0088,348,40,144
es,57070,"MARILÂNDIA",00046,0088,348,BRANCO,5
es,57070,"MARILÂNDIA",00046,0088,348,NULO,25
es,57070,"MARILÂNDIA",00046,0099,340,22,135
es,57070,"MARILÂNDIA",00046,0099,340,40,150
es,57070,"MARILÂNDIA",00046,0099,340,BRANCO,3
es,57070,"MARILÂNDIA",00046,0099,340,NULO,7
es,57070,"MARILÂNDIA",00046,0118,343,22,110
es,57070,"MARILÂNDIA",00046,0118,343,40,126
es,57070,"MARILÂNDIA",00046,0118,343,BRANCO,7
es,57070,"MARILÂNDIA",00046,0118,343,NULO,11
es,57070,"MARILÂNDIA",00046,0086,347,22,144
es,57070,"MARILÂNDIA",00046,0086,347,40,141
es,57070,"MARILÂNDIA",00046,0086,347,BRANCO,3
es,57070,"MARILÂNDIA",00046,0086,347,NULO,9
es,57070,"MARILÂNDIA",00046,0117,232,22,107
es,57070,"MARILÂNDIA",00046,0117,232,40,93
es,57070,"MARILÂNDIA",00046,0117,232,BRANCO,5
es,57070,"MARILÂNDIA",00046,0117,232,NULO,4
es,57070,"MARILÂNDIA",00046,0096,341,22,149
es,57070,"MARILÂNDIA",00046,0096,341,40,129
es,57070,"MARILÂNDIA",00046,0096,341,BRANCO,3
es,57070,"MARILÂNDIA",00046,0096,341,NULO,10
es,57070,"MARILÂNDIA",00046,0109,201,22,60
es,57070,"MARILÂNDIA",00046,0109,201,40,92
es,57070,"MARILÂNDIA",00046,0109,201,BRANCO,2
es,57070,"MARILÂNDIA",00046,0109,201,NULO,16
es,57070,"MARILÂNDIA",00046,0110,322,22,115
es,57070,"MARILÂNDIA",00046,0110,322,40,147
es,57070,"MARILÂNDIA",00046,0110,322,BRANCO,4
es,57070,"MARILÂNDIA",00046,0110,322,NULO,8
es,57070,"MARILÂNDIA",00046,0116,367,22,146
es,57070,"MARILÂNDIA",00046,0116,367,40,154
es,57070,"MARILÂNDIA",00046,0116,367,BRANCO,10
es,57070,"MARILÂNDIA",00046,0116,367,NULO,11
es,57070,"MARILÂNDIA",00046,0120,274,22,75
es,57070,"MARILÂNDIA",00046,0120,274,40,140
es,57070,"MARILÂNDIA",00046,0120,274,BRANCO,3
es,57070,"MARILÂNDIA",00046,0120,274,NULO,12
es,57070,"MARILÂNDIA",00046,0098,339,22,145
es,57070,"MARILÂNDIA",00046,0098,339,40,134
es,57070,"MARILÂNDIA",00046,0098,339,BRANCO,6
es,57070,"MARILÂNDIA",00046,0098,339,NULO,14
es,57070,"MARILÂNDIA",00046,0102,341,22,115
es,57070,"MARILÂNDIA",00046,0102,341,40,134
es,57070,"MARILÂNDIA",00046,0102,341,BRANCO,3
es,57070,"MARILÂNDIA",00046,0102,341,NULO,21
es,57070,"MARILÂNDIA",00046,0112,320,22,119
es,57070,"MARILÂNDIA",00046,0112,320,40,152
es,57070,"MARILÂNDIA",00046,0112,320,BRANCO,3
es,57070,"MARILÂNDIA",00046,0112,320,NULO,9
es,57070,"MARILÂNDIA",00046,0094,346,22,133
es,57070,"MARILÂNDIA",00046,0094,346,40,162
es,57070,"MARILÂNDIA",00046,0094,346,BRANCO,1
es,57070,"MARILÂNDIA",00046,0094,346,NULO,12
es,57070,"MARILÂNDIA",00046,0090,348,22,122
es,57070,"MARILÂNDIA",00046,0090,348,40,153
es,57070,"MARILÂNDIA",00046,0090,348,BRANCO,4
es,57070,"MARILÂNDIA",00046,0090,348,NULO,11
es,57070,"MARILÂNDIA",00046,0087,345,22,129
es,57070,"MARILÂNDIA",00046,0087,345,40,154
es,57070,"MARILÂNDIA",00046,0087,345,BRANCO,5
es,57070,"MARILÂNDIA",00046,0087,345,NULO,13
es,57070,"MARILÂNDIA",00046,0092,342,22,123
es,57070,"MARILÂNDIA",00046,0092,342,40,149
es,57070,"MARILÂNDIA",00046,0092,342,BRANCO,5
es,57070,"MARILÂNDIA",00046,0092,342,NULO,15
es,57070,"MARILÂNDIA",00046,0104,341,22,126
es,57070,"MARILÂNDIA",00046,0104,341,40,122
es,57070,"MARILÂNDIA",00046,0104,341,BRANCO,2
es,57070,"MARILÂNDIA",00046,0104,341,NULO,12
es,57070,"MARILÂNDIA",00046,0105,163,22,65
es,57070,"MARILÂNDIA",00046,0105,163,40,63
es,57070,"MARILÂNDIA",00046,0105,163,BRANCO,1
es,57070,"MARILÂNDIA",00046,0105,163,NULO,9
es,57070,"MARILÂNDIA",00046,0106,166,22,61
es,57070,"MARILÂNDIA",00046,0106,166,40,70
es,57070,"MARILÂNDIA",00046,0106,166,BRANCO,3
es,57070,"MARILÂNDIA",00046,0106,166,NULO,9
es,57070,"MARILÂNDIA",00046,0093,340,22,127
es,57070,"MARILÂNDIA",00046,0093,340,40,145
es,57070,"MARILÂNDIA",00046,0093,340,BRANCO,4
es,57070,"MARILÂNDIA",00046,0093,340,NULO,15
