"UF","cod_municipio","municipio","zona","secao","eleitores_aptos","candidato","quantidade_votos"
es,57070,"MARILÂNDIA",00046,0089,349,12,4
es,57070,"MARILÂNDIA",00046,0089,349,13,98
es,57070,"MARILÂNDIA",00046,0089,349,15,10
es,57070,"MARILÂNDIA",00046,0089,349,22,164
es,57070,"MARILÂNDIA",00046,0089,349,44,1
es,57070,"MARILÂNDIA",00046,0089,349,BRANCO,4
es,57070,"MARILÂNDIA",00046,0089,349,NULO,8
es,57070,"MARILÂNDIA",00046,0114,346,12,8
es,57070,"MARILÂNDIA",00046,0114,346,13,112
es,57070,"MARILÂNDIA",00046,0114,346,15,8
es,57070,"MARILÂNDIA",00046,0114,346,16,1
es,57070,"MARILÂNDIA",00046,0114,346,22,141
es,57070,"MARILÂNDIA",00046,0114,346,30,2
es,57070,"MARILÂNDIA",00046,0114,346,BRANCO,14
es,57070,"MARILÂNDIA",00046,0114,346,NULO,6
es,57070,"MARILÂNDIA",00046,0091,345,12,6
es,57070,"MARILÂNDIA",00046,0091,345,13,97
es,57070,"MARILÂNDIA",00046,0091,345,15,8
es,57070,"MARILÂNDIA",00046,0091,345,22,149
es,57070,"MARILÂNDIA",00046,0091,345,30,1
es,57070,"MARILÂNDIA",00046,0091,345,44,1
es,57070,"MARILÂNDIA",00046,0091,345,BRANCO,13
es,57070,"MARILÂNDIA",00046,0091,345,NULO,9
es,57070,"MARILÂNDIA",00046,0101,339,12,3
es,57070,"MARILÂNDIA",00046,0101,339,13,75
es,57070,"MARILÂNDIA",00046,0101,339,15,8
es,57070,"MARILÂNDIA",00046,0101,339,22,167
es,57070,"MARILÂNDIA",00046,0101,339,30,1
es,57070,"MARILÂNDIA",00046,0101,339,44,1
es,57070,"MARILÂNDIA",00046,0101,339,80,1
es,57070,"MARILÂNDIA",00046,0101,339,BRANCO,8
es,57070,"MARILÂNDIA",00046,0101,339,NULO,6
es,57070,"MARILÂNDIA",00046,0088,348,12,5
es,57070,"MARILÂNDIA",00046,0088,348,13,101
es,57070,"MARILÂNDIA",00046,0088,348,15,5
es,57070,"MARILÂNDIA",00046,0088,348,22,148
es,57070,"MARILÂNDIA",00046,0088,348,BRANCO,4
es,57070,"MARILÂNDIA",00046,0088,348,NULO,18
es,57070,"MARILÂNDIA",00046,0099,340,12,3
es,57070,"MARILÂNDIA",00046,0099,340,13,108
es,57070,"MARILÂNDIA",00046,0099,340,15,6
es,57070,"MARILÂNDIA",00046,0099,340,22,169
es,57070,"MARILÂNDIA",00046,0099,340,30,1
es,57070,"MARILÂNDIA",00046,0099,340,BRANCO,5
es,57070,"MARILÂNDIA",00046,0099,340,NULO,6
es,57070,"MARILÂNDIA",00046,0118,343,12,9
es,57070,"MARILÂNDIA",00046,0118,343,13,90
es,57070,"MARILÂNDIA",00046,0118,343,15,4
es,57070,"MARILÂNDIA",00046,0118,343,21,1
es,57070,"MARILÂNDIA",00046,0118,343,22,135
es,57070,"MARILÂNDIA",00046,0118,343,30,1
es,57070,"MARILÂNDIA",00046,0118,343,BRANCO,6
