"UF","cod_municipio","municipio","zona","secao","eleitores_aptos","candidato","quantidade_votos"
go,95575,"PORTELÂNDIA",00021,0053,339,13,115
go,95575,"PORTELÂNDIA",00021,0053,339,22,133
go,95575,"PORTELÂNDIA",00021,0053,339,BRANCO,3
go,95575,"PORTELÂNDIA",00021,0053,339,NULO,9
go,95575,"PORTELÂNDIA",00021,0068,335,13,127
go,95575,"PORTELÂNDIA",00021,0068,335,22,135
go,95575,"PORTELÂNDIA",00021,0068,335,BRANCO,6
go,95575,"PORTELÂNDIA",00021,0068,335,NULO,9
go,95575,"PORTELÂNDIA",00021,0056,335,13,127
go,95575,"PORTELÂNDIA",00021,0056,335,22,136
go,95575,"PORTELÂNDIA",00021,0056,335,BRANCO,1
go,95575,"PORTELÂNDIA",00021,0056,335,NULO,6
go,95575,"PORTELÂNDIA",00021,0096,260,13,90
go,95575,"PORTELÂNDIA",00021,0096,260,22,106
go,95575,"PORTELÂNDIA",00021,0096,260,BRANCO,3
go,95575,"PORTELÂNDIA",00021,0096,260,NULO,5
go,95575,"PORTELÂNDIA",00021,0075,335,13,121
go,95575,"PORTELÂNDIA",00021,0075,335,22,132
go,95575,"PORTELÂNDIA",00021,0075,335,BRANCO,2
go,95575,"PORTELÂNDIA",00021,0075,335,NULO,6
go,95575,"PORTELÂNDIA",00021,0055,336,13,115
go,95575,"PORTELÂNDIA",00021,0055,336,22,145
go,95575,"PORTELÂNDIA",00021,0055,336,BRANCO,4
go,95575,"PORTELÂNDIA",00021,0055,336,NULO,3
go,95575,"PORTELÂNDIA",00021,0052,343,13,115
go,95575,"PORTELÂNDIA",00021,0052,343,22,153
go,95575,"PORTELÂNDIA",00021,0052,343,BRANCO,5
go,95575,"PORTELÂNDIA",00021,0052,343,NULO,6
go,95575,"PORTELÂNDIA",00021,0105,264,13,104
go,95575,"PORTELÂNDIA",00021,0105,264,22,94
go,95575,"PORTELÂNDIA",00021,0105,264,BRANCO,1
go,95575,"PORTELÂNDIA",00021,0105,264,NULO,6
go,95575,"PORTELÂNDIA",00021,0054,341,13,118
go,95575,"PORTELÂNDIA",00021,0054,341,22,142
go,95575,"PORTELÂNDIA",00021,0054,341,BRANCO,1
go,95575,"PORTELÂNDIA",00021,0054,341,NULO,10
go,95575,"PORTELÂNDIA",00021,0066,261,13,83
go,95575,"PORTELÂNDIA",00021,0066,261,22,116
go,95575,"PORTELÂNDIA",00021,0066,261,NULO,6
go,92460,"PALESTINA DE GOIÁS",00102,0050,322,13,128
go,92460,"PALESTINA DE GOIÁS",00102,0050,322,22,127
go,92460,"PALESTINA DE GOIÁS",00102,0050,322,NULO,4
go,92460,"PALESTINA DE GOIÁS",00102,0053,327,13,89
go,92460,"PALESTINA DE GOIÁS",00102,0053,327,22,147
go,92460,"PALESTINA DE GOIÁS",00102,0053,327,BRANCO,2
go,92460,"PALESTINA DE GOIÁS",00102,0053,327,NULO,3
go,92460,"PALESTINA DE GOIÁS",00102,0056,321,13,95
go,92460,"PALESTINA DE GOIÁS",00102,0056,321,22,160
go,92460,"PALESTINA DE GOIÁS",00102,0056,321,BRANCO,1
go,92460,"PALESTINA DE GOIÁS",00102,0056,321,NULO,4
go,92460,"PALESTINA DE GOIÁS",00102,0047,324,13,117
