"UF","cod_municipio","municipio","zona","secao","eleitores_aptos","candidato","quantidade_votos"
ma,8109,"PORTO RICO DO MARANHÃO",00030,0056,260,13,153
ma,8109,"PORTO RICO DO MARANHÃO",00030,0056,260,22,25
ma,8109,"PORTO RICO DO MARANHÃO",00030,0056,260,NULO,7
ma,8109,"PORTO RICO DO MARANHÃO",00030,0070,256,13,62
ma,8109,"PORTO RICO DO MARANHÃO",00030,0070,256,22,48
ma,8109,"PORTO RICO DO MARANHÃO",00030,0070,256,BRANCO,1
ma,8109,"PORTO RICO DO MARANHÃO",00030,0070,256,NULO,1
ma,8109,"PORTO RICO DO MARANHÃO",00030,0188,254,13,106
ma,8109,"PORTO RICO DO MARANHÃO",00030,0188,254,22,27
ma,8109,"PORTO RICO DO MARANHÃO",00030,0188,254,BRANCO,3
ma,8109,"PORTO RICO DO MARANHÃO",00030,0188,254,NULO,1
ma,8109,"PORTO RICO DO MARANHÃO",00030,0127,325,13,142
ma,8109,"PORTO RICO DO MARANHÃO",00030,0127,325,22,100
ma,8109,"PORTO RICO DO MARANHÃO",00030,0077,261,13,125
ma,8109,"PORTO RICO DO MARANHÃO",00030,0077,261,22,58
ma,8109,"PORTO RICO DO MARANHÃO",00030,0077,261,BRANCO,2
ma,8109,"PORTO RICO DO MARANHÃO",00030,0172,195,13,85
ma,8109,"PORTO RICO DO MARANHÃO",00030,0172,195,22,22
ma,8109,"PORTO RICO DO MARANHÃO",00030,0172,195,BRANCO,1
ma,8109,"PORTO RICO DO MARANHÃO",00030,0172,195,NULO,1
ma,8109,"PORTO RICO DO MARANHÃO",00030,0030,293,13,143
ma,8109,"PORTO RICO DO MARANHÃO",00030,0030,293,22,22
ma,8109,"PORTO RICO DO MARANHÃO",00030,0030,293,BRANCO,1
ma,8109,"PORTO RICO DO MARANHÃO",00030,0030,293,NULO,4
ma,8109,"PORTO RICO DO MARANHÃO",00030,0133,413,13,202
ma,8109,"PORTO RICO DO MARANHÃO",00030,0133,413,22,131
ma,8109,"PORTO RICO DO MARANHÃO",00030,0133,413,BRANCO,3
ma,8109,"PORTO RICO DO MARANHÃO",00030,0133,413,NULO,4
