"UF","cod_municipio","municipio","zona","secao","eleitores_aptos","candidato","quantidade_votos"
ms,91901,"VICENTINA",00004,0089,333,28,68
ms,91901,"VICENTINA",00004,0089,333,45,180
ms,91901,"VICENTINA",00004,0089,333,BRANCO,6
ms,91901,"VICENTINA",00004,0089,333,NULO,19
ms,91901,"VICENTINA",00004,0050,214,28,59
ms,91901,"VICENTINA",00004,0050,214,45,109
ms,91901,"VICENTINA",00004,0050,214,BRANCO,4
ms,91901,"VICENTINA",00004,0050,214,NULO,5
ms,91901,"VICENTINA",00004,0053,216,28,44
ms,91901,"VICENTINA",00004,0053,216,45,108
ms,91901,"VICENTINA",00004,0053,216,BRANCO,4
ms,91901,"VICENTINA",00004,0053,216,NULO,10
ms,91901,"VICENTINA",00004,0068,237,28,43
ms,91901,"VICENTINA",00004,0068,237,45,145
ms,91901,"VICENTINA",00004,0068,237,BRANCO,1
ms,91901,"VICENTINA",00004,0068,237,NULO,8
ms,91901,"VICENTINA",00004,0047,309,28,68
ms,91901,"VICENTINA",00004,0047,309,45,166
ms,91901,"VICENTINA",00004,0047,309,BRANCO,4
ms,91901,"VICENTINA",00004,0047,309,NULO,13
ms,91901,"VICENTINA",00004,0042,323,28,63
ms,91901,"VICENTINA",00004,0042,323,45,176
ms,91901,"VICENTINA",00004,0042,323,BRANCO,5
ms,91901,"VICENTINA",00004,0042,323,NULO,16
ms,91901,"VICENTINA",00004,0049,213,28,53
ms,91901,"VICENTINA",00004,0049,213,45,103
ms,91901,"VICENTINA",00004,0049,213,BRANCO,4
ms,91901,"VICENTINA",00004,0049,213,NULO,13
ms,91901,"VICENTINA",00004,0067,239,28,39
ms,91901,"VICENTINA",00004,0067,239,45,160
ms,91901,"VICENTINA",00004,0067,239,BRANCO,1
ms,91901,"VICENTINA",00004,0067,239,NULO,8
ms,91901,"VICENTINA",00004,0044,325,28,74
ms,91901,"VICENTINA",00004,0044,325,45,187
ms,91901,"VICENTINA",00004,0044,325,BRANCO,2
ms,91901,"VICENTINA",00004,0044,325,NULO,15
ms,91901,"VICENTINA",00004,0051,213,28,60
ms,91901,"VICENTINA",00004,0051,213,45,111
ms,91901,"VICENTINA",00004,0051,213,NULO,7
ms,91901,"VICENTINA",00004,0069,236,28,48
ms,91901,"VICENTINA",00004,0069,236,45,139
ms,91901,"VICENTINA",00004,0069,236,BRANCO,1
ms,91901,"VICENTINA",00004,0069,236,NULO,5
ms,91901,"VICENTINA",00004,0094,322,28,81
ms,91901,"VICENTINA",00004,0094,322,45,184
ms,91901,"VICENTINA",00004,0094,322,BRANCO,2
ms,91901,"VICENTINA",00004,0094,322,NULO,5
ms,91901,"VICENTINA",00004,0048,213,28,55
ms,91901,"VICENTINA",00004,0048,213,45,107
ms,91901,"VICENTINA",00004,0048,213,BRANCO,3
ms,91901,"VICENTINA",00004,0048,213,NULO,6
ms,91901,"VICENTINA",00004,0043,327,28,83
ms,91901,"VICENTINA",00004,0043,327,45,178
ms,91901,"VICENTINA",00004,0043,327,BRANCO,3
ms,91901,"VICENTINA",00004,0043,327,NULO,12
ms,91901,"VICENTINA",00004,0065,268,28,41
ms,91901,"VICENTINA",00004,0065,268,45,167
ms,91901,"VICENTINA",00004,0065,268,BRANCO,2
ms,91901,"VICENTINA",00004,0065,268,NULO,7
ms,91901,"VICENTINA",00004,0052,210,28,48
ms,91901,"VICENTINA",00004,0052,210,45,113
ms,91901,"VICENTINA",00004,0052,210,BRANCO,3
ms,91901,"VICENTINA",00004,0052,210,NULO,8
ms,91901,"VICENTINA",00004,0046,302,28,69
ms,91901,"VICENTINA",00004,0046,302,45,153
ms,91901,"VICENTINA",00004,0046,302,BRANCO,2
ms,91901,"VICENTINA",00004,0046,302,NULO,13
ms,91901,"VICENTINA",00004,0064,268,28,37
ms,91901,"VICENTINA",00004,0064,268,45,173
ms,91901,"VICENTINA",00004,0064,268,BRANCO,4
ms,91901,"VICENTINA",00004,0064,268,NULO,7
ms,91901,"VICENTINA",00004,0045,325,28,61
ms,91901,"VICENTINA",00004,0045,325,45,194
ms,91901,"VICENTINA",00004,0045,325,BRANCO,8
ms,91901,"VICENTINA",00004,0045,325,NULO,11
ms,91901,"VICENTINA",00004,0066,271,28,35
ms,91901,"VICENTINA",00004,0066,271,45,179
ms,91901,"VICENTINA",00004,0066,271,BRANCO,1
ms,91901,"VICENTINA",00004,0066,271,NULO,9
ms,91901,"VICENTINA",00004,0097,331,28,66
ms,91901,"VICENTINA",00004,0097,331,45,167
ms,91901,"VICENTINA",00004,0097,331,BRANCO,6
ms,91901,"VICENTINA",00004,0097,331,NULO,9
ms,90417,"BELA VISTA",00017,0019,288,28,84
ms,90417,"BELA VISTA",00017,0019,288,45,113
ms,90417,"BELA VISTA",00017,0019,288,BRANCO,1
ms,90417,"BELA VISTA",00017,0019,288,NULO,9
ms,90417,"BELA VISTA",00017,0050,305,28,64
ms,90417,"BELA VISTA",00017,0050,305,45,155
ms,90417,"BELA VISTA",00017,0050,305,BRANCO,3
ms,90417,"BELA VISTA",00017,0050,305,NULO,10
ms,90417,"BELA VISTA",00017,0025,283,28,80
ms,90417,"BELA VISTA",00017,0025,283,45,123
ms,90417,"BELA VISTA",00017,0025,283,BRANCO,3
ms,90417,"BELA VISTA",00017,0025,283,NULO,8
ms,90417,"BELA VISTA",00017,0059,210,28,44
ms,90417,"BELA VISTA",00017,0059,210,45,100
ms,90417,"BELA VISTA",00017,0059,210,BRANCO,2
ms,90417,"BELA VISTA",00017,0059,210,NULO,7
ms,90417,"BELA VISTA",00017,0001,247,28,68
ms,90417,"BELA VISTA",00017,0001,247,45,119
ms,90417,"BELA VISTA",00017,0001,247,NULO,5
ms,90417,"BELA VISTA",00017,0038,298,28,71
ms,90417,"BELA VISTA",00017,0038,298,45,143
ms,90417,"BELA VISTA",00017,0038,298,BRANCO,2
ms,90417,"BELA VISTA",00017,0038,298,NULO,9
ms,90417,"BELA VISTA",00017,0028,207,28,45
ms,90417,"BELA VISTA",00017,0028,207,45,86
ms,90417,"BELA VISTA",00017,0028,207,NULO,13
ms,90417,"BELA VISTA",00017,0007,163,28,27
ms,90417,"BELA VISTA",00017,0007,163,45,72
ms,90417,"BELA VISTA",00017,0007,163,BRANCO,2
ms,90417,"BELA VISTA",00017,0007,163,NULO,5
ms,90417,"BELA VISTA",00017,0088,215,28,44
ms,90417,"BELA VISTA",00017,0088,215,45,118
ms,90417,"BELA VISTA",00017,0088,215,BRANCO,5
ms,90417,"BELA VISTA",00017,0088,215,NULO,12
ms,90417,"BELA VISTA",00017,0056,289,28,102
ms,90417,"BELA VISTA",00017,0056,289,45,108
ms,90417,"BELA VISTA",00017,0056,289,BRANCO,1
ms,90417,"BELA VISTA",00017,0056,289,NULO,11
ms,90417,"BELA VISTA",00017,0070,210,28,31
ms,90417,"BELA VISTA",00017,0070,210,45,117
ms,90417,"BELA VISTA",00017,0070,210,BRANCO,3
ms,90417,"BELA VISTA",00017,0070,210,NULO,7
ms,90417,"BELA VISTA",00017,0021,286,28,88
ms,90417,"BELA VISTA",00017,0021,286,45,119
ms,90417,"BELA VISTA",00017,0021,286,BRANCO,2
ms,90417,"BELA VISTA",00017,0021,286,NULO,8
ms,90417,"BELA VISTA",00017,0012,299,28,61
ms,90417,"BELA VISTA",00017,0012,299,45,137
ms,90417,"BELA VISTA",00017,0012,299,BRANCO,2
ms,90417,"BELA VISTA",00017,0012,299,NULO,12
ms,90417,"BELA VISTA",00017,0014,303,28,70
ms,90417,"BELA VISTA",00017,0014,303,45,139
ms,90417,"BELA VISTA",00017,0014,303,BRANCO,2
ms,90417,"BELA VISTA",00017,0014,303,NULO,8
ms,90417,"BELA VISTA",00017,0084,313,28,64
ms,90417,"BELA VISTA",00017,0084,313,45,142
ms,90417,"BELA VISTA",00017,0084,313,BRANCO,2
ms,90417,"BELA VISTA",00017,0084,313,NULO,10
ms,90417,"BELA VISTA",00017,0060,322,28,57
ms,90417,"BELA VISTA",00017,0060,322,45,171
ms,90417,"BELA VISTA",00017,0060,322,BRANCO,2
ms,90417,"BELA VISTA",00017,0060,322,NULO,14
ms,90417,"BELA VISTA",00017,0023,327,28,52
ms,90417,"BELA VISTA",00017,0023,327,45,166
ms,90417,"BELA VISTA",00017,0023,327,BRANCO,7
ms,90417,"BELA VISTA",00017,0023,327,NULO,17
ms,90417,"BELA VISTA",00017,0077,267,28,47
ms,90417,"BELA VISTA",00017,0077,267,45,131
ms,90417,"BELA VISTA",00017,0077,267,BRANCO,3
ms,90417,"BELA VISTA",00017,0077,267,NULO,10
ms,90417,"BELA VISTA",00017,0015,209,28,42
ms,90417,"BELA VISTA",00017,0015,209,45,106
ms,90417,"BELA VISTA",00017,0015,209,BRANCO,1
ms,90417,"BELA VISTA",00017,0015,209,NULO,6
ms,90417,"BELA VISTA",00017,0005,303,28,65
ms,90417,"BELA VISTA",00017,0005,303,45,139
ms,90417,"BELA VISTA",00017,0005,303,BRANCO,1
ms,90417,"BELA VISTA",00017,0005,303,NULO,5
ms,90417,"BELA VISTA",00017,0022,300,28,82
ms,90417,"BELA VISTA",00017,0022,300,45,127
ms,90417,"BELA VISTA",00017,0022,300,BRANCO,1
ms,90417,"BELA VISTA",00017,0022,300,NULO,11
ms,90417,"BELA VISTA",00017,0018,319,28,90
ms,90417,"BELA VISTA",00017,0018,319,45,140
ms,90417,"BELA VISTA",00017,0018,319,BRANCO,3
ms,90417,"BELA VISTA",00017,0018,319,NULO,10
ms,90417,"BELA VISTA",00017,0030,323,28,59
ms,90417,"BELA VISTA",00017,0030,323,45,149
ms,90417,"BELA VISTA",00017,0030,323,BRANCO,5
ms,90417,"BELA VISTA",00017,0030,323,NULO,11
ms,90417,"BELA VISTA",00017,0034,312,28,72
ms,90417,"BELA VISTA",00017,0034,312,45,135
ms,90417,"BELA VISTA",00017,0034,312,BRANCO,3
ms,90417,"BELA VISTA",00017,0034,312,NULO,11
ms,90417,"BELA VISTA",00017,0049,208,28,43
ms,90417,"BELA VISTA",00017,0049,208,45,104
ms,90417,"BELA VISTA",00017,0049,208,BRANCO,2
ms,90417,"BELA VISTA",00017,0049,208,NULO,4
ms,90417,"BELA VISTA",00017,0067,261,28,56
ms,90417,"BELA VISTA",00017,0067,261,45,122
ms,90417,"BELA VISTA",00017,0067,261,BRANCO,3
ms,90417,"BELA VISTA",00017,0067,261,NULO,8
ms,90417,"BELA VISTA",00017,0055,206,28,64
ms,90417,"BELA VISTA",00017,0055,206,45,85
ms,90417,"BELA VISTA",00017,0055,206,BRANCO,1
ms,90417,"BELA VISTA",00017,0055,206,NULO,8
ms,90417,"BELA VISTA",00017,0039,288,28,92
ms,90417,"BELA VISTA",00017,0039,288,45,124
ms,90417,"BELA VISTA",00017,0039,288,BRANCO,1
ms,90417,"BELA VISTA",00017,0039,288,NULO,8
ms,90417,"BELA VISTA",00017,0069,313,28,76
ms,90417,"BELA VISTA",00017,0069,313,45,150
ms,90417,"BELA VISTA",00017,0069,313,BRANCO,5
ms,90417,"BELA VISTA",00017,0069,313,NULO,6
ms,90417,"BELA VISTA",00017,0002,245,28,68
ms,90417,"BELA VISTA",00017,0002,245,45,102
ms,90417,"BELA VISTA",00017,0002,245,BRANCO,1
ms,90417,"BELA VISTA",00017,0002,245,NULO,7
ms,90417,"BELA VISTA",00017,0040,293,28,87
ms,90417,"BELA VISTA",00017,0040,293,45,116
ms,90417,"BELA VISTA",00017,0040,293,BRANCO,2
ms,90417,"BELA VISTA",00017,0040,293,NULO,12
ms,90417,"BELA VISTA",00017,0017,206,28,51
ms,90417,"BELA VISTA",00017,0017,206,45,102
ms,90417,"BELA VISTA",00017,0017,206,BRANCO,3
ms,90417,"BELA VISTA",00017,0017,206,NULO,10
ms,90417,"BELA VISTA",00017,0065,204,28,81
ms,90417,"BELA VISTA",00017,0065,204,45,69
ms,90417,"BELA VISTA",00017,0065,204,NULO,8
ms,90417,"BELA VISTA",00017,0035,302,28,70
ms,90417,"BELA VISTA",00017,0035,302,45,142
ms,90417,"BELA VISTA",00017,0035,302,BRANCO,3
ms,90417,"BELA VISTA",00017,0035,302,NULO,9
ms,90417,"BELA VISTA",00017,0079,296,28,75
ms,90417,"BELA VISTA",00017,0079,296,45,132
ms,90417,"BELA VISTA",00017,0079,296,BRANCO,2
ms,90417,"BELA VISTA",00017,0079,296,NULO,9
ms,90417,"BELA VISTA",00017,0073,322,28,58
ms,90417,"BELA VISTA",00017,0073,322,45,150
ms,90417,"BELA VISTA",00017,0073,322,BRANCO,6
ms,90417,"BELA VISTA",00017,0073,322,NULO,15
ms,90417,"BELA VISTA",00017,0082,334,28,65
ms,90417,"BELA VISTA",00017,0082,334,45,161
ms,90417,"BELA VISTA",00017,0082,334,BRANCO,4
ms,90417,"BELA VISTA",00017,0082,334,NULO,14
ms,90417,"BELA VISTA",00017,0052,286,28,90
ms,90417,"BELA VISTA",00017,0052,286,45,110
ms,90417,"BELA VISTA",00017,0052,286,NULO,7
ms,90417,"BELA VISTA",00017,0032,243,28,59
ms,90417,"BELA VISTA",00017,0032,243,45,110
ms,90417,"BELA VISTA",00017,0032,243,BRANCO,5
ms,90417,"BELA VISTA",00017,0032,243,NULO,6
ms,90417,"BELA VISTA",00017,0013,261,28,31
ms,90417,"BELA VISTA",00017,0013,261,45,107
ms,90417,"BELA VISTA",00017,0013,261,BRANCO,1
ms,90417,"BELA VISTA",00017,0013,261,NULO,12
ms,90417,"BELA VISTA",00017,0003,317,28,92
ms,90417,"BELA VISTA",00017,0003,317,45,130
ms,90417,"BELA VISTA",00017,0003,317,BRANCO,3
ms,90417,"BELA VISTA",00017,0003,317,NULO,10
ms,90417,"BELA VISTA",00017,0011,254,28,57
ms,90417,"BELA VISTA",00017,0011,254,45,110
ms,90417,"BELA VISTA",00017,0011,254,BRANCO,4
ms,90417,"BELA VISTA",00017,0011,254,NULO,5
ms,90417,"BELA VISTA",00017,0009,260,28,56
ms,90417,"BELA VISTA",00017,0009,260,45,114
ms,90417,"BELA VISTA",00017,0009,260,BRANCO,3
ms,90417,"BELA VISTA",00017,0009,260,NULO,10
ms,90417,"BELA VISTA",00017,0024,324,28,62
ms,90417,"BELA VISTA",00017,0024,324,45,150
ms,90417,"BELA VISTA",00017,0024,324,BRANCO,3
ms,90417,"BELA VISTA",00017,0024,324,NULO,14
ms,90417,"BELA VISTA",00017,0010,306,28,70
ms,90417,"BELA VISTA",00017,0010,306,45,140
ms,90417,"BELA VISTA",00017,0010,306,BRANCO,3
ms,90417,"BELA VISTA",00017,0010,306,NULO,9
ms,90417,"BELA VISTA",00017,0008,248,28,72
ms,90417,"BELA VISTA",00017,0008,248,45,94
ms,90417,"BELA VISTA",00017,0008,248,BRANCO,3
ms,90417,"BELA VISTA",00017,0008,248,NULO,9
ms,90417,"BELA VISTA",00017,0054,301,28,53
ms,90417,"BELA VISTA",00017,0054,301,45,154
ms,90417,"BELA VISTA",00017,0054,301,BRANCO,4
ms,90417,"BELA VISTA",00017,0054,301,NULO,11
ms,90417,"BELA VISTA",00017,0080,323,28,74
ms,90417,"BELA VISTA",00017,0080,323,45,147
ms,90417,"BELA VISTA",00017,0080,323,BRANCO,4
ms,90417,"BELA VISTA",00017,0080,323,NULO,13
ms,90417,"BELA VISTA",00017,0004,301,28,80
ms,90417,"BELA VISTA",00017,0004,301,45,119
ms,90417,"BELA VISTA",00017,0004,301,BRANCO,2
ms,90417,"BELA VISTA",00017,0004,301,NULO,7
ms,90417,"BELA VISTA",00017,0029,320,28,56
ms,90417,"BELA VISTA",00017,0029,320,45,159
ms,90417,"BELA VISTA",00017,0029,320,NULO,15
ms,90417,"BELA VISTA",00017,0081,322,28,67
ms,90417,"BELA VISTA",00017,0081,322,45,154
ms,90417,"BELA VISTA",00017,0081,322,BRANCO,2
ms,90417,"BELA VISTA",00017,0081,322,NULO,13
ms,90417,"BELA VISTA",00017,0026,295,28,59
ms,90417,"BELA VISTA",00017,0026,295,45,141
ms,90417,"BELA VISTA",00017,0026,295,BRANCO,3
ms,90417,"BELA VISTA",00017,0026,295,NULO,12
ms,90417,"BELA VISTA",00017,0057,306,28,73
ms,90417,"BELA VISTA",00017,0057,306,45,137
ms,90417,"BELA VISTA",00017,0057,306,BRANCO,2
ms,90417,"BELA VISTA",00017,0057,306,NULO,15
ms,90417,"BELA VISTA",00017,0071,290,28,75
ms,90417,"BELA VISTA",00017,0071,290,45,127
ms,90417,"BELA VISTA",00017,0071,290,BRANCO,1
ms,90417,"BELA VISTA",00017,0071,290,NULO,9
ms,90417,"BELA VISTA",00017,0036,296,28,68
ms,90417,"BELA VISTA",00017,0036,296,45,142
ms,90417,"BELA VISTA",00017,0036,296,BRANCO,7
ms,90417,"BELA VISTA",00017,0036,296,NULO,7
ms,90417,"BELA VISTA",00017,0066,111,28,26
ms,90417,"BELA VISTA",00017,0066,111,45,38
ms,90417,"BELA VISTA",00017,0066,111,BRANCO,1
ms,90417,"BELA VISTA",00017,0066,111,NULO,4
ms,90417,"BELA VISTA",00017,0037,347,28,47
ms,90417,"BELA VISTA",00017,0037,347,45,181
ms,90417,"BELA VISTA",00017,0037,347,BRANCO,5
ms,90417,"BELA VISTA",00017,0037,347,NULO,25
ms,90417,"BELA VISTA",00017,0016,210,28,53
ms,90417,"BELA VISTA",00017,0016,210,45,93
ms,90417,"BELA VISTA",00017,0016,210,BRANCO,2
ms,90417,"BELA VISTA",00017,0016,210,NULO,6
ms,90417,"BELA VISTA",00017,0006,261,28,61
ms,90417,"BELA VISTA",00017,0006,261,45,114
ms,90417,"BELA VISTA",00017,0006,261,BRANCO,2
ms,90417,"BELA VISTA",00017,0006,261,NULO,8
ms,90190,"APARECIDA DO TABOADO",00024,0019,344,28,147
ms,90190,"APARECIDA DO TABOADO",00024,0019,344,45,100
ms,90190,"APARECIDA DO TABOADO",00024,0019,344,BRANCO,9
ms,90190,"APARECIDA DO TABOADO",00024,0019,344,NULO,14
ms,90190,"APARECIDA DO TABOADO",00024,0050,364,28,88
ms,90190,"APARECIDA DO TABOADO",00024,0050,364,45,103
ms,90190,"APARECIDA DO TABOADO",00024,0050,364,BRANCO,14
ms,90190,"APARECIDA DO TABOADO",00024,0050,364,NULO,32
ms,90190,"APARECIDA DO TABOADO",00024,0053,271,28,84
ms,90190,"APARECIDA DO TABOADO",00024,0053,271,45,66
ms,90190,"APARECIDA DO TABOADO",00024,0053,271,BRANCO,12
ms,90190,"APARECIDA DO TABOADO",00024,0053,271,NULO,21
ms,90190,"APARECIDA DO TABOADO",00024,0025,353,28,138
ms,90190,"APARECIDA DO TABOADO",00024,0025,353,45,98
ms,90190,"APARECIDA DO TABOADO",00024,0025,353,BRANCO,8
ms,90190,"APARECIDA DO TABOADO",00024,0025,353,NULO,21
ms,90190,"APARECIDA DO TABOADO",00024,0059,326,28,91
ms,90190,"APARECIDA DO TABOADO",00024,0059,326,45,104
ms,90190,"APARECIDA DO TABOADO",00024,0059,326,BRANCO,16
ms,90190,"APARECIDA DO TABOADO",00024,0059,326,NULO,25
ms,90190,"APARECIDA DO TABOADO",00024,0001,355,28,115
ms,90190,"APARECIDA DO TABOADO",00024,0001,355,45,105
ms,90190,"APARECIDA DO TABOADO",00024,0001,355,BRANCO,9
ms,90190,"APARECIDA DO TABOADO",00024,0001,355,NULO,25
ms,90190,"APARECIDA DO TABOADO",00024,0038,308,28,106
ms,90190,"APARECIDA DO TABOADO",00024,0038,308,45,98
ms,90190,"APARECIDA DO TABOADO",00024,0038,308,BRANCO,8
ms,90190,"APARECIDA DO TABOADO",00024,0038,308,NULO,17
ms,90190,"APARECIDA DO TABOADO",00024,0028,333,28,125
ms,90190,"APARECIDA DO TABOADO",00024,0028,333,45,95
ms,90190,"APARECIDA DO TABOADO",00024,0028,333,BRANCO,7
ms,90190,"APARECIDA DO TABOADO",00024,0028,333,NULO,17
ms,90190,"APARECIDA DO TABOADO",00024,0007,351,28,105
ms,90190,"APARECIDA DO TABOADO",00024,0007,351,45,99
ms,90190,"APARECIDA DO TABOADO",00024,0007,351,BRANCO,10
ms,90190,"APARECIDA DO TABOADO",00024,0007,351,NULO,25
ms,90190,"APARECIDA DO TABOADO",00024,0041,301,28,94
ms,90190,"APARECIDA DO TABOADO",00024,0041,301,45,87
ms,90190,"APARECIDA DO TABOADO",00024,0041,301,BRANCO,10
ms,90190,"APARECIDA DO TABOADO",00024,0041,301,NULO,30
ms,90190,"APARECIDA DO TABOADO",00024,0020,356,28,147
ms,90190,"APARECIDA DO TABOADO",00024,0020,356,45,111
ms,90190,"APARECIDA DO TABOADO",00024,0020,356,BRANCO,9
ms,90190,"APARECIDA DO TABOADO",00024,0020,356,NULO,13
ms,90190,"APARECIDA DO TABOADO",00024,0056,305,28,105
ms,90190,"APARECIDA DO TABOADO",00024,0056,305,45,78
ms,90190,"APARECIDA DO TABOADO",00024,0056,305,BRANCO,6
ms,90190,"APARECIDA DO TABOADO",00024,0056,305,NULO,17
ms,90190,"APARECIDA DO TABOADO",00024,0021,345,28,146
ms,90190,"APARECIDA DO TABOADO",00024,0021,345,45,97
ms,90190,"APARECIDA DO TABOADO",00024,0021,345,BRANCO,11
ms,90190,"APARECIDA DO TABOADO",00024,0021,345,NULO,11
ms,90190,"APARECIDA DO TABOADO",00024,0047,367,28,100
ms,90190,"APARECIDA DO TABOADO",00024,0047,367,45,95
