"UF","cod_municipio","municipio","zona","secao","eleitores_aptos","candidato","quantidade_votos"
ms,91901,"VICENTINA",00004,0089,333,12,3
ms,91901,"VICENTINA",00004,0089,333,13,158
ms,91901,"VICENTINA",00004,0089,333,15,14
ms,91901,"VICENTINA",00004,0089,333,22,98
ms,91901,"VICENTINA",00004,0089,333,BRANCO,1
ms,91901,"VICENTINA",00004,0089,333,NULO,5
ms,91901,"VICENTINA",00004,0050,214,12,4
ms,91901,"VICENTINA",00004,0050,214,13,79
ms,91901,"VICENTINA",00004,0050,214,15,10
ms,91901,"VICENTINA",00004,0050,214,22,78
ms,91901,"VICENTINA",00004,0050,214,44,1
ms,91901,"VICENTINA",00004,0050,214,BRANCO,2
ms,91901,"VICENTINA",00004,0050,214,NULO,4
ms,91901,"VICENTINA",00004,0053,216,12,2
ms,91901,"VICENTINA",00004,0053,216,13,83
ms,91901,"VICENTINA",00004,0053,216,14,1
ms,91901,"VICENTINA",00004,0053,216,15,14
ms,91901,"VICENTINA",00004,0053,216,22,55
ms,91901,"VICENTINA",00004,0053,216,44,2
ms,91901,"VICENTINA",00004,0053,216,BRANCO,1
ms,91901,"VICENTINA",00004,0053,216,NULO,4
ms,91901,"VICENTINA",00004,0068,237,12,3
ms,91901,"VICENTINA",00004,0068,237,13,128
ms,91901,"VICENTINA",00004,0068,237,15,12
ms,91901,"VICENTINA",00004,0068,237,22,52
ms,91901,"VICENTINA",00004,0068,237,NULO,5
ms,91901,"VICENTINA",00004,0047,309,12,4
ms,91901,"VICENTINA",00004,0047,309,13,141
ms,91901,"VICENTINA",00004,0047,309,15,18
ms,91901,"VICENTINA",00004,0047,309,22,85
ms,91901,"VICENTINA",00004,0047,309,44,2
ms,91901,"VICENTINA",00004,0047,309,BRANCO,1
ms,91901,"VICENTINA",00004,0047,309,NULO,3
ms,91901,"VICENTINA",00004,0042,323,12,2
ms,91901,"VICENTINA",00004,0042,323,13,135
ms,91901,"VICENTINA",00004,0042,323,14,1
ms,91901,"VICENTINA",00004,0042,323,15,21
ms,91901,"VICENTINA",00004,0042,323,22,97
ms,91901,"VICENTINA",00004,0042,323,30,1
ms,91901,"VICENTINA",00004,0042,323,44,1
ms,91901,"VICENTINA",00004,0042,323,BRANCO,3
ms,91901,"VICENTINA",00004,0049,213,12,3
ms,91901,"VICENTINA",00004,0049,213,13,77
ms,91901,"VICENTINA",00004,0049,213,15,17
ms,91901,"VICENTINA",00004,0049,213,22,72
ms,91901,"VICENTINA",00004,0049,213,BRANCO,3
ms,91901,"VICENTINA",00004,0049,213,NULO,1
ms,91901,"VICENTINA",00004,0067,239,12,1
ms,91901,"VICENTINA",00004,0067,239,13,142
ms,91901,"VICENTINA",00004,0067,239,15,11
ms,91901,"VICENTINA",00004,0067,239,16,1
ms,91901,"VICENTINA",00004,0067,239,22,48
ms,91901,"VICENTINA",00004,0067,239,44,1
ms,91901,"VICENTINA",00004,0067,239,NULO,4
ms,91901,"VICENTINA",00004,0044,325,12,3
ms,91901,"VICENTINA",00004,0044,325,13,123
ms,91901,"VICENTINA",00004,0044,325,15,23
ms,91901,"VICENTINA",00004,0044,325,22,117
ms,91901,"VICENTINA",00004,0044,325,27,1
ms,91901,"VICENTINA",00004,0044,325,30,1
ms,91901,"VICENTINA",00004,0044,325,44,2
ms,91901,"VICENTINA",00004,0044,325,BRANCO,4
ms,91901,"VICENTINA",00004,0044,325,NULO,5
ms,91901,"VICENTINA",00004,0051,213,12,3
ms,91901,"VICENTINA",00004,0051,213,13,82
ms,91901,"VICENTINA",00004,0051,213,15,11
ms,91901,"VICENTINA",00004,0051,213,22,71
ms,91901,"VICENTINA",00004,0051,213,44,1
ms,91901,"VICENTINA",00004,0051,213,BRANCO,1
ms,91901,"VICENTINA",00004,0051,213,NULO,6
ms,91901,"VICENTINA",00004,0069,236,12,1
ms,91901,"VICENTINA",00004,0069,236,13,120
ms,91901,"VICENTINA",00004,0069,236,15,9
ms,91901,"VICENTINA",00004,0069,236,22,57
ms,91901,"VICENTINA",00004,0069,236,BRANCO,2
ms,91901,"VICENTINA",00004,0069,236,NULO,5
ms,91901,"VICENTINA",00004,0094,322,12,3
ms,91901,"VICENTINA",00004,0094,322,13,136
ms,91901,"VICENTINA",00004,0094,322,15,17
ms,91901,"VICENTINA",00004,0094,322,22,104
ms,91901,"VICENTINA",00004,0094,322,27,1
ms,91901,"VICENTINA",00004,0094,322,BRANCO,3
ms,91901,"VICENTINA",00004,0094,322,NULO,3
ms,91901,"VICENTINA",00004,0048,213,12,2
ms,91901,"VICENTINA",00004,0048,213,13,85
ms,91901,"VICENTINA",00004,0048,213,15,14
ms,91901,"VICENTINA",00004,0048,213,22,69
ms,91901,"VICENTINA",00004,0048,213,BRANCO,4
ms,91901,"VICENTINA",00004,0048,213,NULO,1
ms,91901,"VICENTINA",00004,0043,327,12,3
ms,91901,"VICENTINA",00004,0043,327,13,129
ms,91901,"VICENTINA",00004,0043,327,15,21
ms,91901,"VICENTINA",00004,0043,327,22,108
ms,91901,"VICENTINA",00004,0043,327,30,1
ms,91901,"VICENTINA",00004,0043,327,44,1
ms,91901,"VICENTINA",00004,0043,327,BRANCO,2
ms,91901,"VICENTINA",00004,0043,327,NULO,6
ms,91901,"VICENTINA",00004,0065,268,13,135
ms,91901,"VICENTINA",00004,0065,268,15,13
ms,91901,"VICENTINA",00004,0065,268,22,65
ms,91901,"VICENTINA",00004,0065,268,BRANCO,1
ms,91901,"VICENTINA",00004,0065,268,NULO,4
ms,91901,"VICENTINA",00004,0052,210,12,2
ms,91901,"VICENTINA",00004,0052,210,13,89
ms,91901,"VICENTINA",00004,0052,210,15,20
ms,91901,"VICENTINA",00004,0052,210,22,54
ms,91901,"VICENTINA",00004,0052,210,44,1
ms,91901,"VICENTINA",00004,0052,210,BRANCO,1
ms,91901,"VICENTINA",00004,0052,210,NULO,2
ms,91901,"VICENTINA",00004,0046,302,12,3
ms,91901,"VICENTINA",00004,0046,302,13,124
ms,91901,"VICENTINA",00004,0046,302,15,16
ms,91901,"VICENTINA",00004,0046,302,22,87
ms,91901,"VICENTINA",00004,0046,302,BRANCO,2
ms,91901,"VICENTINA",00004,0046,302,NULO,7
ms,91901,"VICENTINA",00004,0064,268,12,1
ms,91901,"VICENTINA",00004,0064,268,13,151
ms,91901,"VICENTINA",00004,0064,268,15,8
ms,91901,"VICENTINA",00004,0064,268,22,63
ms,91901,"VICENTINA",00004,0064,268,30,1
ms,91901,"VICENTINA",00004,0064,268,44,1
ms,91901,"VICENTINA",00004,0064,268,BRANCO,2
ms,91901,"VICENTINA",00004,0064,268,NULO,1
ms,91901,"VICENTINA",00004,0045,325,12,3
ms,91901,"VICENTINA",00004,0045,325,13,137
ms,91901,"VICENTINA",00004,0045,325,15,23
ms,91901,"VICENTINA",00004,0045,325,22,101
ms,91901,"VICENTINA",00004,0045,325,30,1
ms,91901,"VICENTINA",00004,0045,325,BRANCO,2
ms,91901,"VICENTINA",00004,0045,325,NULO,6
ms,91901,"VICENTINA",00004,0066,271,12,3
ms,91901,"VICENTINA",00004,0066,271,13,147
ms,91901,"VICENTINA",00004,0066,271,15,16
ms,91901,"VICENTINA",00004,0066,271,22,52
ms,91901,"VICENTINA",00004,0066,271,44,1
ms,91901,"VICENTINA",00004,0066,271,BRANCO,2
ms,91901,"VICENTINA",00004,0097,331,12,5
