"UF","cod_municipio","municipio","zona","secao","eleitores_aptos","candidato","quantidade_votos"
mt,89974,"SALTO DO CÉU",00052,0019,368,13,96
mt,89974,"SALTO DO CÉU",00052,0019,368,22,187
mt,89974,"SALTO DO CÉU",00052,0019,368,BRANCO,2
mt,89974,"SALTO DO CÉU",00052,0019,368,NULO,4
mt,89974,"SALTO DO CÉU",00052,0119,380,13,99
mt,89974,"SALTO DO CÉU",00052,0119,380,22,199
mt,89974,"SALTO DO CÉU",00052,0119,380,BRANCO,4
mt,89974,"SALTO DO CÉU",00052,0119,380,NULO,6
mt,89974,"SALTO DO CÉU",00052,0028,294,13,49
mt,89974,"SALTO DO CÉU",00052,0028,294,22,165
mt,89974,"SALTO DO CÉU",00052,0028,294,NULO,1
mt,89974,"SALTO DO CÉU",00052,0020,367,13,87
mt,89974,"SALTO DO CÉU",00052,0020,367,22,189
mt,89974,"SALTO DO CÉU",00052,0020,367,NULO,6
mt,89974,"SALTO DO CÉU",00052,0021,367,13,92
mt,89974,"SALTO DO CÉU",00052,0021,367,22,186
mt,89974,"SALTO DO CÉU",00052,0021,367,BRANCO,1
mt,89974,"SALTO DO CÉU",00052,0027,192,13,48
mt,89974,"SALTO DO CÉU",00052,0027,192,22,102
mt,89974,"SALTO DO CÉU",00052,0027,192,NULO,3
mt,89974,"SALTO DO CÉU",00052,0022,370,13,104
mt,89974,"SALTO DO CÉU",00052,0022,370,22,184
mt,89974,"SALTO DO CÉU",00052,0022,370,BRANCO,4
mt,89974,"SALTO DO CÉU",00052,0022,370,NULO,5
mt,89974,"SALTO DO CÉU",00052,0032,214,13,92
mt,89974,"SALTO DO CÉU",00052,0032,214,22,80
mt,89974,"SALTO DO CÉU",00052,0032,214,BRANCO,4
mt,89974,"SALTO DO CÉU",00052,0032,214,NULO,2
mt,89974,"SALTO DO CÉU",00052,0026,369,13,101
mt,89974,"SALTO DO CÉU",00052,0026,369,22,184
mt,89974,"SALTO DO CÉU",00052,0026,369,NULO,5
mt,91979,"SANTA TEREZINHA",00016,0119,104,13,30
mt,91979,"SANTA TEREZINHA",00016,0119,104,22,42
mt,91979,"SANTA TEREZINHA",00016,0119,104,NULO,1
mt,91979,"SANTA TEREZINHA",00016,0074,213,13,73
mt,91979,"SANTA TEREZINHA",00016,0074,213,22,48
mt,91979,"SANTA TEREZINHA",00016,0074,213,NULO,4
mt,91979,"SANTA TEREZINHA",00016,0076,227,13,78
mt,91979,"SANTA TEREZINHA",00016,0076,227,22,70
mt,91979,"SANTA TEREZINHA",00016,0076,227,BRANCO,1
mt,91979,"SANTA TEREZINHA",00016,0076,227,NULO,2
mt,91979,"SANTA TEREZINHA",00016,0070,212,13,88
mt,91979,"SANTA TEREZINHA",00016,0070,212,22,58
mt,91979,"SANTA TEREZINHA",00016,0070,212,BRANCO,1
mt,91979,"SANTA TEREZINHA",00016,0070,212,NULO,3
mt,91979,"SANTA TEREZINHA",00016,0086,291,13,248
mt,91979,"SANTA TEREZINHA",00016,0086,291,BRANCO,1
mt,91979,"SANTA TEREZINHA",00016,0086,291,NULO,3
mt,91979,"SANTA TEREZINHA",00016,0084,131,13,39
mt,91979,"SANTA TEREZINHA",00016,0084,131,22,32
mt,91979,"SANTA TEREZINHA",00016,0084,131,BRANCO,3
mt,91979,"SANTA TEREZINHA",00016,0084,131,NULO,1
mt,91979,"SANTA TEREZINHA",00016,0077,228,13,64
mt,91979,"SANTA TEREZINHA",00016,0077,228,22,71
mt,91979,"SANTA TEREZINHA",00016,0077,228,NULO,4
mt,91979,"SANTA TEREZINHA",00016,0075,211,13,79
mt,91979,"SANTA TEREZINHA",00016,0075,211,22,61
mt,91979,"SANTA TEREZINHA",00016,0075,211,NULO,5
mt,91979,"SANTA TEREZINHA",00016,0113,317,13,100
mt,91979,"SANTA TEREZINHA",00016,0113,317,22,127
mt,91979,"SANTA TEREZINHA",00016,0113,317,BRANCO,2
mt,91979,"SANTA TEREZINHA",00016,0113,317,NULO,3
mt,91979,"SANTA TEREZINHA",00016,0069,214,13,81
mt,91979,"SANTA TEREZINHA",00016,0069,214,22,55
mt,91979,"SANTA TEREZINHA",00016,0069,214,NULO,4
mt,91979,"SANTA TEREZINHA",00016,0087,249,13,59
mt,91979,"SANTA TEREZINHA",00016,0087,249,22,118
mt,91979,"SANTA TEREZINHA",00016,0087,249,BRANCO,1
mt,91979,"SANTA TEREZINHA",00016,0087,249,NULO,1
mt,91979,"SANTA TEREZINHA",00016,0079,225,13,86
mt,91979,"SANTA TEREZINHA",00016,0079,225,22,52
mt,91979,"SANTA TEREZINHA",00016,0079,225,BRANCO,3
mt,91979,"SANTA TEREZINHA",00016,0079,225,NULO,2
mt,91979,"SANTA TEREZINHA",00016,0073,208,13,83
mt,91979,"SANTA TEREZINHA",00016,0073,208,22,55
mt,91979,"SANTA TEREZINHA",00016,0073,208,BRANCO,1
mt,91979,"SANTA TEREZINHA",00016,0073,208,NULO,6
mt,91979,"SANTA TEREZINHA",00016,0078,227,13,81
mt,91979,"SANTA TEREZINHA",00016,0078,227,22,61
mt,91979,"SANTA TEREZINHA",00016,0078,227,BRANCO,1
mt,91979,"SANTA TEREZINHA",00016,0078,227,NULO,1
mt,91979,"SANTA TEREZINHA",00016,0082,229,13,87
mt,91979,"SANTA TEREZINHA",00016,0082,229,22,61
mt,91979,"SANTA TEREZINHA",00016,0082,229,NULO,4
mt,91979,"SANTA TEREZINHA",00016,0083,228,13,82
mt,91979,"SANTA TEREZINHA",00016,0083,228,22,72
mt,91979,"SANTA TEREZINHA",00016,0083,228,BRANCO,2
mt,91979,"SANTA TEREZINHA",00016,0083,228,NULO,3
mt,91979,"SANTA TEREZINHA",00016,0111,252,13,45
mt,91979,"SANTA TEREZINHA",00016,0111,252,22,137
mt,91979,"SANTA TEREZINHA",00016,0111,252,BRANCO,1
mt,91979,"SANTA TEREZINHA",00016,0111,252,NULO,3
mt,91979,"SANTA TEREZINHA",00016,0080,229,13,88
mt,91979,"SANTA TEREZINHA",00016,0080,229,22,71
mt,91979,"SANTA TEREZINHA",00016,0080,229,NULO,2
mt,91979,"SANTA TEREZINHA",00016,0081,229,13,106
mt,91979,"SANTA TEREZINHA",00016,0081,229,22,57
mt,91979,"SANTA TEREZINHA",00016,0081,229,BRANCO,1
mt,91979,"SANTA TEREZINHA",00016,0081,229,NULO,3
mt,91979,"SANTA TEREZINHA",00016,0071,211,13,68
