"UF","cod_municipio","municipio","zona","secao","eleitores_aptos","candidato","quantidade_votos"
mt,89974,"SALTO DO CÉU",00052,0019,368,12,5
mt,89974,"SALTO DO CÉU",00052,0019,368,13,97
mt,89974,"SALTO DO CÉU",00052,0019,368,15,5
mt,89974,"SALTO DO CÉU",00052,0019,368,22,172
mt,89974,"SALTO DO CÉU",00052,0019,368,BRANCO,1
mt,89974,"SALTO DO CÉU",00052,0019,368,NULO,7
mt,89974,"SALTO DO CÉU",00052,0119,380,12,5
mt,89974,"SALTO DO CÉU",00052,0119,380,13,93
mt,89974,"SALTO DO CÉU",00052,0119,380,15,12
mt,89974,"SALTO DO CÉU",00052,0119,380,22,181
mt,89974,"SALTO DO CÉU",00052,0119,380,44,5
mt,89974,"SALTO DO CÉU",00052,0119,380,BRANCO,3
mt,89974,"SALTO DO CÉU",00052,0119,380,NULO,8
mt,89974,"SALTO DO CÉU",00052,0028,294,13,50
mt,89974,"SALTO DO CÉU",00052,0028,294,15,6
mt,89974,"SALTO DO CÉU",00052,0028,294,22,150
mt,89974,"SALTO DO CÉU",00052,0028,294,30,1
mt,89974,"SALTO DO CÉU",00052,0028,294,44,2
mt,89974,"SALTO DO CÉU",00052,0028,294,BRANCO,2
mt,89974,"SALTO DO CÉU",00052,0028,294,NULO,2
mt,89974,"SALTO DO CÉU",00052,0020,371,12,4
mt,89974,"SALTO DO CÉU",00052,0020,371,13,78
mt,89974,"SALTO DO CÉU",00052,0020,371,15,9
mt,89974,"SALTO DO CÉU",00052,0020,371,22,186
mt,89974,"SALTO DO CÉU",00052,0020,371,44,1
mt,89974,"SALTO DO CÉU",00052,0020,371,BRANCO,1
mt,89974,"SALTO DO CÉU",00052,0020,371,NULO,7
mt,89974,"SALTO DO CÉU",00052,0021,367,13,93
mt,89974,"SALTO DO CÉU",00052,0021,367,15,5
mt,89974,"SALTO DO CÉU",00052,0021,367,22,170
mt,89974,"SALTO DO CÉU",00052,0021,367,27,1
mt,89974,"SALTO DO CÉU",00052,0021,367,44,2
mt,89974,"SALTO DO CÉU",00052,0021,367,BRANCO,4
mt,89974,"SALTO DO CÉU",00052,0021,367,NULO,1
mt,89974,"SALTO DO CÉU",00052,0027,192,12,3
mt,89974,"SALTO DO CÉU",00052,0027,192,13,46
mt,89974,"SALTO DO CÉU",00052,0027,192,14,1
mt,89974,"SALTO DO CÉU",00052,0027,192,15,4
mt,89974,"SALTO DO CÉU",00052,0027,192,22,88
mt,89974,"SALTO DO CÉU",00052,0027,192,30,1
mt,89974,"SALTO DO CÉU",00052,0027,192,BRANCO,3
mt,89974,"SALTO DO CÉU",00052,0027,192,NULO,6
mt,89974,"SALTO DO CÉU",00052,0022,370,12,4
mt,89974,"SALTO DO CÉU",00052,0022,370,13,100
mt,89974,"SALTO DO CÉU",00052,0022,370,15,12
mt,89974,"SALTO DO CÉU",00052,0022,370,22,163
mt,89974,"SALTO DO CÉU",00052,0022,370,30,2
mt,89974,"SALTO DO CÉU",00052,0022,370,44,1
mt,89974,"SALTO DO CÉU",00052,0022,370,BRANCO,4
mt,89974,"SALTO DO CÉU",00052,0022,370,NULO,2
mt,89974,"SALTO DO CÉU",00052,0032,214,12,3
mt,89974,"SALTO DO CÉU",00052,0032,214,13,91
mt,89974,"SALTO DO CÉU",00052,0032,214,15,6
mt,89974,"SALTO DO CÉU",00052,0032,214,22,72
mt,89974,"SALTO DO CÉU",00052,0032,214,44,2
mt,89974,"SALTO DO CÉU",00052,0032,214,BRANCO,2
mt,89974,"SALTO DO CÉU",00052,0032,214,NULO,2
mt,89974,"SALTO DO CÉU",00052,0026,369,12,4
mt,89974,"SALTO DO CÉU",00052,0026,369,13,89
mt,89974,"SALTO DO CÉU",00052,0026,369,15,7
mt,89974,"SALTO DO CÉU",00052,0026,369,22,187
mt,89974,"SALTO DO CÉU",00052,0026,369,30,3
mt,89974,"SALTO DO CÉU",00052,0026,369,44,1
mt,89974,"SALTO DO CÉU",00052,0026,369,BRANCO,1
mt,89974,"SALTO DO CÉU",00052,0026,369,NULO,2
mt,91979,"SANTA TEREZINHA",00016,0119,104,12,2
mt,91979,"SANTA TEREZINHA",00016,0119,104,13,29
mt,91979,"SANTA TEREZINHA",00016,0119,104,14,1
mt,91979,"SANTA TEREZINHA",00016,0119,104,15,2
mt,91979,"SANTA TEREZINHA",00016,0119,104,22,35
mt,91979,"SANTA TEREZINHA",00016,0119,104,BRANCO,1
mt,91979,"SANTA TEREZINHA",00016,0074,213,12,2
mt,91979,"SANTA TEREZINHA",00016,0074,213,13,67
mt,91979,"SANTA TEREZINHA",00016,0074,213,15,3
mt,91979,"SANTA TEREZINHA",00016,0074,213,22,49
mt,91979,"SANTA TEREZINHA",00016,0074,213,44,1
mt,91979,"SANTA TEREZINHA",00016,0074,213,NULO,4
mt,91979,"SANTA TEREZINHA",00016,0076,227,12,1
mt,91979,"SANTA TEREZINHA",00016,0076,227,13,72
mt,91979,"SANTA TEREZINHA",00016,0076,227,15,2
mt,91979,"SANTA TEREZINHA",00016,0076,227,22,63
mt,91979,"SANTA TEREZINHA",00016,0076,227,44,1
mt,91979,"SANTA TEREZINHA",00016,0076,227,BRANCO,1
mt,91979,"SANTA TEREZINHA",00016,0076,227,NULO,16
mt,91979,"SANTA TEREZINHA",00016,0070,212,12,6
mt,91979,"SANTA TEREZINHA",00016,0070,212,13,81
mt,91979,"SANTA TEREZINHA",00016,0070,212,15,2
mt,91979,"SANTA TEREZINHA",00016,0070,212,22,58
mt,91979,"SANTA TEREZINHA",00016,0070,212,44,1
mt,91979,"SANTA TEREZINHA",00016,0070,212,BRANCO,1
mt,91979,"SANTA TEREZINHA",00016,0070,212,NULO,4
mt,91979,"SANTA TEREZINHA",00016,0086,291,13,246
mt,91979,"SANTA TEREZINHA",00016,0086,291,44,1
mt,91979,"SANTA TEREZINHA",00016,0086,291,NULO,6
mt,91979,"SANTA TEREZINHA",00016,0084,131,12,2
mt,91979,"SANTA TEREZINHA",00016,0084,131,13,47
mt,91979,"SANTA TEREZINHA",00016,0084,131,15,4
mt,91979,"SANTA TEREZINHA",00016,0084,131,22,32
mt,91979,"SANTA TEREZINHA",00016,0084,131,30,1
mt,91979,"SANTA TEREZINHA",00016,0084,131,NULO,3
mt,91979,"SANTA TEREZINHA",00016,0077,228,12,1
mt,91979,"SANTA TEREZINHA",00016,0077,228,13,61
mt,91979,"SANTA TEREZINHA",00016,0077,228,15,5
mt,91979,"SANTA TEREZINHA",00016,0077,228,22,67
mt,91979,"SANTA TEREZINHA",00016,0077,228,44,2
mt,91979,"SANTA TEREZINHA",00016,0077,228,BRANCO,1
mt,91979,"SANTA TEREZINHA",00016,0077,228,NULO,11
mt,91979,"SANTA TEREZINHA",00016,0075,211,12,7
mt,91979,"SANTA TEREZINHA",00016,0075,211,13,89
mt,91979,"SANTA TEREZINHA",00016,0075,211,15,2
mt,91979,"SANTA TEREZINHA",00016,0075,211,22,50
mt,91979,"SANTA TEREZINHA",00016,0075,211,44,1
mt,91979,"SANTA TEREZINHA",00016,0075,211,BRANCO,1
mt,91979,"SANTA TEREZINHA",00016,0075,211,NULO,1
