"UF","cod_municipio","municipio","zona","secao","eleitores_aptos","candidato","quantidade_votos"
pa,4936,"MOJU",00037,0019,313,13,150
pa,4936,"MOJU",00037,0019,313,22,82
pa,4936,"MOJU",00037,0019,313,BRANCO,5
pa,4936,"MOJU",00037,0019,313,NULO,6
pa,4936,"MOJU",00037,0089,268,13,154
pa,4936,"MOJU",00037,0089,268,22,54
pa,4936,"MOJU",00037,0089,268,NULO,3
pa,4936,"MOJU",00037,0283,287,13,191
pa,4936,"MOJU",00037,0283,287,22,27
pa,4936,"MOJU",00037,0283,287,BRANCO,16
pa,4936,"MOJU",00037,0283,287,NULO,12
pa,4936,"MOJU",00037,0271,306,13,151
pa,4936,"MOJU",00037,0271,306,22,83
pa,4936,"MOJU",00037,0271,306,BRANCO,4
pa,4936,"MOJU",00037,0271,306,NULO,1
pa,4936,"MOJU",00037,0050,364,13,185
pa,4936,"MOJU",00037,0050,364,22,96
pa,4936,"MOJU",00037,0050,364,BRANCO,3
pa,4936,"MOJU",00037,0155,329,13,205
pa,4936,"MOJU",00037,0155,329,22,39
pa,4936,"MOJU",00037,0155,329,NULO,5
pa,4936,"MOJU",00037,0268,285,13,164
pa,4936,"MOJU",00037,0268,285,22,66
pa,4936,"MOJU",00037,0268,285,BRANCO,2
pa,4936,"MOJU",00037,0268,285,NULO,6
pa,4936,"MOJU",00037,0193,364,13,230
pa,4936,"MOJU",00037,0193,364,22,37
pa,4936,"MOJU",00037,0193,364,BRANCO,2
pa,4936,"MOJU",00037,0193,364,NULO,6
pa,4936,"MOJU",00037,0062,438,13,221
pa,4936,"MOJU",00037,0062,438,22,76
pa,4936,"MOJU",00037,0062,438,BRANCO,4
pa,4936,"MOJU",00037,0062,438,NULO,4
pa,4936,"MOJU",00037,0275,333,13,232
pa,4936,"MOJU",00037,0275,333,22,41
pa,4936,"MOJU",00037,0275,333,NULO,1
pa,4936,"MOJU",00037,0282,322,13,181
pa,4936,"MOJU",00037,0282,322,22,83
pa,4936,"MOJU",00037,0282,322,BRANCO,3
pa,4936,"MOJU",00037,0282,322,NULO,3
pa,4936,"MOJU",00037,0173,270,13,167
pa,4936,"MOJU",00037,0173,270,22,60
pa,4936,"MOJU",00037,0173,270,BRANCO,1
pa,4936,"MOJU",00037,0173,270,NULO,1
pa,4936,"MOJU",00037,0114,81,13,52
pa,4936,"MOJU",00037,0114,81,22,1
pa,4936,"MOJU",00037,0114,81,NULO,1
pa,4936,"MOJU",00037,0053,297,13,141
pa,4936,"MOJU",00037,0053,297,22,88
pa,4936,"MOJU",00037,0053,297,BRANCO,2
pa,4936,"MOJU",00037,0053,297,NULO,5
pa,4936,"MOJU",00037,0025,386,13,205
pa,4936,"MOJU",00037,0025,386,22,48
pa,4936,"MOJU",00037,0025,386,BRANCO,3
pa,4936,"MOJU",00037,0025,386,NULO,1
pa,4936,"MOJU",00037,0059,395,13,213
pa,4936,"MOJU",00037,0059,395,22,91
pa,4936,"MOJU",00037,0059,395,BRANCO,2
pa,4936,"MOJU",00037,0059,395,NULO,4
pa,4936,"MOJU",00037,0257,385,13,188
pa,4936,"MOJU",00037,0257,385,22,108
pa,4936,"MOJU",00037,0257,385,BRANCO,4
pa,4936,"MOJU",00037,0257,385,NULO,3
pa,4936,"MOJU",00037,0119,199,13,77
pa,4936,"MOJU",00037,0119,199,22,50
pa,4936,"MOJU",00037,0119,199,NULO,1
pa,4936,"MOJU",00037,0297,123,13,65
pa,4936,"MOJU",00037,0297,123,22,27
pa,4936,"MOJU",00037,0297,123,NULO,1
pa,4936,"MOJU",00037,0001,238,13,121
pa,4936,"MOJU",00037,0001,238,22,51
pa,4936,"MOJU",00037,0001,238,BRANCO,1
pa,4936,"MOJU",00037,0001,238,NULO,1
pa,4936,"MOJU",00037,0185,219,13,178
pa,4936,"MOJU",00037,0185,219,22,18
pa,4936,"MOJU",00037,0185,219,BRANCO,1
pa,4936,"MOJU",00037,0038,319,13,204
pa,4936,"MOJU",00037,0038,319,22,47
pa,4936,"MOJU",00037,0038,319,BRANCO,2
pa,4936,"MOJU",00037,0038,319,NULO,3
pa,4936,"MOJU",00037,0252,222,13,114
pa,4936,"MOJU",00037,0252,222,22,52
pa,4936,"MOJU",00037,0252,222,BRANCO,2
pa,4936,"MOJU",00037,0252,222,NULO,2
pa,4936,"MOJU",00037,0091,287,13,152
pa,4936,"MOJU",00037,0091,287,22,77
pa,4936,"MOJU",00037,0091,287,BRANCO,1
pa,4936,"MOJU",00037,0091,287,NULO,1
pa,4936,"MOJU",00037,0028,326,13,156
pa,4936,"MOJU",00037,0028,326,22,77
pa,4936,"MOJU",00037,0028,326,BRANCO,3
pa,4936,"MOJU",00037,0028,326,NULO,2
pa,4936,"MOJU",00037,0007,296,13,156
pa,4936,"MOJU",00037,0007,296,22,63
pa,4936,"MOJU",00037,0007,296,BRANCO,1
pa,4936,"MOJU",00037,0007,296,NULO,1
pa,4936,"MOJU",00037,0088,415,13,215
pa,4936,"MOJU",00037,0088,415,22,67
pa,4936,"MOJU",00037,0088,415,BRANCO,2
pa,4936,"MOJU",00037,0088,415,NULO,6
pa,4936,"MOJU",00037,0289,412,13,184
pa,4936,"MOJU",00037,0289,412,22,140
pa,4936,"MOJU",00037,0289,412,BRANCO,4
pa,4936,"MOJU",00037,0289,412,NULO,4
pa,4936,"MOJU",00037,0041,158,13,25
pa,4936,"MOJU",00037,0041,158,22,22
pa,4936,"MOJU",00037,0041,158,NULO,2
pa,4936,"MOJU",00037,0121,284,13,134
pa,4936,"MOJU",00037,0121,284,22,95
pa,4936,"MOJU",00037,0121,284,NULO,3
pa,4936,"MOJU",00037,0251,338,13,208
pa,4936,"MOJU",00037,0251,338,22,74
pa,4936,"MOJU",00037,0251,338,BRANCO,3
pa,4936,"MOJU",00037,0251,338,NULO,3
