"UF","cod_municipio","municipio","zona","secao","eleitores_aptos","candidato","quantidade_votos"
pb,22357,"TEIXEIRA",00030,0089,306,40,164
pb,22357,"TEIXEIRA",00030,0089,306,45,72
pb,22357,"TEIXEIRA",00030,0089,306,BRANCO,7
pb,22357,"TEIXEIRA",00030,0089,306,NULO,17
pb,22357,"TEIXEIRA",00030,0091,307,40,152
pb,22357,"TEIXEIRA",00030,0091,307,45,84
pb,22357,"TEIXEIRA",00030,0091,307,BRANCO,9
pb,22357,"TEIXEIRA",00030,0091,307,NULO,16
pb,22357,"TEIXEIRA",00030,0101,308,40,147
pb,22357,"TEIXEIRA",00030,0101,308,45,66
pb,22357,"TEIXEIRA",00030,0101,308,BRANCO,8
pb,22357,"TEIXEIRA",00030,0101,308,NULO,20
pb,22357,"TEIXEIRA",00030,0088,304,40,151
pb,22357,"TEIXEIRA",00030,0088,304,45,77
pb,22357,"TEIXEIRA",00030,0088,304,BRANCO,8
pb,22357,"TEIXEIRA",00030,0088,304,NULO,13
pb,22357,"TEIXEIRA",00030,0130,293,40,138
pb,22357,"TEIXEIRA",00030,0130,293,45,79
pb,22357,"TEIXEIRA",00030,0130,293,BRANCO,11
pb,22357,"TEIXEIRA",00030,0130,293,NULO,16
pb,22357,"TEIXEIRA",00030,0209,322,40,141
pb,22357,"TEIXEIRA",00030,0209,322,45,73
pb,22357,"TEIXEIRA",00030,0209,322,BRANCO,9
pb,22357,"TEIXEIRA",00030,0209,322,NULO,7
pb,22357,"TEIXEIRA",00030,0099,307,40,156
pb,22357,"TEIXEIRA",00030,0099,307,45,66
pb,22357,"TEIXEIRA",00030,0099,307,BRANCO,11
pb,22357,"TEIXEIRA",00030,0099,307,NULO,13
pb,22357,"TEIXEIRA",00030,0205,327,40,149
pb,22357,"TEIXEIRA",00030,0205,327,45,85
pb,22357,"TEIXEIRA",00030,0205,327,BRANCO,6
pb,22357,"TEIXEIRA",00030,0205,327,NULO,21
pb,22357,"TEIXEIRA",00030,0086,306,40,159
pb,22357,"TEIXEIRA",00030,0086,306,45,69
pb,22357,"TEIXEIRA",00030,0086,306,BRANCO,5
pb,22357,"TEIXEIRA",00030,0086,306,NULO,20
pb,22357,"TEIXEIRA",00030,0096,302,40,140
pb,22357,"TEIXEIRA",00030,0096,302,45,79
pb,22357,"TEIXEIRA",00030,0096,302,BRANCO,7
pb,22357,"TEIXEIRA",00030,0096,302,NULO,19
pb,22357,"TEIXEIRA",00030,0109,307,40,148
pb,22357,"TEIXEIRA",00030,0109,307,45,70
pb,22357,"TEIXEIRA",00030,0109,307,BRANCO,8
pb,22357,"TEIXEIRA",00030,0109,307,NULO,12
pb,22357,"TEIXEIRA",00030,0211,174,40,77
pb,22357,"TEIXEIRA",00030,0211,174,45,42
pb,22357,"TEIXEIRA",00030,0211,174,BRANCO,5
pb,22357,"TEIXEIRA",00030,0211,174,NULO,10
pb,22357,"TEIXEIRA",00030,0084,294,40,147
pb,22357,"TEIXEIRA",00030,0084,294,45,79
