"UF","cod_municipio","municipio","zona","secao","eleitores_aptos","candidato","quantidade_votos"
pb,22357,"TEIXEIRA",00030,0089,305,12,6
pb,22357,"TEIXEIRA",00030,0089,305,13,186
pb,22357,"TEIXEIRA",00030,0089,305,15,5
pb,22357,"TEIXEIRA",00030,0089,305,22,41
pb,22357,"TEIXEIRA",00030,0089,305,30,1
pb,22357,"TEIXEIRA",00030,0089,305,BRANCO,5
pb,22357,"TEIXEIRA",00030,0089,305,NULO,12
pb,22357,"TEIXEIRA",00030,0091,307,12,7
pb,22357,"TEIXEIRA",00030,0091,307,13,204
pb,22357,"TEIXEIRA",00030,0091,307,15,2
pb,22357,"TEIXEIRA",00030,0091,307,22,38
pb,22357,"TEIXEIRA",00030,0091,307,44,1
pb,22357,"TEIXEIRA",00030,0091,307,BRANCO,8
pb,22357,"TEIXEIRA",00030,0091,307,NULO,8
pb,22357,"TEIXEIRA",00030,0101,308,12,2
pb,22357,"TEIXEIRA",00030,0101,308,13,191
pb,22357,"TEIXEIRA",00030,0101,308,22,36
pb,22357,"TEIXEIRA",00030,0101,308,BRANCO,3
pb,22357,"TEIXEIRA",00030,0101,308,NULO,5
pb,22357,"TEIXEIRA",00030,0088,303,12,8
pb,22357,"TEIXEIRA",00030,0088,303,13,187
pb,22357,"TEIXEIRA",00030,0088,303,15,10
pb,22357,"TEIXEIRA",00030,0088,303,22,34
pb,22357,"TEIXEIRA",00030,0088,303,BRANCO,4
pb,22357,"TEIXEIRA",00030,0088,303,NULO,8
pb,22357,"TEIXEIRA",00030,0130,293,12,4
pb,22357,"TEIXEIRA",00030,0130,293,13,187
pb,22357,"TEIXEIRA",00030,0130,293,15,2
pb,22357,"TEIXEIRA",00030,0130,293,22,38
pb,22357,"TEIXEIRA",00030,0130,293,BRANCO,6
pb,22357,"TEIXEIRA",00030,0130,293,NULO,9
pb,22357,"TEIXEIRA",00030,0209,322,12,8
pb,22357,"TEIXEIRA",00030,0209,322,13,174
pb,22357,"TEIXEIRA",00030,0209,322,15,1
pb,22357,"TEIXEIRA",00030,0209,322,22,38
pb,22357,"TEIXEIRA",00030,0209,322,BRANCO,3
pb,22357,"TEIXEIRA",00030,0209,322,NULO,3
pb,22357,"TEIXEIRA",00030,0099,307,12,3
pb,22357,"TEIXEIRA",00030,0099,307,13,187
pb,22357,"TEIXEIRA",00030,0099,307,15,1
pb,22357,"TEIXEIRA",00030,0099,307,22,47
pb,22357,"TEIXEIRA",00030,0099,307,80,1
pb,22357,"TEIXEIRA",00030,0099,307,BRANCO,5
pb,22357,"TEIXEIRA",00030,0099,307,NULO,5
pb,22357,"TEIXEIRA",00030,0205,327,12,9
pb,22357,"TEIXEIRA",00030,0205,327,13,185
pb,22357,"TEIXEIRA",00030,0205,327,15,5
pb,22357,"TEIXEIRA",00030,0205,327,22,43
pb,22357,"TEIXEIRA",00030,0205,327,30,1
pb,22357,"TEIXEIRA",00030,0205,327,BRANCO,1
