"UF","cod_municipio","municipio","zona","secao","eleitores_aptos","candidato","quantidade_votos"
pe,23248,"MANARI",00063,0062,394,45,103
pe,23248,"MANARI",00063,0062,394,77,148
pe,23248,"MANARI",00063,0062,394,BRANCO,3
pe,23248,"MANARI",00063,0062,394,NULO,14
pe,23248,"MANARI",00063,0126,356,45,109
pe,23248,"MANARI",00063,0126,356,77,154
pe,23248,"MANARI",00063,0126,356,BRANCO,2
pe,23248,"MANARI",00063,0126,356,NULO,10
pe,23248,"MANARI",00063,0114,397,45,142
pe,23248,"MANARI",00063,0114,397,77,161
pe,23248,"MANARI",00063,0114,397,BRANCO,5
pe,23248,"MANARI",00063,0114,397,NULO,8
pe,23248,"MANARI",00063,0059,236,45,67
pe,23248,"MANARI",00063,0059,236,77,101
pe,23248,"MANARI",00063,0059,236,BRANCO,2
pe,23248,"MANARI",00063,0059,236,NULO,8
pe,23248,"MANARI",00063,0091,374,45,112
pe,23248,"MANARI",00063,0091,374,77,168
pe,23248,"MANARI",00063,0091,374,BRANCO,3
pe,23248,"MANARI",00063,0091,374,NULO,13
pe,23248,"MANARI",00063,0068,392,45,110
pe,23248,"MANARI",00063,0068,392,77,172
pe,23248,"MANARI",00063,0068,392,BRANCO,6
pe,23248,"MANARI",00063,0068,392,NULO,11
pe,23248,"MANARI",00063,0056,236,45,58
pe,23248,"MANARI",00063,0056,236,77,86
pe,23248,"MANARI",00063,0056,236,BRANCO,2
pe,23248,"MANARI",00063,0056,236,NULO,10
pe,23248,"MANARI",00063,0139,189,45,74
pe,23248,"MANARI",00063,0139,189,77,89
pe,23248,"MANARI",00063,0139,189,BRANCO,6
pe,23248,"MANARI",00063,0139,189,NULO,6
pe,23248,"MANARI",00063,0096,260,45,66
pe,23248,"MANARI",00063,0096,260,77,116
pe,23248,"MANARI",00063,0096,260,BRANCO,5
pe,23248,"MANARI",00063,0096,260,NULO,2
pe,23248,"MANARI",00063,0109,394,45,103
pe,23248,"MANARI",00063,0109,394,77,156
pe,23248,"MANARI",00063,0109,394,BRANCO,3
pe,23248,"MANARI",00063,0109,394,NULO,17
pe,23248,"MANARI",00063,0127,142,45,34
pe,23248,"MANARI",00063,0127,142,77,73
pe,23248,"MANARI",00063,0127,142,BRANCO,1
pe,23248,"MANARI",00063,0127,142,NULO,6
pe,23248,"MANARI",00063,0060,235,45,55
pe,23248,"MANARI",00063,0060,235,77,98
pe,23248,"MANARI",00063,0060,235,BRANCO,1
pe,23248,"MANARI",00063,0060,235,NULO,14
pe,23248,"MANARI",00063,0063,394,45,117
pe,23248,"MANARI",00063,0063,394,77,154
pe,23248,"MANARI",00063,0063,394,BRANCO,1
pe,23248,"MANARI",00063,0063,394,NULO,16
pe,23248,"MANARI",00063,0110,377,45,131
pe,23248,"MANARI",00063,0110,377,77,188
pe,23248,"MANARI",00063,0110,377,BRANCO,1
pe,23248,"MANARI",00063,0110,377,NULO,6
pe,23248,"MANARI",00063,0067,235,45,52
pe,23248,"MANARI",00063,0067,235,77,107
pe,23248,"MANARI",00063,0067,235,BRANCO,3
pe,23248,"MANARI",00063,0067,235,NULO,14
pe,23248,"MANARI",00063,0123,396,45,125
pe,23248,"MANARI",00063,0123,396,77,161
pe,23248,"MANARI",00063,0123,396,BRANCO,6
pe,23248,"MANARI",00063,0123,396,NULO,13
pe,23248,"MANARI",00063,0051,239,45,59
pe,23248,"MANARI",00063,0051,239,77,81
pe,23248,"MANARI",00063,0051,239,BRANCO,5
pe,23248,"MANARI",00063,0051,239,NULO,14
pe,23248,"MANARI",00063,0131,365,45,141
pe,23248,"MANARI",00063,0131,365,77,57
pe,23248,"MANARI",00063,0131,365,BRANCO,2
pe,23248,"MANARI",00063,0131,365,NULO,13
pe,23248,"MANARI",00063,0133,394,45,121
pe,23248,"MANARI",00063,0133,394,77,150
pe,23248,"MANARI",00063,0133,394,BRANCO,7
pe,23248,"MANARI",00063,0133,394,NULO,11
pe,23248,"MANARI",00063,0113,372,45,112
pe,23248,"MANARI",00063,0113,372,77,94
pe,23248,"MANARI",00063,0113,372,BRANCO,2
pe,23248,"MANARI",00063,0113,372,NULO,24
pe,23248,"MANARI",00063,0098,202,45,42
pe,23248,"MANARI",00063,0098,202,77,76
pe,23248,"MANARI",00063,0098,202,BRANCO,2
pe,23248,"MANARI",00063,0098,202,NULO,5
pe,23248,"MANARI",00063,0055,234,45,53
pe,23248,"MANARI",00063,0055,234,77,96
pe,23248,"MANARI",00063,0055,234,BRANCO,3
pe,23248,"MANARI",00063,0055,234,NULO,11
pe,23248,"MANARI",00063,0125,363,45,157
pe,23248,"MANARI",00063,0125,363,77,85
pe,23248,"MANARI",00063,0125,363,BRANCO,1
pe,23248,"MANARI",00063,0125,363,NULO,13
pe,23248,"MANARI",00063,0069,394,45,124
pe,23248,"MANARI",00063,0069,394,77,134
pe,23248,"MANARI",00063,0069,394,BRANCO,7
pe,23248,"MANARI",00063,0069,394,NULO,13
pe,23248,"MANARI",00063,0094,204,45,60
pe,23248,"MANARI",00063,0094,204,77,78
pe,23248,"MANARI",00063,0094,204,BRANCO,2
pe,23248,"MANARI",00063,0094,204,NULO,5
pe,23248,"MANARI",00063,0065,234,45,54
pe,23248,"MANARI",00063,0065,234,77,101
pe,23248,"MANARI",00063,0065,234,BRANCO,5
pe,23248,"MANARI",00063,0065,234,NULO,6
pe,23248,"MANARI",00063,0092,357,45,98
pe,23248,"MANARI",00063,0092,357,77,141
pe,23248,"MANARI",00063,0092,357,BRANCO,2
pe,23248,"MANARI",00063,0092,357,NULO,11
pe,23248,"MANARI",00063,0052,239,45,62
pe,23248,"MANARI",00063,0052,239,77,99
pe,23248,"MANARI",00063,0052,239,BRANCO,1
pe,23248,"MANARI",00063,0052,239,NULO,11
pe,23248,"MANARI",00063,0128,396,45,139
pe,23248,"MANARI",00063,0128,396,77,149
pe,23248,"MANARI",00063,0128,396,BRANCO,2
pe,23248,"MANARI",00063,0128,396,NULO,10
pe,23248,"MANARI",00063,0064,397,45,118
pe,23248,"MANARI",00063,0064,397,77,166
pe,23248,"MANARI",00063,0064,397,BRANCO,4
pe,23248,"MANARI",00063,0064,397,NULO,5
pe,23248,"MANARI",00063,0106,358,45,98
pe,23248,"MANARI",00063,0106,358,77,120
pe,23248,"MANARI",00063,0106,358,BRANCO,3
pe,23248,"MANARI",00063,0106,358,NULO,4
pe,23248,"MANARI",00063,0093,371,45,105
pe,23248,"MANARI",00063,0093,371,77,157
pe,23248,"MANARI",00063,0093,371,BRANCO,3
pe,23248,"MANARI",00063,0093,371,NULO,6
pe,23248,"MANARI",00063,0111,395,45,106
pe,23248,"MANARI",00063,0111,395,77,159
pe,23248,"MANARI",00063,0111,395,BRANCO,5
pe,23248,"MANARI",00063,0111,395,NULO,12
pe,23248,"MANARI",00063,0095,372,45,109
pe,23248,"MANARI",00063,0095,372,77,146
pe,23248,"MANARI",00063,0095,372,BRANCO,3
pe,23248,"MANARI",00063,0095,372,NULO,10
pe,23248,"MANARI",00063,0135,371,45,103
pe,23248,"MANARI",00063,0135,371,77,132
pe,23248,"MANARI",00063,0135,371,NULO,7
pe,23248,"MANARI",00063,0057,239,45,66
pe,23248,"MANARI",00063,0057,239,77,96
pe,23248,"MANARI",00063,0057,239,BRANCO,2
pe,23248,"MANARI",00063,0057,239,NULO,7
pe,23248,"MANARI",00063,0132,387,45,102
pe,23248,"MANARI",00063,0132,387,77,168
pe,23248,"MANARI",00063,0132,387,BRANCO,5
pe,23248,"MANARI",00063,0132,387,NULO,8
pe,23248,"MANARI",00063,0100,371,45,115
pe,23248,"MANARI",00063,0100,371,77,159
pe,23248,"MANARI",00063,0100,371,BRANCO,4
pe,23248,"MANARI",00063,0100,371,NULO,7
pe,23248,"MANARI",00063,0058,238,45,45
pe,23248,"MANARI",00063,0058,238,77,99
pe,23248,"MANARI",00063,0058,238,BRANCO,3
pe,23248,"MANARI",00063,0058,238,NULO,17
pe,23248,"MANARI",00063,0066,239,45,70
pe,23248,"MANARI",00063,0066,239,77,101
pe,23248,"MANARI",00063,0066,239,BRANCO,4
pe,23248,"MANARI",00063,0066,239,NULO,12
pe,23248,"MANARI",00063,0061,394,45,95
pe,23248,"MANARI",00063,0061,394,77,152
pe,23248,"MANARI",00063,0061,394,BRANCO,4
pe,23248,"MANARI",00063,0061,394,NULO,21
pe,23248,"MANARI",00063,0097,203,45,51
pe,23248,"MANARI",00063,0097,203,77,85
pe,23248,"MANARI",00063,0097,203,BRANCO,1
pe,23248,"MANARI",00063,0097,203,NULO,4
pe,25518,"SANTA MARIA DA BOA VISTA",00081,0019,328,45,80
pe,25518,"SANTA MARIA DA BOA VISTA",00081,0019,328,77,144
pe,25518,"SANTA MARIA DA BOA VISTA",00081,0019,328,NULO,11
pe,25518,"SANTA MARIA DA BOA VISTA",00081,0050,283,45,63
pe,25518,"SANTA MARIA DA BOA VISTA",00081,0050,283,77,151
pe,25518,"SANTA MARIA DA BOA VISTA",00081,0050,283,BRANCO,1
pe,25518,"SANTA MARIA DA BOA VISTA",00081,0050,283,NULO,24
pe,25518,"SANTA MARIA DA BOA VISTA",00081,0155,397,45,81
pe,25518,"SANTA MARIA DA BOA VISTA",00081,0155,397,77,201
pe,25518,"SANTA MARIA DA BOA VISTA",00081,0155,397,BRANCO,3
pe,25518,"SANTA MARIA DA BOA VISTA",00081,0155,397,NULO,16
pe,25518,"SANTA MARIA DA BOA VISTA",00081,0062,291,45,32
pe,25518,"SANTA MARIA DA BOA VISTA",00081,0062,291,77,198
pe,25518,"SANTA MARIA DA BOA VISTA",00081,0062,291,BRANCO,5
pe,25518,"SANTA MARIA DA BOA VISTA",00081,0062,291,NULO,7
pe,25518,"SANTA MARIA DA BOA VISTA",00081,0114,243,45,25
pe,25518,"SANTA MARIA DA BOA VISTA",00081,0114,243,77,171
pe,25518,"SANTA MARIA DA BOA VISTA",00081,0114,243,NULO,12
pe,25518,"SANTA MARIA DA BOA VISTA",00081,0059,304,45,22
pe,25518,"SANTA MARIA DA BOA VISTA",00081,0059,304,77,188
pe,25518,"SANTA MARIA DA BOA VISTA",00081,0059,304,BRANCO,3
