"UF","cod_municipio","municipio","zona","secao","eleitores_aptos","candidato","quantidade_votos"
pi,12114,"SÃO RAIMUNDO NONATO",00013,0271,186,13,150
pi,12114,"SÃO RAIMUNDO NONATO",00013,0271,186,22,6
pi,12114,"SÃO RAIMUNDO NONATO",00013,0271,186,BRANCO,1
pi,12114,"SÃO RAIMUNDO NONATO",00013,0271,186,NULO,4
pi,12114,"SÃO RAIMUNDO NONATO",00013,0062,253,13,203
pi,12114,"SÃO RAIMUNDO NONATO",00013,0062,253,22,20
pi,12114,"SÃO RAIMUNDO NONATO",00013,0062,253,BRANCO,2
pi,12114,"SÃO RAIMUNDO NONATO",00013,0062,253,NULO,3
pi,12114,"SÃO RAIMUNDO NONATO",00013,0275,253,13,172
pi,12114,"SÃO RAIMUNDO NONATO",00013,0275,253,22,39
pi,12114,"SÃO RAIMUNDO NONATO",00013,0275,253,BRANCO,2
pi,12114,"SÃO RAIMUNDO NONATO",00013,0275,253,NULO,2
pi,12114,"SÃO RAIMUNDO NONATO",00013,0282,215,13,161
pi,12114,"SÃO RAIMUNDO NONATO",00013,0282,215,22,14
pi,12114,"SÃO RAIMUNDO NONATO",00013,0282,215,NULO,1
pi,12114,"SÃO RAIMUNDO NONATO",00013,0126,270,13,200
pi,12114,"SÃO RAIMUNDO NONATO",00013,0126,270,22,32
pi,12114,"SÃO RAIMUNDO NONATO",00013,0126,270,BRANCO,2
pi,12114,"SÃO RAIMUNDO NONATO",00013,0126,270,NULO,4
pi,12114,"SÃO RAIMUNDO NONATO",00013,0053,283,13,189
pi,12114,"SÃO RAIMUNDO NONATO",00013,0053,283,22,48
pi,12114,"SÃO RAIMUNDO NONATO",00013,0053,283,BRANCO,1
pi,12114,"SÃO RAIMUNDO NONATO",00013,0053,283,NULO,4
pi,12114,"SÃO RAIMUNDO NONATO",00013,0059,291,13,196
pi,12114,"SÃO RAIMUNDO NONATO",00013,0059,291,22,58
pi,12114,"SÃO RAIMUNDO NONATO",00013,0059,291,BRANCO,1
pi,12114,"SÃO RAIMUNDO NONATO",00013,0059,291,NULO,3
pi,12114,"SÃO RAIMUNDO NONATO",00013,0257,266,13,185
pi,12114,"SÃO RAIMUNDO NONATO",00013,0257,266,22,27
pi,12114,"SÃO RAIMUNDO NONATO",00013,0257,266,BRANCO,1
pi,12114,"SÃO RAIMUNDO NONATO",00013,0257,266,NULO,2
pi,12114,"SÃO RAIMUNDO NONATO",00013,0267,307,13,227
pi,12114,"SÃO RAIMUNDO NONATO",00013,0267,307,22,32
pi,12114,"SÃO RAIMUNDO NONATO",00013,0267,307,BRANCO,1
pi,12114,"SÃO RAIMUNDO NONATO",00013,0267,307,NULO,3
pi,12114,"SÃO RAIMUNDO NONATO",00013,0038,259,13,153
pi,12114,"SÃO RAIMUNDO NONATO",00013,0038,259,22,40
pi,12114,"SÃO RAIMUNDO NONATO",00013,0038,259,BRANCO,3
pi,12114,"SÃO RAIMUNDO NONATO",00013,0038,259,NULO,8
pi,12114,"SÃO RAIMUNDO NONATO",00013,0130,271,13,184
pi,12114,"SÃO RAIMUNDO NONATO",00013,0130,271,22,46
pi,12114,"SÃO RAIMUNDO NONATO",00013,0130,271,BRANCO,1
pi,12114,"SÃO RAIMUNDO NONATO",00013,0130,271,NULO,4
pi,12114,"SÃO RAIMUNDO NONATO",00013,0041,265,13,167
pi,12114,"SÃO RAIMUNDO NONATO",00013,0041,265,22,51
pi,12114,"SÃO RAIMUNDO NONATO",00013,0041,265,BRANCO,4
pi,12114,"SÃO RAIMUNDO NONATO",00013,0041,265,NULO,2
pi,12114,"SÃO RAIMUNDO NONATO",00013,0251,282,13,208
pi,12114,"SÃO RAIMUNDO NONATO",00013,0251,282,22,32
pi,12114,"SÃO RAIMUNDO NONATO",00013,0251,282,NULO,2
pi,12114,"SÃO RAIMUNDO NONATO",00013,0056,277,13,184
pi,12114,"SÃO RAIMUNDO NONATO",00013,0056,277,22,44
pi,12114,"SÃO RAIMUNDO NONATO",00013,0056,277,BRANCO,3
pi,12114,"SÃO RAIMUNDO NONATO",00013,0056,277,NULO,6
pi,12114,"SÃO RAIMUNDO NONATO",00013,0182,388,13,295
pi,12114,"SÃO RAIMUNDO NONATO",00013,0182,388,22,23
pi,12114,"SÃO RAIMUNDO NONATO",00013,0182,388,BRANCO,1
pi,12114,"SÃO RAIMUNDO NONATO",00013,0182,388,NULO,7
pi,12114,"SÃO RAIMUNDO NONATO",00013,0047,291,13,204
pi,12114,"SÃO RAIMUNDO NONATO",00013,0047,291,22,52
pi,12114,"SÃO RAIMUNDO NONATO",00013,0047,291,BRANCO,3
pi,12114,"SÃO RAIMUNDO NONATO",00013,0047,291,NULO,2
pi,12114,"SÃO RAIMUNDO NONATO",00013,0227,231,13,207
pi,12114,"SÃO RAIMUNDO NONATO",00013,0227,231,22,5
pi,12114,"SÃO RAIMUNDO NONATO",00013,0260,282,13,201
pi,12114,"SÃO RAIMUNDO NONATO",00013,0260,282,22,35
pi,12114,"SÃO RAIMUNDO NONATO",00013,0260,282,NULO,1
pi,12114,"SÃO RAIMUNDO NONATO",00013,0226,289,13,251
pi,12114,"SÃO RAIMUNDO NONATO",00013,0226,289,22,9
pi,12114,"SÃO RAIMUNDO NONATO",00013,0226,289,BRANCO,1
pi,12114,"SÃO RAIMUNDO NONATO",00013,0226,289,NULO,1
pi,12114,"SÃO RAIMUNDO NONATO",00013,0160,293,13,210
pi,12114,"SÃO RAIMUNDO NONATO",00013,0160,293,22,39
pi,12114,"SÃO RAIMUNDO NONATO",00013,0160,293,BRANCO,3
pi,12114,"SÃO RAIMUNDO NONATO",00013,0160,293,NULO,6
pi,12114,"SÃO RAIMUNDO NONATO",00013,0127,292,13,215
pi,12114,"SÃO RAIMUNDO NONATO",00013,0127,292,22,14
pi,12114,"SÃO RAIMUNDO NONATO",00013,0127,292,NULO,7
pi,12114,"SÃO RAIMUNDO NONATO",00013,0060,290,13,186
pi,12114,"SÃO RAIMUNDO NONATO",00013,0060,290,22,55
pi,12114,"SÃO RAIMUNDO NONATO",00013,0060,290,BRANCO,1
pi,12114,"SÃO RAIMUNDO NONATO",00013,0060,290,NULO,3
pi,12114,"SÃO RAIMUNDO NONATO",00013,0129,419,13,311
pi,12114,"SÃO RAIMUNDO NONATO",00013,0129,419,22,27
pi,12114,"SÃO RAIMUNDO NONATO",00013,0129,419,BRANCO,5
pi,12114,"SÃO RAIMUNDO NONATO",00013,0129,419,NULO,12
pi,12114,"SÃO RAIMUNDO NONATO",00013,0063,246,13,194
pi,12114,"SÃO RAIMUNDO NONATO",00013,0063,246,22,21
pi,12114,"SÃO RAIMUNDO NONATO",00013,0063,246,NULO,1
pi,12114,"SÃO RAIMUNDO NONATO",00013,0042,256,13,160
pi,12114,"SÃO RAIMUNDO NONATO",00013,0042,256,22,52
pi,12114,"SÃO RAIMUNDO NONATO",00013,0042,256,BRANCO,1
pi,12114,"SÃO RAIMUNDO NONATO",00013,0042,256,NULO,8
pi,12114,"SÃO RAIMUNDO NONATO",00013,0262,378,13,293
