"UF","cod_municipio","municipio","zona","secao","eleitores_aptos","candidato","quantidade_votos"
pi,12114,"SÃO RAIMUNDO NONATO",00013,0271,186,12,4
pi,12114,"SÃO RAIMUNDO NONATO",00013,0271,186,13,147
pi,12114,"SÃO RAIMUNDO NONATO",00013,0271,186,22,6
pi,12114,"SÃO RAIMUNDO NONATO",00013,0271,186,44,2
pi,12114,"SÃO RAIMUNDO NONATO",00013,0271,186,BRANCO,1
pi,12114,"SÃO RAIMUNDO NONATO",00013,0271,186,NULO,2
pi,12114,"SÃO RAIMUNDO NONATO",00013,0062,253,12,3
pi,12114,"SÃO RAIMUNDO NONATO",00013,0062,253,13,199
pi,12114,"SÃO RAIMUNDO NONATO",00013,0062,253,15,5
pi,12114,"SÃO RAIMUNDO NONATO",00013,0062,253,22,18
pi,12114,"SÃO RAIMUNDO NONATO",00013,0062,253,44,2
pi,12114,"SÃO RAIMUNDO NONATO",00013,0062,253,NULO,2
pi,12114,"SÃO RAIMUNDO NONATO",00013,0275,253,12,9
pi,12114,"SÃO RAIMUNDO NONATO",00013,0275,253,13,173
pi,12114,"SÃO RAIMUNDO NONATO",00013,0275,253,15,2
pi,12114,"SÃO RAIMUNDO NONATO",00013,0275,253,22,33
pi,12114,"SÃO RAIMUNDO NONATO",00013,0275,253,44,2
pi,12114,"SÃO RAIMUNDO NONATO",00013,0275,253,NULO,2
pi,12114,"SÃO RAIMUNDO NONATO",00013,0282,215,13,156
pi,12114,"SÃO RAIMUNDO NONATO",00013,0282,215,15,4
pi,12114,"SÃO RAIMUNDO NONATO",00013,0282,215,22,9
pi,12114,"SÃO RAIMUNDO NONATO",00013,0282,215,BRANCO,2
pi,12114,"SÃO RAIMUNDO NONATO",00013,0282,215,NULO,1
pi,12114,"SÃO RAIMUNDO NONATO",00013,0126,270,12,3
pi,12114,"SÃO RAIMUNDO NONATO",00013,0126,270,13,191
pi,12114,"SÃO RAIMUNDO NONATO",00013,0126,270,15,1
pi,12114,"SÃO RAIMUNDO NONATO",00013,0126,270,22,29
pi,12114,"SÃO RAIMUNDO NONATO",00013,0126,270,BRANCO,1
pi,12114,"SÃO RAIMUNDO NONATO",00013,0126,270,NULO,3
pi,12114,"SÃO RAIMUNDO NONATO",00013,0053,283,12,5
pi,12114,"SÃO RAIMUNDO NONATO",00013,0053,283,13,185
pi,12114,"SÃO RAIMUNDO NONATO",00013,0053,283,15,1
pi,12114,"SÃO RAIMUNDO NONATO",00013,0053,283,22,42
pi,12114,"SÃO RAIMUNDO NONATO",00013,0053,283,44,2
pi,12114,"SÃO RAIMUNDO NONATO",00013,0053,283,BRANCO,1
pi,12114,"SÃO RAIMUNDO NONATO",00013,0053,283,NULO,4
pi,12114,"SÃO RAIMUNDO NONATO",00013,0059,290,12,6
pi,12114,"SÃO RAIMUNDO NONATO",00013,0059,290,13,193
pi,12114,"SÃO RAIMUNDO NONATO",00013,0059,290,14,1
pi,12114,"SÃO RAIMUNDO NONATO",00013,0059,290,15,3
pi,12114,"SÃO RAIMUNDO NONATO",00013,0059,290,22,49
pi,12114,"SÃO RAIMUNDO NONATO",00013,0059,290,44,2
pi,12114,"SÃO RAIMUNDO NONATO",00013,0059,290,BRANCO,1
pi,12114,"SÃO RAIMUNDO NONATO",00013,0059,290,NULO,3
pi,12114,"SÃO RAIMUNDO NONATO",00013,0257,266,12,2
pi,12114,"SÃO RAIMUNDO NONATO",00013,0257,266,13,184
pi,12114,"SÃO RAIMUNDO NONATO",00013,0257,266,22,23
pi,12114,"SÃO RAIMUNDO NONATO",00013,0257,266,BRANCO,2
pi,12114,"SÃO RAIMUNDO NONATO",00013,0257,266,NULO,3
pi,12114,"SÃO RAIMUNDO NONATO",00013,0267,308,12,8
pi,12114,"SÃO RAIMUNDO NONATO",00013,0267,308,13,223
pi,12114,"SÃO RAIMUNDO NONATO",00013,0267,308,16,1
pi,12114,"SÃO RAIMUNDO NONATO",00013,0267,308,22,29
pi,12114,"SÃO RAIMUNDO NONATO",00013,0267,308,44,1
pi,12114,"SÃO RAIMUNDO NONATO",00013,0267,308,BRANCO,4
pi,12114,"SÃO RAIMUNDO NONATO",00013,0267,308,NULO,2
pi,12114,"SÃO RAIMUNDO NONATO",00013,0038,259,12,5
pi,12114,"SÃO RAIMUNDO NONATO",00013,0038,259,13,159
pi,12114,"SÃO RAIMUNDO NONATO",00013,0038,259,22,37
pi,12114,"SÃO RAIMUNDO NONATO",00013,0038,259,NULO,8
