"UF","cod_municipio","municipio","zona","secao","eleitores_aptos","candidato","quantidade_votos"
rn,16330,"BOM JESUS",00005,0155,309,13,152
rn,16330,"BOM JESUS",00005,0155,309,22,83
rn,16330,"BOM JESUS",00005,0155,309,BRANCO,1
rn,16330,"BOM JESUS",00005,0155,309,NULO,4
rn,16330,"BOM JESUS",00005,0173,306,13,193
rn,16330,"BOM JESUS",00005,0173,306,22,39
rn,16330,"BOM JESUS",00005,0173,306,BRANCO,5
rn,16330,"BOM JESUS",00005,0173,306,NULO,5
rn,16330,"BOM JESUS",00005,0001,287,13,125
rn,16330,"BOM JESUS",00005,0001,287,22,106
rn,16330,"BOM JESUS",00005,0001,287,BRANCO,4
rn,16330,"BOM JESUS",00005,0001,287,NULO,6
rn,16330,"BOM JESUS",00005,0007,369,13,202
rn,16330,"BOM JESUS",00005,0007,369,22,95
rn,16330,"BOM JESUS",00005,0007,369,BRANCO,1
rn,16330,"BOM JESUS",00005,0007,369,NULO,4
rn,16330,"BOM JESUS",00005,0187,285,13,123
rn,16330,"BOM JESUS",00005,0187,285,22,109
rn,16330,"BOM JESUS",00005,0187,285,BRANCO,2
rn,16330,"BOM JESUS",00005,0187,285,NULO,3
rn,16330,"BOM JESUS",00005,0121,308,13,188
rn,16330,"BOM JESUS",00005,0121,308,22,42
rn,16330,"BOM JESUS",00005,0121,308,BRANCO,2
rn,16330,"BOM JESUS",00005,0121,308,NULO,11
rn,16330,"BOM JESUS",00005,0260,369,13,199
rn,16330,"BOM JESUS",00005,0260,369,22,90
rn,16330,"BOM JESUS",00005,0260,369,BRANCO,1
rn,16330,"BOM JESUS",00005,0260,369,NULO,3
rn,16330,"BOM JESUS",00005,0012,288,13,148
rn,16330,"BOM JESUS",00005,0012,288,22,97
rn,16330,"BOM JESUS",00005,0012,288,NULO,6
rn,16330,"BOM JESUS",00005,0188,304,13,189
rn,16330,"BOM JESUS",00005,0188,304,22,62
rn,16330,"BOM JESUS",00005,0188,304,BRANCO,1
rn,16330,"BOM JESUS",00005,0188,304,NULO,3
rn,16330,"BOM JESUS",00005,0211,291,13,142
rn,16330,"BOM JESUS",00005,0211,291,22,87
rn,16330,"BOM JESUS",00005,0211,291,BRANCO,1
rn,16330,"BOM JESUS",00005,0211,291,NULO,4
rn,16330,"BOM JESUS",00005,0235,261,13,117
rn,16330,"BOM JESUS",00005,0235,261,22,80
rn,16330,"BOM JESUS",00005,0235,261,BRANCO,1
