"UF","cod_municipio","municipio","zona","secao","eleitores_aptos","candidato","quantidade_votos"
rn,16330,"BOM JESUS",00005,0155,309,12,4
rn,16330,"BOM JESUS",00005,0155,309,13,141
rn,16330,"BOM JESUS",00005,0155,309,15,9
rn,16330,"BOM JESUS",00005,0155,309,22,76
rn,16330,"BOM JESUS",00005,0155,309,44,1
rn,16330,"BOM JESUS",00005,0155,309,BRANCO,3
rn,16330,"BOM JESUS",00005,0155,309,NULO,8
rn,16330,"BOM JESUS",00005,0173,306,12,3
rn,16330,"BOM JESUS",00005,0173,306,13,209
rn,16330,"BOM JESUS",00005,0173,306,15,1
rn,16330,"BOM JESUS",00005,0173,306,22,31
rn,16330,"BOM JESUS",00005,0173,306,44,3
rn,16330,"BOM JESUS",00005,0173,306,BRANCO,4
rn,16330,"BOM JESUS",00005,0173,306,NULO,9
rn,16330,"BOM JESUS",00005,0001,287,12,9
rn,16330,"BOM JESUS",00005,0001,287,13,129
rn,16330,"BOM JESUS",00005,0001,287,15,4
rn,16330,"BOM JESUS",00005,0001,287,22,99
rn,16330,"BOM JESUS",00005,0001,287,BRANCO,6
rn,16330,"BOM JESUS",00005,0001,287,NULO,2
rn,16330,"BOM JESUS",00005,0007,369,12,7
rn,16330,"BOM JESUS",00005,0007,369,13,186
rn,16330,"BOM JESUS",00005,0007,369,15,4
rn,16330,"BOM JESUS",00005,0007,369,22,83
rn,16330,"BOM JESUS",00005,0007,369,BRANCO,3
rn,16330,"BOM JESUS",00005,0007,369,NULO,14
rn,16330,"BOM JESUS",00005,0187,285,12,8
rn,16330,"BOM JESUS",00005,0187,285,13,125
rn,16330,"BOM JESUS",00005,0187,285,15,5
rn,16330,"BOM JESUS",00005,0187,285,22,100
rn,16330,"BOM JESUS",00005,0187,285,30,1
rn,16330,"BOM JESUS",00005,0187,285,BRANCO,2
rn,16330,"BOM JESUS",00005,0187,285,NULO,4
rn,16330,"BOM JESUS",00005,0121,308,12,2
rn,16330,"BOM JESUS",00005,0121,308,13,176
rn,16330,"BOM JESUS",00005,0121,308,14,1
rn,16330,"BOM JESUS",00005,0121,308,15,5
rn,16330,"BOM JESUS",00005,0121,308,22,32
rn,16330,"BOM JESUS",00005,0121,308,44,3
