"UF","cod_municipio","municipio","zona","secao","eleitores_aptos","candidato","quantidade_votos"
ro,515,"NOVO HORIZONTE DO OESTE",00015,0089,405,22,125
ro,515,"NOVO HORIZONTE DO OESTE",00015,0089,405,44,180
ro,515,"NOVO HORIZONTE DO OESTE",00015,0089,405,BRANCO,11
ro,515,"NOVO HORIZONTE DO OESTE",00015,0089,405,NULO,7
ro,515,"NOVO HORIZONTE DO OESTE",00015,0193,265,22,85
ro,515,"NOVO HORIZONTE DO OESTE",00015,0193,265,44,115
ro,515,"NOVO HORIZONTE DO OESTE",00015,0193,265,BRANCO,3
ro,515,"NOVO HORIZONTE DO OESTE",00015,0193,265,NULO,8
ro,515,"NOVO HORIZONTE DO OESTE",00015,0185,264,22,88
ro,515,"NOVO HORIZONTE DO OESTE",00015,0185,264,44,115
ro,515,"NOVO HORIZONTE DO OESTE",00015,0185,264,BRANCO,1
ro,515,"NOVO HORIZONTE DO OESTE",00015,0185,264,NULO,7
ro,515,"NOVO HORIZONTE DO OESTE",00015,0091,408,22,136
ro,515,"NOVO HORIZONTE DO OESTE",00015,0091,408,44,163
ro,515,"NOVO HORIZONTE DO OESTE",00015,0091,408,BRANCO,4
ro,515,"NOVO HORIZONTE DO OESTE",00015,0091,408,NULO,7
ro,515,"NOVO HORIZONTE DO OESTE",00015,0101,405,22,131
ro,515,"NOVO HORIZONTE DO OESTE",00015,0101,405,44,185
ro,515,"NOVO HORIZONTE DO OESTE",00015,0101,405,BRANCO,4
ro,515,"NOVO HORIZONTE DO OESTE",00015,0101,405,NULO,8
ro,515,"NOVO HORIZONTE DO OESTE",00015,0099,406,22,142
ro,515,"NOVO HORIZONTE DO OESTE",00015,0099,406,44,171
ro,515,"NOVO HORIZONTE DO OESTE",00015,0099,406,BRANCO,1
ro,515,"NOVO HORIZONTE DO OESTE",00015,0099,406,NULO,7
ro,515,"NOVO HORIZONTE DO OESTE",00015,0139,265,22,77
ro,515,"NOVO HORIZONTE DO OESTE",00015,0139,265,44,128
ro,515,"NOVO HORIZONTE DO OESTE",00015,0139,265,BRANCO,5
ro,515,"NOVO HORIZONTE DO OESTE",00015,0139,265,NULO,6
ro,515,"NOVO HORIZONTE DO OESTE",00015,0227,269,22,92
ro,515,"NOVO HORIZONTE DO OESTE",00015,0227,269,44,100
ro,515,"NOVO HORIZONTE DO OESTE",00015,0227,269,BRANCO,4
ro,515,"NOVO HORIZONTE DO OESTE",00015,0227,269,NULO,7
ro,515,"NOVO HORIZONTE DO OESTE",00015,0127,265,22,80
ro,515,"NOVO HORIZONTE DO OESTE",00015,0127,265,44,130
ro,515,"NOVO HORIZONTE DO OESTE",00015,0127,265,BRANCO,4
ro,515,"NOVO HORIZONTE DO OESTE",00015,0127,265,NULO,4
ro,515,"NOVO HORIZONTE DO OESTE",00015,0172,267,22,81
ro,515,"NOVO HORIZONTE DO OESTE",00015,0172,267,44,118
ro,515,"NOVO HORIZONTE DO OESTE",00015,0172,267,BRANCO,2
ro,515,"NOVO HORIZONTE DO OESTE",00015,0172,267,NULO,7
ro,515,"NOVO HORIZONTE DO OESTE",00015,0183,265,22,81
ro,515,"NOVO HORIZONTE DO OESTE",00015,0183,265,44,109
ro,515,"NOVO HORIZONTE DO OESTE",00015,0183,265,BRANCO,7
ro,515,"NOVO HORIZONTE DO OESTE",00015,0183,265,NULO,6
ro,515,"NOVO HORIZONTE DO OESTE",00015,0087,403,22,129
ro,515,"NOVO HORIZONTE DO OESTE",00015,0087,403,44,182
ro,515,"NOVO HORIZONTE DO OESTE",00015,0087,403,BRANCO,3
ro,515,"NOVO HORIZONTE DO OESTE",00015,0087,403,NULO,7
ro,515,"NOVO HORIZONTE DO OESTE",00015,0140,266,22,97
ro,515,"NOVO HORIZONTE DO OESTE",00015,0140,266,44,108
ro,515,"NOVO HORIZONTE DO OESTE",00015,0140,266,BRANCO,4
ro,515,"NOVO HORIZONTE DO OESTE",00015,0140,266,NULO,7
ro,515,"NOVO HORIZONTE DO OESTE",00015,0153,267,22,85
ro,515,"NOVO HORIZONTE DO OESTE",00015,0153,267,44,124
ro,515,"NOVO HORIZONTE DO OESTE",00015,0153,267,BRANCO,3
ro,515,"NOVO HORIZONTE DO OESTE",00015,0153,267,NULO,11
ro,515,"NOVO HORIZONTE DO OESTE",00015,0234,264,22,82
ro,515,"NOVO HORIZONTE DO OESTE",00015,0234,264,44,110
ro,515,"NOVO HORIZONTE DO OESTE",00015,0234,264,BRANCO,5
ro,515,"NOVO HORIZONTE DO OESTE",00015,0234,264,NULO,6
ro,515,"NOVO HORIZONTE DO OESTE",00015,0093,409,22,134
ro,515,"NOVO HORIZONTE DO OESTE",00015,0093,409,44,181
ro,515,"NOVO HORIZONTE DO OESTE",00015,0093,409,BRANCO,4
ro,515,"NOVO HORIZONTE DO OESTE",00015,0093,409,NULO,11
ro,515,"NOVO HORIZONTE DO OESTE",00015,0095,408,22,150
ro,515,"NOVO HORIZONTE DO OESTE",00015,0095,408,44,170
ro,515,"NOVO HORIZONTE DO OESTE",00015,0095,408,BRANCO,5
ro,515,"NOVO HORIZONTE DO OESTE",00015,0095,408,NULO,7
ro,515,"NOVO HORIZONTE DO OESTE",00015,0103,404,22,134
ro,515,"NOVO HORIZONTE DO OESTE",00015,0103,404,44,182
ro,515,"NOVO HORIZONTE DO OESTE",00015,0103,404,BRANCO,4
ro,515,"NOVO HORIZONTE DO OESTE",00015,0103,404,NULO,6
ro,515,"NOVO HORIZONTE DO OESTE",00015,0135,263,22,88
ro,515,"NOVO HORIZONTE DO OESTE",00015,0135,263,44,116
ro,515,"NOVO HORIZONTE DO OESTE",00015,0135,263,BRANCO,5
ro,515,"NOVO HORIZONTE DO OESTE",00015,0135,263,NULO,7
ro,515,"NOVO HORIZONTE DO OESTE",00015,0179,264,22,101
ro,515,"NOVO HORIZONTE DO OESTE",00015,0179,264,44,102
ro,515,"NOVO HORIZONTE DO OESTE",00015,0179,264,BRANCO,5
ro,515,"NOVO HORIZONTE DO OESTE",00015,0179,264,NULO,7
ro,515,"NOVO HORIZONTE DO OESTE",00015,0097,407,22,118
ro,515,"NOVO HORIZONTE DO OESTE",00015,0097,407,44,176
ro,515,"NOVO HORIZONTE DO OESTE",00015,0097,407,BRANCO,9
ro,515,"NOVO HORIZONTE DO OESTE",00015,0097,407,NULO,13
ro,604,"MINISTRO ANDREAZZA",00011,0309,279,22,61
ro,604,"MINISTRO ANDREAZZA",00011,0309,279,44,143
ro,604,"MINISTRO ANDREAZZA",00011,0309,279,BRANCO,2
ro,604,"MINISTRO ANDREAZZA",00011,0309,279,NULO,5
ro,604,"MINISTRO ANDREAZZA",00011,0327,322,22,92
ro,604,"MINISTRO ANDREAZZA",00011,0327,322,44,171
ro,604,"MINISTRO ANDREAZZA",00011,0327,322,NULO,7
ro,604,"MINISTRO ANDREAZZA",00011,0315,445,22,107
