"UF","cod_municipio","municipio","zona","secao","eleitores_aptos","candidato","quantidade_votos"
ro,213,"COSTA MARQUES",00005,0001,312,12,4
ro,213,"COSTA MARQUES",00005,0001,312,13,82
ro,213,"COSTA MARQUES",00005,0001,312,15,6
ro,213,"COSTA MARQUES",00005,0001,312,22,126
ro,213,"COSTA MARQUES",00005,0001,312,30,1
ro,213,"COSTA MARQUES",00005,0001,312,BRANCO,3
ro,213,"COSTA MARQUES",00005,0001,312,NULO,7
ro,213,"COSTA MARQUES",00005,0002,314,12,5
ro,213,"COSTA MARQUES",00005,0002,314,13,104
ro,213,"COSTA MARQUES",00005,0002,314,15,12
ro,213,"COSTA MARQUES",00005,0002,314,22,112
ro,213,"COSTA MARQUES",00005,0002,314,44,1
ro,213,"COSTA MARQUES",00005,0002,314,NULO,5
ro,213,"COSTA MARQUES",00005,0003,318,12,2
ro,213,"COSTA MARQUES",00005,0003,318,13,100
ro,213,"COSTA MARQUES",00005,0003,318,15,6
ro,213,"COSTA MARQUES",00005,0003,318,22,117
ro,213,"COSTA MARQUES",00005,0003,318,44,1
ro,213,"COSTA MARQUES",00005,0003,318,BRANCO,2
ro,213,"COSTA MARQUES",00005,0004,315,12,3
ro,213,"COSTA MARQUES",00005,0004,315,13,108
ro,213,"COSTA MARQUES",00005,0004,315,14,1
ro,213,"COSTA MARQUES",00005,0004,315,15,9
ro,213,"COSTA MARQUES",00005,0004,315,22,115
ro,213,"COSTA MARQUES",00005,0004,315,30,1
ro,213,"COSTA MARQUES",00005,0004,315,BRANCO,4
ro,213,"COSTA MARQUES",00005,0004,315,NULO,8
ro,213,"COSTA MARQUES",00005,0005,318,12,6
ro,213,"COSTA MARQUES",00005,0005,318,13,94
ro,213,"COSTA MARQUES",00005,0005,318,15,5
ro,213,"COSTA MARQUES",00005,0005,318,22,114
ro,213,"COSTA MARQUES",00005,0005,318,44,1
ro,213,"COSTA MARQUES",00005,0005,318,BRANCO,2
ro,213,"COSTA MARQUES",00005,0005,318,NULO,1
ro,213,"COSTA MARQUES",00005,0006,308,12,1
ro,213,"COSTA MARQUES",00005,0006,308,13,97
ro,213,"COSTA MARQUES",00005,0006,308,15,6
ro,213,"COSTA MARQUES",00005,0006,308,22,122
ro,213,"COSTA MARQUES",00005,0006,308,44,1
ro,213,"COSTA MARQUES",00005,0006,308,BRANCO,2
ro,213,"COSTA MARQUES",00005,0006,308,NULO,1
ro,213,"COSTA MARQUES",00005,0041,208,12,2
ro,213,"COSTA MARQUES",00005,0041,208,13,75
ro,213,"COSTA MARQUES",00005,0041,208,15,3
ro,213,"COSTA MARQUES",00005,0041,208,22,46
ro,213,"COSTA MARQUES",00005,0041,208,44,3
ro,213,"COSTA MARQUES",00005,0041,208,NULO,2
ro,213,"COSTA MARQUES",00005,0042,203,12,1
ro,213,"COSTA MARQUES",00005,0042,203,13,81
ro,213,"COSTA MARQUES",00005,0042,203,15,6
ro,213,"COSTA MARQUES",00005,0042,203,22,61
ro,213,"COSTA MARQUES",00005,0042,203,NULO,1
ro,213,"COSTA MARQUES",00005,0043,216,12,4
ro,213,"COSTA MARQUES",00005,0043,216,13,83
ro,213,"COSTA MARQUES",00005,0043,216,15,5
ro,213,"COSTA MARQUES",00005,0043,216,22,52
ro,213,"COSTA MARQUES",00005,0043,216,BRANCO,1
ro,213,"COSTA MARQUES",00005,0043,216,NULO,3
ro,213,"COSTA MARQUES",00005,0044,201,13,86
ro,213,"COSTA MARQUES",00005,0044,201,15,3
ro,213,"COSTA MARQUES",00005,0044,201,22,48
ro,213,"COSTA MARQUES",00005,0044,201,BRANCO,2
ro,213,"COSTA MARQUES",00005,0044,201,NULO,2
ro,213,"COSTA MARQUES",00005,0045,203,12,2
ro,213,"COSTA MARQUES",00005,0045,203,13,79
ro,213,"COSTA MARQUES",00005,0045,203,15,4
ro,213,"COSTA MARQUES",00005,0045,203,22,62
ro,213,"COSTA MARQUES",00005,0045,203,44,1
ro,213,"COSTA MARQUES",00005,0045,203,NULO,1
ro,213,"COSTA MARQUES",00005,0054,203,13,86
ro,213,"COSTA MARQUES",00005,0054,203,15,7
ro,213,"COSTA MARQUES",00005,0054,203,22,52
ro,213,"COSTA MARQUES",00005,0054,203,44,2
ro,213,"COSTA MARQUES",00005,0054,203,NULO,4
ro,213,"COSTA MARQUES",00005,0056,200,12,1
ro,213,"COSTA MARQUES",00005,0056,200,13,115
ro,213,"COSTA MARQUES",00005,0056,200,15,7
ro,213,"COSTA MARQUES",00005,0056,200,22,33
ro,213,"COSTA MARQUES",00005,0056,200,27,1
ro,213,"COSTA MARQUES",00005,0056,200,44,1
ro,213,"COSTA MARQUES",00005,0056,200,NULO,1
ro,213,"COSTA MARQUES",00005,0057,301,12,2
ro,213,"COSTA MARQUES",00005,0057,301,13,93
ro,213,"COSTA MARQUES",00005,0057,301,15,9
ro,213,"COSTA MARQUES",00005,0057,301,22,124
ro,213,"COSTA MARQUES",00005,0057,301,44,2
ro,213,"COSTA MARQUES",00005,0057,301,BRANCO,2
ro,213,"COSTA MARQUES",00005,0057,301,NULO,1
ro,213,"COSTA MARQUES",00005,0058,200,12,1
ro,213,"COSTA MARQUES",00005,0058,200,13,79
ro,213,"COSTA MARQUES",00005,0058,200,15,14
ro,213,"COSTA MARQUES",00005,0058,200,22,59
ro,213,"COSTA MARQUES",00005,0058,200,44,1
ro,213,"COSTA MARQUES",00005,0058,200,BRANCO,1
ro,213,"COSTA MARQUES",00005,0058,200,NULO,5
ro,213,"COSTA MARQUES",00005,0059,273,12,1
ro,213,"COSTA MARQUES",00005,0059,273,13,73
ro,213,"COSTA MARQUES",00005,0059,273,15,5
ro,213,"COSTA MARQUES",00005,0059,273,22,114
ro,213,"COSTA MARQUES",00005,0059,273,44,1
ro,213,"COSTA MARQUES",00005,0059,273,BRANCO,1
ro,213,"COSTA MARQUES",00005,0059,273,NULO,7
ro,213,"COSTA MARQUES",00005,0062,256,12,2
ro,213,"COSTA MARQUES",00005,0062,256,13,39
ro,213,"COSTA MARQUES",00005,0062,256,15,3
ro,213,"COSTA MARQUES",00005,0062,256,22,140
ro,213,"COSTA MARQUES",00005,0062,256,30,1
ro,213,"COSTA MARQUES",00005,0062,256,44,1
ro,213,"COSTA MARQUES",00005,0062,256,BRANCO,3
ro,213,"COSTA MARQUES",00005,0062,256,NULO,3
ro,213,"COSTA MARQUES",00005,0066,277,12,1
ro,213,"COSTA MARQUES",00005,0066,277,13,75
ro,213,"COSTA MARQUES",00005,0066,277,15,8
ro,213,"COSTA MARQUES",00005,0066,277,22,103
ro,213,"COSTA MARQUES",00005,0066,277,44,1
ro,213,"COSTA MARQUES",00005,0066,277,BRANCO,4
ro,213,"COSTA MARQUES",00005,0066,277,NULO,5
ro,213,"COSTA MARQUES",00005,0067,368,12,6
ro,213,"COSTA MARQUES",00005,0067,368,13,62
ro,213,"COSTA MARQUES",00005,0067,368,15,7
ro,213,"COSTA MARQUES",00005,0067,368,22,189
ro,213,"COSTA MARQUES",00005,0067,368,44,1
ro,213,"COSTA MARQUES",00005,0067,368,BRANCO,1
ro,213,"COSTA MARQUES",00005,0067,368,NULO,5
ro,213,"COSTA MARQUES",00005,0071,204,13,72
ro,213,"COSTA MARQUES",00005,0071,204,15,3
ro,213,"COSTA MARQUES",00005,0071,204,22,65
ro,213,"COSTA MARQUES",00005,0071,204,44,2
ro,213,"COSTA MARQUES",00005,0071,204,NULO,4
ro,213,"COSTA MARQUES",00005,0074,246,12,3
ro,213,"COSTA MARQUES",00005,0074,246,13,34
ro,213,"COSTA MARQUES",00005,0074,246,15,4
ro,213,"COSTA MARQUES",00005,0074,246,22,117
ro,213,"COSTA MARQUES",00005,0074,246,44,3
ro,213,"COSTA MARQUES",00005,0074,246,NULO,1
ro,213,"COSTA MARQUES",00005,0079,242,13,45
ro,213,"COSTA MARQUES",00005,0079,242,15,5
ro,213,"COSTA MARQUES",00005,0079,242,22,114
ro,213,"COSTA MARQUES",00005,0079,242,44,3
ro,213,"COSTA MARQUES",00005,0079,242,BRANCO,2
ro,213,"COSTA MARQUES",00005,0079,242,NULO,4
ro,213,"COSTA MARQUES",00005,0081,281,13,68
ro,213,"COSTA MARQUES",00005,0081,281,15,5
