"UF","cod_municipio","municipio","zona","secao","eleitores_aptos","candidato","quantidade_votos"
rr,3107,"UIRAMUTÃ",00007,0050,325,13,113
rr,3107,"UIRAMUTÃ",00007,0050,325,22,139
rr,3107,"UIRAMUTÃ",00007,0050,325,BRANCO,1
rr,3107,"UIRAMUTÃ",00007,0050,325,NULO,6
rr,3107,"UIRAMUTÃ",00007,0062,277,13,236
rr,3107,"UIRAMUTÃ",00007,0062,277,22,1
rr,3107,"UIRAMUTÃ",00007,0062,277,BRANCO,1
rr,3107,"UIRAMUTÃ",00007,0062,277,NULO,8
rr,3107,"UIRAMUTÃ",00007,0053,110,13,27
rr,3107,"UIRAMUTÃ",00007,0053,110,22,50
rr,3107,"UIRAMUTÃ",00007,0053,110,BRANCO,1
rr,3107,"UIRAMUTÃ",00007,0101,212,13,106
rr,3107,"UIRAMUTÃ",00007,0101,212,22,56
rr,3107,"UIRAMUTÃ",00007,0101,212,NULO,1
rr,3107,"UIRAMUTÃ",00007,0068,234,13,140
rr,3107,"UIRAMUTÃ",00007,0068,234,22,64
rr,3107,"UIRAMUTÃ",00007,0068,234,NULO,1
rr,3107,"UIRAMUTÃ",00007,0056,354,13,17
rr,3107,"UIRAMUTÃ",00007,0056,354,22,277
rr,3107,"UIRAMUTÃ",00007,0056,354,NULO,3
rr,3107,"UIRAMUTÃ",00007,0047,228,13,95
rr,3107,"UIRAMUTÃ",00007,0047,228,22,84
rr,3107,"UIRAMUTÃ",00007,0047,228,NULO,4
rr,3107,"UIRAMUTÃ",00007,0096,317,13,119
rr,3107,"UIRAMUTÃ",00007,0096,317,22,115
rr,3107,"UIRAMUTÃ",00007,0096,317,NULO,2
rr,3107,"UIRAMUTÃ",00007,0084,328,13,263
rr,3107,"UIRAMUTÃ",00007,0084,328,22,5
rr,3107,"UIRAMUTÃ",00007,0084,328,NULO,2
rr,3107,"UIRAMUTÃ",00007,0060,234,13,158
rr,3107,"UIRAMUTÃ",00007,0060,234,22,42
rr,3107,"UIRAMUTÃ",00007,0060,234,NULO,5
rr,3107,"UIRAMUTÃ",00007,0063,215,13,176
rr,3107,"UIRAMUTÃ",00007,0063,215,NULO,2
rr,3107,"UIRAMUTÃ",00007,0049,223,13,113
rr,3107,"UIRAMUTÃ",00007,0049,223,22,66
rr,3107,"UIRAMUTÃ",00007,0049,223,NULO,3
rr,3107,"UIRAMUTÃ",00007,0051,323,13,153
rr,3107,"UIRAMUTÃ",00007,0051,323,22,107
rr,3107,"UIRAMUTÃ",00007,0051,323,NULO,5
rr,3107,"UIRAMUTÃ",00007,0048,221,13,108
rr,3107,"UIRAMUTÃ",00007,0048,221,22,63
rr,3107,"UIRAMUTÃ",00007,0048,221,BRANCO,1
rr,3107,"UIRAMUTÃ",00007,0048,221,NULO,6
rr,3107,"UIRAMUTÃ",00007,0073,254,13,177
rr,3107,"UIRAMUTÃ",00007,0073,254,22,43
rr,3107,"UIRAMUTÃ",00007,0073,254,NULO,1
rr,3107,"UIRAMUTÃ",00007,0052,326,13,148
rr,3107,"UIRAMUTÃ",00007,0052,326,22,103
rr,3107,"UIRAMUTÃ",00007,0052,326,BRANCO,2
rr,3107,"UIRAMUTÃ",00007,0052,326,NULO,6
rr,3107,"UIRAMUTÃ",00007,0104,108,13,98
rr,3107,"UIRAMUTÃ",00007,0104,108,22,1
rr,3107,"UIRAMUTÃ",00007,0104,108,NULO,1
rr,3107,"UIRAMUTÃ",00007,0046,112,13,44
rr,3107,"UIRAMUTÃ",00007,0046,112,22,53
rr,3107,"UIRAMUTÃ",00007,0054,176,13,137
rr,3107,"UIRAMUTÃ",00007,0054,176,22,15
rr,3107,"UIRAMUTÃ",00007,0054,176,NULO,1
rr,3107,"UIRAMUTÃ",00007,0081,254,13,205
rr,3107,"UIRAMUTÃ",00007,0081,254,22,4
rr,3107,"UIRAMUTÃ",00007,0081,254,NULO,3
rr,3107,"UIRAMUTÃ",00007,0057,183,13,127
rr,3107,"UIRAMUTÃ",00007,0057,183,22,32
rr,3107,"UIRAMUTÃ",00007,0057,183,NULO,3
rr,3107,"UIRAMUTÃ",00007,0100,204,13,170
rr,3107,"UIRAMUTÃ",00007,0100,204,22,9
rr,3107,"UIRAMUTÃ",00007,0100,204,NULO,3
rr,3107,"UIRAMUTÃ",00007,0072,323,13,141
rr,3107,"UIRAMUTÃ",00007,0072,323,22,118
rr,3107,"UIRAMUTÃ",00007,0072,323,NULO,6
rr,3107,"UIRAMUTÃ",00007,0058,200,13,76
rr,3107,"UIRAMUTÃ",00007,0058,200,22,88
rr,3107,"UIRAMUTÃ",00007,0058,200,NULO,1
rr,3107,"UIRAMUTÃ",00007,0066,325,13,149
rr,3107,"UIRAMUTÃ",00007,0066,325,22,110
rr,3107,"UIRAMUTÃ",00007,0066,325,NULO,5
rr,3107,"UIRAMUTÃ",00007,0061,263,13,234
rr,3107,"UIRAMUTÃ",00007,0061,263,22,1
rr,3107,"UIRAMUTÃ",00007,0061,263,NULO,2
rr,3077,"BONFIM",00005,0555,256,13,46
rr,3077,"BONFIM",00005,0555,256,22,151
rr,3077,"BONFIM",00005,0555,256,BRANCO,2
rr,3077,"BONFIM",00005,0555,256,NULO,3
