"UF","cod_municipio","municipio","zona","secao","eleitores_aptos","candidato","quantidade_votos"
rr,3085,"RORAINÓPOLIS",00008,0001,293,12,5
rr,3085,"RORAINÓPOLIS",00008,0001,293,13,79
rr,3085,"RORAINÓPOLIS",00008,0001,293,15,7
rr,3085,"RORAINÓPOLIS",00008,0001,293,22,147
rr,3085,"RORAINÓPOLIS",00008,0001,293,BRANCO,1
rr,3085,"RORAINÓPOLIS",00008,0001,293,NULO,3
rr,3085,"RORAINÓPOLIS",00008,0002,288,12,2
rr,3085,"RORAINÓPOLIS",00008,0002,288,13,101
rr,3085,"RORAINÓPOLIS",00008,0002,288,15,9
rr,3085,"RORAINÓPOLIS",00008,0002,288,22,126
rr,3085,"RORAINÓPOLIS",00008,0002,288,BRANCO,1
rr,3085,"RORAINÓPOLIS",00008,0002,288,NULO,1
rr,3085,"RORAINÓPOLIS",00008,0003,283,12,3
rr,3085,"RORAINÓPOLIS",00008,0003,283,13,75
rr,3085,"RORAINÓPOLIS",00008,0003,283,14,1
rr,3085,"RORAINÓPOLIS",00008,0003,283,15,7
rr,3085,"RORAINÓPOLIS",00008,0003,283,22,135
rr,3085,"RORAINÓPOLIS",00008,0003,283,44,2
rr,3085,"RORAINÓPOLIS",00008,0003,283,BRANCO,2
rr,3085,"RORAINÓPOLIS",00008,0003,283,NULO,5
rr,3085,"RORAINÓPOLIS",00008,0004,212,12,7
rr,3085,"RORAINÓPOLIS",00008,0004,212,13,46
rr,3085,"RORAINÓPOLIS",00008,0004,212,15,8
rr,3085,"RORAINÓPOLIS",00008,0004,212,22,105
rr,3085,"RORAINÓPOLIS",00008,0004,212,BRANCO,1
rr,3085,"RORAINÓPOLIS",00008,0004,212,NULO,5
rr,3085,"RORAINÓPOLIS",00008,0005,209,12,4
rr,3085,"RORAINÓPOLIS",00008,0005,209,13,43
rr,3085,"RORAINÓPOLIS",00008,0005,209,15,8
rr,3085,"RORAINÓPOLIS",00008,0005,209,22,101
rr,3085,"RORAINÓPOLIS",00008,0005,209,BRANCO,1
rr,3085,"RORAINÓPOLIS",00008,0005,209,NULO,4
rr,3085,"RORAINÓPOLIS",00008,0006,212,12,5
rr,3085,"RORAINÓPOLIS",00008,0006,212,13,43
rr,3085,"RORAINÓPOLIS",00008,0006,212,14,1
rr,3085,"RORAINÓPOLIS",00008,0006,212,15,3
rr,3085,"RORAINÓPOLIS",00008,0006,212,22,127
rr,3085,"RORAINÓPOLIS",00008,0006,212,44,2
rr,3085,"RORAINÓPOLIS",00008,0006,212,NULO,4
rr,3085,"RORAINÓPOLIS",00008,0007,213,12,4
rr,3085,"RORAINÓPOLIS",00008,0007,213,13,43
rr,3085,"RORAINÓPOLIS",00008,0007,213,15,13
rr,3085,"RORAINÓPOLIS",00008,0007,213,22,98
rr,3085,"RORAINÓPOLIS",00008,0007,213,NULO,4
rr,3085,"RORAINÓPOLIS",00008,0008,207,12,2
