"UF","cod_municipio","municipio","zona","secao","eleitores_aptos","candidato","quantidade_votos"
sc,83712,"URUBICI",00004,0089,340,13,65
sc,83712,"URUBICI",00004,0089,340,22,188
sc,83712,"URUBICI",00004,0089,340,BRANCO,6
sc,83712,"URUBICI",00004,0089,340,NULO,4
sc,83712,"URUBICI",00004,0101,173,13,36
sc,83712,"URUBICI",00004,0101,173,22,114
sc,83712,"URUBICI",00004,0101,173,BRANCO,3
sc,83712,"URUBICI",00004,0101,173,NULO,1
sc,83712,"URUBICI",00004,0088,341,13,52
sc,83712,"URUBICI",00004,0088,341,22,193
sc,83712,"URUBICI",00004,0088,341,BRANCO,6
sc,83712,"URUBICI",00004,0088,341,NULO,7
sc,83712,"URUBICI",00004,0099,133,13,28
sc,83712,"URUBICI",00004,0099,133,22,76
sc,83712,"URUBICI",00004,0099,133,BRANCO,1
sc,83712,"URUBICI",00004,0099,133,NULO,1
sc,83712,"URUBICI",00004,0076,378,13,73
sc,83712,"URUBICI",00004,0076,378,22,213
sc,83712,"URUBICI",00004,0076,378,BRANCO,7
sc,83712,"URUBICI",00004,0076,378,NULO,3
sc,83712,"URUBICI",00004,0086,334,13,51
sc,83712,"URUBICI",00004,0086,334,22,192
sc,83712,"URUBICI",00004,0086,334,BRANCO,7
sc,83712,"URUBICI",00004,0086,334,NULO,5
sc,83712,"URUBICI",00004,0084,398,13,83
sc,83712,"URUBICI",00004,0084,398,22,204
sc,83712,"URUBICI",00004,0084,398,BRANCO,11
sc,83712,"URUBICI",00004,0084,398,NULO,7
sc,83712,"URUBICI",00004,0077,382,13,65
sc,83712,"URUBICI",00004,0077,382,22,215
sc,83712,"URUBICI",00004,0077,382,BRANCO,5
sc,83712,"URUBICI",00004,0077,382,NULO,9
sc,83712,"URUBICI",00004,0075,372,13,70
sc,83712,"URUBICI",00004,0075,372,22,195
sc,83712,"URUBICI",00004,0075,372,BRANCO,8
sc,83712,"URUBICI",00004,0075,372,NULO,10
sc,83712,"URUBICI",00004,0098,254,13,47
sc,83712,"URUBICI",00004,0098,254,22,162
sc,83712,"URUBICI",00004,0098,254,BRANCO,4
sc,83712,"URUBICI",00004,0098,254,NULO,5
sc,83712,"URUBICI",00004,0102,120,13,5
sc,83712,"URUBICI",00004,0102,120,22,99
sc,83712,"URUBICI",00004,0102,120,BRANCO,4
sc,83712,"URUBICI",00004,0102,120,NULO,2
sc,83712,"URUBICI",00004,0094,218,13,42
sc,83712,"URUBICI",00004,0094,218,22,133
sc,83712,"URUBICI",00004,0094,218,BRANCO,4
sc,83712,"URUBICI",00004,0094,218,NULO,5
sc,83712,"URUBICI",00004,0090,335,13,60
sc,83712,"URUBICI",00004,0090,335,22,191
sc,83712,"URUBICI",00004,0090,335,BRANCO,8
sc,83712,"URUBICI",00004,0090,335,NULO,8
sc,83712,"URUBICI",00004,0087,335,13,53
sc,83712,"URUBICI",00004,0087,335,22,180
sc,83712,"URUBICI",00004,0087,335,BRANCO,10
sc,83712,"URUBICI",00004,0087,335,NULO,1
sc,83712,"URUBICI",00004,0079,374,13,63
sc,83712,"URUBICI",00004,0079,374,22,211
sc,83712,"URUBICI",00004,0079,374,BRANCO,8
sc,83712,"URUBICI",00004,0079,374,NULO,9
sc,83712,"URUBICI",00004,0078,371,13,75
sc,83712,"URUBICI",00004,0078,371,22,210
sc,83712,"URUBICI",00004,0078,371,BRANCO,8
sc,83712,"URUBICI",00004,0078,371,NULO,2
sc,83712,"URUBICI",00004,0082,367,13,67
sc,83712,"URUBICI",00004,0082,367,22,205
sc,83712,"URUBICI",00004,0082,367,BRANCO,7
sc,83712,"URUBICI",00004,0082,367,NULO,9
sc,83712,"URUBICI",00004,0083,375,13,81
sc,83712,"URUBICI",00004,0083,375,22,211
sc,83712,"URUBICI",00004,0083,375,BRANCO,8
sc,83712,"URUBICI",00004,0083,375,NULO,6
sc,83712,"URUBICI",00004,0104,157,13,28
sc,83712,"URUBICI",00004,0104,157,22,108
sc,83712,"URUBICI",00004,0104,157,BRANCO,1
sc,83712,"URUBICI",00004,0104,157,NULO,1
sc,83712,"URUBICI",00004,0105,256,13,62
sc,83712,"URUBICI",00004,0105,256,22,140
sc,83712,"URUBICI",00004,0105,256,BRANCO,10
sc,83712,"URUBICI",00004,0105,256,NULO,6
sc,83712,"URUBICI",00004,0093,137,13,19
sc,83712,"URUBICI",00004,0093,137,22,87
sc,83712,"URUBICI",00004,0093,137,BRANCO,3
sc,83712,"URUBICI",00004,0080,379,13,61
sc,83712,"URUBICI",00004,0080,379,22,214
sc,83712,"URUBICI",00004,0080,379,BRANCO,5
sc,83712,"URUBICI",00004,0080,379,NULO,8
sc,83712,"URUBICI",00004,0095,456,13,151
sc,83712,"URUBICI",00004,0095,456,22,166
sc,83712,"URUBICI",00004,0095,456,BRANCO,32
sc,83712,"URUBICI",00004,0095,456,NULO,8
sc,83712,"URUBICI",00004,0081,382,13,76
sc,83712,"URUBICI",00004,0081,382,22,195
sc,83712,"URUBICI",00004,0081,382,BRANCO,8
sc,83712,"URUBICI",00004,0081,382,NULO,9
sc,83712,"URUBICI",00004,0103,96,13,34
sc,83712,"URUBICI",00004,0103,96,22,30
sc,83712,"URUBICI",00004,0103,96,BRANCO,1
sc,83712,"URUBICI",00004,0103,96,NULO,4
