"UF","cod_municipio","municipio","zona","secao","eleitores_aptos","candidato","quantidade_votos"
se,32298,"SANTA ROSA DE LIMA",00026,0216,280,13,111
se,32298,"SANTA ROSA DE LIMA",00026,0216,280,55,90
se,32298,"SANTA ROSA DE LIMA",00026,0216,280,BRANCO,2
se,32298,"SANTA ROSA DE LIMA",00026,0216,280,NULO,15
se,32298,"SANTA ROSA DE LIMA",00026,0227,332,13,94
se,32298,"SANTA ROSA DE LIMA",00026,0227,332,55,149
se,32298,"SANTA ROSA DE LIMA",00026,0227,332,BRANCO,4
se,32298,"SANTA ROSA DE LIMA",00026,0227,332,NULO,15
se,32298,"SANTA ROSA DE LIMA",00026,0225,252,13,60
se,32298,"SANTA ROSA DE LIMA",00026,0225,252,55,138
se,32298,"SANTA ROSA DE LIMA",00026,0225,252,BRANCO,5
se,32298,"SANTA ROSA DE LIMA",00026,0225,252,NULO,7
se,32298,"SANTA ROSA DE LIMA",00026,0231,183,13,56
se,32298,"SANTA ROSA DE LIMA",00026,0231,183,55,72
se,32298,"SANTA ROSA DE LIMA",00026,0231,183,BRANCO,4
se,32298,"SANTA ROSA DE LIMA",00026,0231,183,NULO,10
se,32298,"SANTA ROSA DE LIMA",00026,0214,284,13,113
se,32298,"SANTA ROSA DE LIMA",00026,0214,284,55,88
se,32298,"SANTA ROSA DE LIMA",00026,0214,284,BRANCO,8
se,32298,"SANTA ROSA DE LIMA",00026,0214,284,NULO,19
se,32298,"SANTA ROSA DE LIMA",00026,0232,194,13,92
se,32298,"SANTA ROSA DE LIMA",00026,0232,194,55,58
se,32298,"SANTA ROSA DE LIMA",00026,0232,194,BRANCO,4
se,32298,"SANTA ROSA DE LIMA",00026,0232,194,NULO,10
se,32298,"SANTA ROSA DE LIMA",00026,0212,319,13,132
se,32298,"SANTA ROSA DE LIMA",00026,0212,319,55,104
se,32298,"SANTA ROSA DE LIMA",00026,0212,319,BRANCO,9
se,32298,"SANTA ROSA DE LIMA",00026,0212,319,NULO,16
se,32298,"SANTA ROSA DE LIMA",00026,0240,126,13,59
se,32298,"SANTA ROSA DE LIMA",00026,0240,126,55,37
se,32298,"SANTA ROSA DE LIMA",00026,0240,126,BRANCO,5
se,32298,"SANTA ROSA DE LIMA",00026,0240,126,NULO,9
se,32298,"SANTA ROSA DE LIMA",00026,0217,282,13,113
se,32298,"SANTA ROSA DE LIMA",00026,0217,282,55,94
se,32298,"SANTA ROSA DE LIMA",00026,0217,282,BRANCO,5
se,32298,"SANTA ROSA DE LIMA",00026,0217,282,NULO,18
se,32298,"SANTA ROSA DE LIMA",00026,0234,194,13,79
se,32298,"SANTA ROSA DE LIMA",00026,0234,194,55,67
se,32298,"SANTA ROSA DE LIMA",00026,0234,194,BRANCO,5
se,32298,"SANTA ROSA DE LIMA",00026,0234,194,NULO,6
se,32298,"SANTA ROSA DE LIMA",00026,0213,326,13,121
se,32298,"SANTA ROSA DE LIMA",00026,0213,326,55,121
se,32298,"SANTA ROSA DE LIMA",00026,0213,326,BRANCO,8
se,32298,"SANTA ROSA DE LIMA",00026,0213,326,NULO,14
se,32298,"SANTA ROSA DE LIMA",00026,0218,232,13,92
se,32298,"SANTA ROSA DE LIMA",00026,0218,232,55,62
se,32298,"SANTA ROSA DE LIMA",00026,0218,232,NULO,11
se,32298,"SANTA ROSA DE LIMA",00026,0228,159,13,49
se,32298,"SANTA ROSA DE LIMA",00026,0228,159,55,74
se,32298,"SANTA ROSA DE LIMA",00026,0228,159,BRANCO,1
se,32298,"SANTA ROSA DE LIMA",00026,0228,159,NULO,7
se,32298,"SANTA ROSA DE LIMA",00026,0215,283,13,129
se,32298,"SANTA ROSA DE LIMA",00026,0215,283,55,82
se,32298,"SANTA ROSA DE LIMA",00026,0215,283,BRANCO,7
se,32298,"SANTA ROSA DE LIMA",00026,0215,283,NULO,12
se,32298,"SANTA ROSA DE LIMA",00026,0230,229,13,68
se,32298,"SANTA ROSA DE LIMA",00026,0230,229,55,94
se,32298,"SANTA ROSA DE LIMA",00026,0230,229,BRANCO,1
se,32298,"SANTA ROSA DE LIMA",00026,0230,229,NULO,10
se,32298,"SANTA ROSA DE LIMA",00026,0233,194,13,84
se,32298,"SANTA ROSA DE LIMA",00026,0233,194,55,55
se,32298,"SANTA ROSA DE LIMA",00026,0233,194,BRANCO,8
se,32298,"SANTA ROSA DE LIMA",00026,0233,194,NULO,11
se,32298,"SANTA ROSA DE LIMA",00026,0219,255,13,120
se,32298,"SANTA ROSA DE LIMA",00026,0219,255,55,87
se,32298,"SANTA ROSA DE LIMA",00026,0219,255,BRANCO,6
se,32298,"SANTA ROSA DE LIMA",00026,0219,255,NULO,13
se,31038,"AQUIDABÃ",00003,0062,202,13,63
se,31038,"AQUIDABÃ",00003,0062,202,55,87
se,31038,"AQUIDABÃ",00003,0062,202,BRANCO,6
se,31038,"AQUIDABÃ",00003,0062,202,NULO,16
se,31038,"AQUIDABÃ",00003,0114,344,13,150
se,31038,"AQUIDABÃ",00003,0114,344,55,99
se,31038,"AQUIDABÃ",00003,0114,344,BRANCO,6
se,31038,"AQUIDABÃ",00003,0114,344,NULO,7
se,31038,"AQUIDABÃ",00003,0025,201,13,86
se,31038,"AQUIDABÃ",00003,0025,201,55,64
se,31038,"AQUIDABÃ",00003,0025,201,BRANCO,8
se,31038,"AQUIDABÃ",00003,0025,201,NULO,11
se,31038,"AQUIDABÃ",00003,0001,370,13,130
se,31038,"AQUIDABÃ",00003,0001,370,55,119
se,31038,"AQUIDABÃ",00003,0001,370,BRANCO,12
se,31038,"AQUIDABÃ",00003,0001,370,NULO,26
se,31038,"AQUIDABÃ",00003,0091,266,13,71
se,31038,"AQUIDABÃ",00003,0091,266,55,102
se,31038,"AQUIDABÃ",00003,0091,266,BRANCO,5
se,31038,"AQUIDABÃ",00003,0091,266,NULO,19
se,31038,"AQUIDABÃ",00003,0101,388,13,127
se,31038,"AQUIDABÃ",00003,0101,388,55,121
se,31038,"AQUIDABÃ",00003,0101,388,BRANCO,21
se,31038,"AQUIDABÃ",00003,0101,388,NULO,11
se,31038,"AQUIDABÃ",00003,0028,255,13,89
se,31038,"AQUIDABÃ",00003,0028,255,55,93
se,31038,"AQUIDABÃ",00003,0028,255,BRANCO,8
se,31038,"AQUIDABÃ",00003,0028,255,NULO,21
se,31038,"AQUIDABÃ",00003,0007,256,13,85
se,31038,"AQUIDABÃ",00003,0007,256,55,75
se,31038,"AQUIDABÃ",00003,0007,256,BRANCO,8
se,31038,"AQUIDABÃ",00003,0007,256,NULO,16
se,31038,"AQUIDABÃ",00003,0099,345,13,157
se,31038,"AQUIDABÃ",00003,0099,345,55,96
se,31038,"AQUIDABÃ",00003,0099,345,BRANCO,7
se,31038,"AQUIDABÃ",00003,0099,345,NULO,13
se,31038,"AQUIDABÃ",00003,0056,326,13,106
se,31038,"AQUIDABÃ",00003,0056,326,55,122
se,31038,"AQUIDABÃ",00003,0056,326,BRANCO,5
se,31038,"AQUIDABÃ",00003,0056,326,NULO,21
se,31038,"AQUIDABÃ",00003,0118,351,13,138
se,31038,"AQUIDABÃ",00003,0118,351,55,109
se,31038,"AQUIDABÃ",00003,0118,351,BRANCO,7
se,31038,"AQUIDABÃ",00003,0118,351,NULO,16
se,31038,"AQUIDABÃ",00003,0070,175,13,65
se,31038,"AQUIDABÃ",00003,0070,175,55,65
se,31038,"AQUIDABÃ",00003,0070,175,BRANCO,5
se,31038,"AQUIDABÃ",00003,0070,175,NULO,8
se,31038,"AQUIDABÃ",00003,0021,201,13,72
se,31038,"AQUIDABÃ",00003,0021,201,55,67
se,31038,"AQUIDABÃ",00003,0021,201,BRANCO,4
se,31038,"AQUIDABÃ",00003,0021,201,NULO,18
se,31038,"AQUIDABÃ",00003,0096,334,13,130
se,31038,"AQUIDABÃ",00003,0096,334,55,111
se,31038,"AQUIDABÃ",00003,0096,334,BRANCO,6
se,31038,"AQUIDABÃ",00003,0096,334,NULO,13
se,31038,"AQUIDABÃ",00003,0012,368,13,131
se,31038,"AQUIDABÃ",00003,0012,368,55,125
se,31038,"AQUIDABÃ",00003,0012,368,BRANCO,8
se,31038,"AQUIDABÃ",00003,0012,368,NULO,20
se,31038,"AQUIDABÃ",00003,0014,256,13,78
se,31038,"AQUIDABÃ",00003,0014,256,55,88
se,31038,"AQUIDABÃ",00003,0014,256,BRANCO,5
se,31038,"AQUIDABÃ",00003,0014,256,NULO,14
se,31038,"AQUIDABÃ",00003,0027,367,13,130
se,31038,"AQUIDABÃ",00003,0027,367,55,124
se,31038,"AQUIDABÃ",00003,0027,367,BRANCO,6
se,31038,"AQUIDABÃ",00003,0027,367,NULO,23
se,31038,"AQUIDABÃ",00003,0063,203,13,76
se,31038,"AQUIDABÃ",00003,0063,203,55,73
se,31038,"AQUIDABÃ",00003,0063,203,BRANCO,5
se,31038,"AQUIDABÃ",00003,0063,203,NULO,10
se,31038,"AQUIDABÃ",00003,0023,202,13,61
se,31038,"AQUIDABÃ",00003,0023,202,55,72
se,31038,"AQUIDABÃ",00003,0023,202,BRANCO,5
se,31038,"AQUIDABÃ",00003,0023,202,NULO,18
se,31038,"AQUIDABÃ",00003,0077,255,13,85
se,31038,"AQUIDABÃ",00003,0077,255,55,103
se,31038,"AQUIDABÃ",00003,0077,255,BRANCO,4
se,31038,"AQUIDABÃ",00003,0077,255,NULO,15
se,31038,"AQUIDABÃ",00003,0015,251,13,75
se,31038,"AQUIDABÃ",00003,0015,251,55,100
se,31038,"AQUIDABÃ",00003,0015,251,BRANCO,7
se,31038,"AQUIDABÃ",00003,0015,251,NULO,13
se,31038,"AQUIDABÃ",00003,0005,256,13,76
se,31038,"AQUIDABÃ",00003,0005,256,55,99
se,31038,"AQUIDABÃ",00003,0005,256,BRANCO,4
se,31038,"AQUIDABÃ",00003,0005,256,NULO,17
se,31038,"AQUIDABÃ",00003,0022,204,13,77
se,31038,"AQUIDABÃ",00003,0022,204,55,82
se,31038,"AQUIDABÃ",00003,0022,204,BRANCO,5
se,31038,"AQUIDABÃ",00003,0022,204,NULO,11
se,31038,"AQUIDABÃ",00003,0116,363,13,134
se,31038,"AQUIDABÃ",00003,0116,363,55,115
