"UF","cod_municipio","municipio","zona","secao","eleitores_aptos","candidato","quantidade_votos"
se,31232,"CANINDÉ DE SÃO FRANCISCO",00028,0001,378,12,7
se,31232,"CANINDÉ DE SÃO FRANCISCO",00028,0001,378,13,205
se,31232,"CANINDÉ DE SÃO FRANCISCO",00028,0001,378,15,6
se,31232,"CANINDÉ DE SÃO FRANCISCO",00028,0001,378,21,1
se,31232,"CANINDÉ DE SÃO FRANCISCO",00028,0001,378,22,61
se,31232,"CANINDÉ DE SÃO FRANCISCO",00028,0001,378,BRANCO,1
se,31232,"CANINDÉ DE SÃO FRANCISCO",00028,0001,378,NULO,8
se,31232,"CANINDÉ DE SÃO FRANCISCO",00028,0002,379,12,8
se,31232,"CANINDÉ DE SÃO FRANCISCO",00028,0002,379,13,201
se,31232,"CANINDÉ DE SÃO FRANCISCO",00028,0002,379,14,1
se,31232,"CANINDÉ DE SÃO FRANCISCO",00028,0002,379,15,4
se,31232,"CANINDÉ DE SÃO FRANCISCO",00028,0002,379,22,53
se,31232,"CANINDÉ DE SÃO FRANCISCO",00028,0002,379,BRANCO,2
se,31232,"CANINDÉ DE SÃO FRANCISCO",00028,0002,379,NULO,16
se,31232,"CANINDÉ DE SÃO FRANCISCO",00028,0003,353,12,4
se,31232,"CANINDÉ DE SÃO FRANCISCO",00028,0003,353,13,206
se,31232,"CANINDÉ DE SÃO FRANCISCO",00028,0003,353,15,2
se,31232,"CANINDÉ DE SÃO FRANCISCO",00028,0003,353,22,38
se,31232,"CANINDÉ DE SÃO FRANCISCO",00028,0003,353,BRANCO,6
se,31232,"CANINDÉ DE SÃO FRANCISCO",00028,0003,353,NULO,6
se,31232,"CANINDÉ DE SÃO FRANCISCO",00028,0004,385,12,6
se,31232,"CANINDÉ DE SÃO FRANCISCO",00028,0004,385,13,219
se,31232,"CANINDÉ DE SÃO FRANCISCO",00028,0004,385,14,1
se,31232,"CANINDÉ DE SÃO FRANCISCO",00028,0004,385,15,5
se,31232,"CANINDÉ DE SÃO FRANCISCO",00028,0004,385,22,41
se,31232,"CANINDÉ DE SÃO FRANCISCO",00028,0004,385,44,1
se,31232,"CANINDÉ DE SÃO FRANCISCO",00028,0004,385,BRANCO,3
se,31232,"CANINDÉ DE SÃO FRANCISCO",00028,0004,385,NULO,8
se,31232,"CANINDÉ DE SÃO FRANCISCO",00028,0005,384,12,4
se,31232,"CANINDÉ DE SÃO FRANCISCO",00028,0005,384,13,227
se,31232,"CANINDÉ DE SÃO FRANCISCO",00028,0005,384,14,1
se,31232,"CANINDÉ DE SÃO FRANCISCO",00028,0005,384,15,2
se,31232,"CANINDÉ DE SÃO FRANCISCO",00028,0005,384,22,36
se,31232,"CANINDÉ DE SÃO FRANCISCO",00028,0005,384,BRANCO,3
se,31232,"CANINDÉ DE SÃO FRANCISCO",00028,0005,384,NULO,10
se,31232,"CANINDÉ DE SÃO FRANCISCO",00028,0006,384,12,5
se,31232,"CANINDÉ DE SÃO FRANCISCO",00028,0006,384,13,203
se,31232,"CANINDÉ DE SÃO FRANCISCO",00028,0006,384,15,2
se,31232,"CANINDÉ DE SÃO FRANCISCO",00028,0006,384,22,41
se,31232,"CANINDÉ DE SÃO FRANCISCO",00028,0006,384,30,1
se,31232,"CANINDÉ DE SÃO FRANCISCO",00028,0006,384,44,1
se,31232,"CANINDÉ DE SÃO FRANCISCO",00028,0006,384,BRANCO,3
se,31232,"CANINDÉ DE SÃO FRANCISCO",00028,0006,384,NULO,12
se,31232,"CANINDÉ DE SÃO FRANCISCO",00028,0007,326,12,4
se,31232,"CANINDÉ DE SÃO FRANCISCO",00028,0007,326,13,190
se,31232,"CANINDÉ DE SÃO FRANCISCO",00028,0007,326,15,2
se,31232,"CANINDÉ DE SÃO FRANCISCO",00028,0007,326,22,36
se,31232,"CANINDÉ DE SÃO FRANCISCO",00028,0007,326,BRANCO,2
se,31232,"CANINDÉ DE SÃO FRANCISCO",00028,0007,326,NULO,9
se,31232,"CANINDÉ DE SÃO FRANCISCO",00028,0008,333,12,2
se,31232,"CANINDÉ DE SÃO FRANCISCO",00028,0008,333,13,190
se,31232,"CANINDÉ DE SÃO FRANCISCO",00028,0008,333,15,3
se,31232,"CANINDÉ DE SÃO FRANCISCO",00028,0008,333,22,36
se,31232,"CANINDÉ DE SÃO FRANCISCO",00028,0008,333,BRANCO,2
se,31232,"CANINDÉ DE SÃO FRANCISCO",00028,0008,333,NULO,4
se,31232,"CANINDÉ DE SÃO FRANCISCO",00028,0009,317,12,3
se,31232,"CANINDÉ DE SÃO FRANCISCO",00028,0009,317,13,173
se,31232,"CANINDÉ DE SÃO FRANCISCO",00028,0009,317,15,7
se,31232,"CANINDÉ DE SÃO FRANCISCO",00028,0009,317,22,65
se,31232,"CANINDÉ DE SÃO FRANCISCO",00028,0009,317,BRANCO,2
se,31232,"CANINDÉ DE SÃO FRANCISCO",00028,0009,317,NULO,5
se,31232,"CANINDÉ DE SÃO FRANCISCO",00028,0010,319,12,6
se,31232,"CANINDÉ DE SÃO FRANCISCO",00028,0010,319,13,172
se,31232,"CANINDÉ DE SÃO FRANCISCO",00028,0010,319,15,5
se,31232,"CANINDÉ DE SÃO FRANCISCO",00028,0010,319,22,65
se,31232,"CANINDÉ DE SÃO FRANCISCO",00028,0010,319,NULO,7
se,31232,"CANINDÉ DE SÃO FRANCISCO",00028,0011,314,12,9
se,31232,"CANINDÉ DE SÃO FRANCISCO",00028,0011,314,13,149
se,31232,"CANINDÉ DE SÃO FRANCISCO",00028,0011,314,15,6
se,31232,"CANINDÉ DE SÃO FRANCISCO",00028,0011,314,22,84
se,31232,"CANINDÉ DE SÃO FRANCISCO",00028,0011,314,BRANCO,3
se,31232,"CANINDÉ DE SÃO FRANCISCO",00028,0011,314,NULO,6
se,31232,"CANINDÉ DE SÃO FRANCISCO",00028,0012,385,12,8
se,31232,"CANINDÉ DE SÃO FRANCISCO",00028,0012,385,13,207
se,31232,"CANINDÉ DE SÃO FRANCISCO",00028,0012,385,15,2
se,31232,"CANINDÉ DE SÃO FRANCISCO",00028,0012,385,22,32
se,31232,"CANINDÉ DE SÃO FRANCISCO",00028,0012,385,44,1
se,31232,"CANINDÉ DE SÃO FRANCISCO",00028,0012,385,BRANCO,5
se,31232,"CANINDÉ DE SÃO FRANCISCO",00028,0012,385,NULO,15
se,31232,"CANINDÉ DE SÃO FRANCISCO",00028,0013,349,12,3
se,31232,"CANINDÉ DE SÃO FRANCISCO",00028,0013,349,13,200
se,31232,"CANINDÉ DE SÃO FRANCISCO",00028,0013,349,15,1
se,31232,"CANINDÉ DE SÃO FRANCISCO",00028,0013,349,22,35
se,31232,"CANINDÉ DE SÃO FRANCISCO",00028,0013,349,44,1
se,31232,"CANINDÉ DE SÃO FRANCISCO",00028,0013,349,BRANCO,2
se,31232,"CANINDÉ DE SÃO FRANCISCO",00028,0013,349,NULO,12
se,31232,"CANINDÉ DE SÃO FRANCISCO",00028,0014,352,12,3
se,31232,"CANINDÉ DE SÃO FRANCISCO",00028,0014,352,13,195
se,31232,"CANINDÉ DE SÃO FRANCISCO",00028,0014,352,15,1
se,31232,"CANINDÉ DE SÃO FRANCISCO",00028,0014,352,22,24
se,31232,"CANINDÉ DE SÃO FRANCISCO",00028,0014,352,30,1
se,31232,"CANINDÉ DE SÃO FRANCISCO",00028,0014,352,BRANCO,5
se,31232,"CANINDÉ DE SÃO FRANCISCO",00028,0014,352,NULO,15
se,31232,"CANINDÉ DE SÃO FRANCISCO",00028,0015,352,12,1
se,31232,"CANINDÉ DE SÃO FRANCISCO",00028,0015,352,13,190
se,31232,"CANINDÉ DE SÃO FRANCISCO",00028,0015,352,15,5
se,31232,"CANINDÉ DE SÃO FRANCISCO",00028,0015,352,22,27
se,31232,"CANINDÉ DE SÃO FRANCISCO",00028,0015,352,BRANCO,2
se,31232,"CANINDÉ DE SÃO FRANCISCO",00028,0015,352,NULO,6
se,31232,"CANINDÉ DE SÃO FRANCISCO",00028,0016,328,12,6
se,31232,"CANINDÉ DE SÃO FRANCISCO",00028,0016,328,13,206
se,31232,"CANINDÉ DE SÃO FRANCISCO",00028,0016,328,15,2
se,31232,"CANINDÉ DE SÃO FRANCISCO",00028,0016,328,22,25
se,31232,"CANINDÉ DE SÃO FRANCISCO",00028,0016,328,44,1
se,31232,"CANINDÉ DE SÃO FRANCISCO",00028,0016,328,BRANCO,3
se,31232,"CANINDÉ DE SÃO FRANCISCO",00028,0016,328,NULO,7
se,31232,"CANINDÉ DE SÃO FRANCISCO",00028,0017,334,12,4
se,31232,"CANINDÉ DE SÃO FRANCISCO",00028,0017,334,13,194
se,31232,"CANINDÉ DE SÃO FRANCISCO",00028,0017,334,15,6
se,31232,"CANINDÉ DE SÃO FRANCISCO",00028,0017,334,22,34
se,31232,"CANINDÉ DE SÃO FRANCISCO",00028,0017,334,BRANCO,3
se,31232,"CANINDÉ DE SÃO FRANCISCO",00028,0017,334,NULO,9
se,31232,"CANINDÉ DE SÃO FRANCISCO",00028,0051,316,12,6
se,31232,"CANINDÉ DE SÃO FRANCISCO",00028,0051,316,13,168
se,31232,"CANINDÉ DE SÃO FRANCISCO",00028,0051,316,15,3
se,31232,"CANINDÉ DE SÃO FRANCISCO",00028,0051,316,22,67
se,31232,"CANINDÉ DE SÃO FRANCISCO",00028,0051,316,BRANCO,2
se,31232,"CANINDÉ DE SÃO FRANCISCO",00028,0051,316,NULO,7
se,31232,"CANINDÉ DE SÃO FRANCISCO",00028,0052,320,12,7
se,31232,"CANINDÉ DE SÃO FRANCISCO",00028,0052,320,13,146
se,31232,"CANINDÉ DE SÃO FRANCISCO",00028,0052,320,15,6
se,31232,"CANINDÉ DE SÃO FRANCISCO",00028,0052,320,22,69
se,31232,"CANINDÉ DE SÃO FRANCISCO",00028,0052,320,NULO,12
